,Player,Salary,Year,UUID
0,Kevin Garnett,19610000.0,2000,3a648fac-18b7-463d-8519-931193fb7c7e
1,Shaquille O'Neal,19285715.0,2000,36eebc6e-b7df-4e49-9c1d-1de99db651f9
2,Alonzo Mourning,16880000.0,2000,0d6a10d3-95e9-4499-83d6-eaf621810081
3,Juwan Howard,16875000.0,2000,6899292b-8105-4f53-bbe9-97b4d2c97e44
4,Hakeem Olajuwon,16700000.0,2000,a2aeda60-3d52-4aeb-98f4-30b4653b7b0e
5,Karl Malone,15750000.0,2000,fcd93ff8-7779-411c-bfd5-978ff5b53f28
6,David Robinson,14700000.0,2000,0ad4c88c-b741-48c6-94c9-7403f4c2720d
7,Dikembe Mutombo,14400000.0,2000,2bceed72-fce4-412f-a4b0-860472b0bc33
8,Patrick Ewing,14000000.0,2000,9d36bb84-64a3-4767-90cf-98a7e5da0150
9,Jayson Williams,13800000.0,2000,c6804234-ebb8-42b7-a6f1-b7f4991e30da
10,Scottie Pippen,13750000.0,2000,909c3bce-07e2-4394-888d-0f7593ae15b0
11,Rasheed Wallace,12600000.0,2000,125d5aeb-1fd2-4d3e-81d3-dc8c3e65b322
12,Gary Payton,12200000.0,2000,20b4d3d1-bf3a-4ad8-9692-68b9b02cb6c0
13,Tim Hardaway,12000000.0,2000,33911a69-20db-4f2a-895e-6975ff89933f
14,Chris Webber,12000000.0,2000,2d1102b8-8934-44c2-8cee-053c859abd1b
15,Shawn Kemp,11720000.0,2000,6951e255-766a-46c9-92da-5874ed1c1908
16,Damon Stoudamire,11250000.0,2000,e54675bd-807c-431a-9861-66fbeedc7404
17,Arvydas Sabonis,11250000.0,2000,c51d6d29-a095-42c5-8aec-13faff077a73
18,Larry Johnson,11000000.0,2000,e2d96d31-f8b6-4614-9693-3fd70f527e4d
19,John Stockton,11000000.0,2000,2b1f6cbb-d699-4b43-8924-c51b028ee87e
20,Antonio McDyess,10800000.0,2000,a5d72ef9-3563-46f8-b836-866c15194a84
21,Reggie Miller,10670000.0,2000,a0aa6159-d968-4f14-bf22-7fad74ad2338
22,Antoine Walker,10130000.0,2000,eac8a785-9ff5-47ed-b50d-4f07e53b0f3d
23,Stephon Marbury,10130000.0,2000,906af733-adea-4892-9694-b238878ef47e
24,Zydrunas Ilgauskas,10130000.0,2000,96e04270-5c8c-4efb-8e3d-1afd5ae1a843
25,Kobe Bryant,10130000.0,2000,945f6a46-614b-4d82-83a9-433d6dc2fe30
26,Shareef Abdur-Rahim,10130000.0,2000,be98cf50-b9f4-4fb2-b314-51fba9bf2b28
27,Ray Allen,10130000.0,2000,b567ba74-b2ce-4d04-b284-67b05aa2b8b7
28,Vin Baker,10130000.0,2000,85b7c87d-cbc9-4454-8f64-89477dc427d8
29,Allen Iverson,10130000.0,2000,4400ad6f-14e9-497e-bd3e-9985af05a666
30,Anfernee Hardaway,10130000.0,2000,dd77a5ae-4406-4ca8-820d-fac0405b08fc
31,Latrell Sprewell,10125000.0,2000,b38094df-c744-4815-8f69-bbe80e311296
32,Bryant Reeves,10110000.0,2000,a533551d-4612-47f2-85ef-35a3924edd76
33,Mitch Richmond,10000000.0,2000,dee5717e-26f8-46f5-97f3-334b68a56c85
34,Rod Strickland,10000000.0,2000,8e0a2848-bfdd-43b1-bb4b-03e13d4f7f29
35,Jalen Rose,9660000.0,2000,4ce6aa68-36c1-439a-be9d-f26c32d71d4e
36,Grant Hill,9660000.0,2000,a5fcaab9-75fa-46f6-b9ee-75cbd6e05ce0
37,Tracy McGrady,9660000.0,2000,9c39bd63-cfde-4605-953a-40399c030e33
38,Tim Duncan,9660000.0,2000,571f0633-dbf5-490e-bfc7-d3f9bfe817a8
39,Vlade Divac,9640000.0,2000,dddf69c3-34c4-4979-b7f6-842c330209f5
40,Tom Gugliotta,9360000.0,2000,f06055f1-2e4c-4b81-9219-4148e6f0f950
41,Nick Van Exel,9200000.0,2000,8d76ed76-4613-4102-830e-2a94bcc48316
42,Keith Van Horn,9000000.0,2000,3d2a3c60-9d1a-4b37-8784-aa8e1032dc61
43,Allan Houston,9000000.0,2000,2926d748-f436-4732-8187-3122ccb6c10a
44,Eddie Jones,8960000.0,2000,7887f446-961c-48f2-ac89-fa4ea22dd92e
45,Brian Grant,8900000.0,2000,1be091a4-eec7-44bc-933c-1c95c8dff91a
