,Year,Player,Pos,Team,UUID
0,2022,Marcus Smart,PG,Boston Celtics,f245d8cb-bd3e-416a-bd5d-f18528787dff
1,2022,Rudy Gobert,C,Utah Jazz,21dfdf6a-b6b1-4482-a3b0-ae7525f62cf5
2,2022,Giannis Antetokounmpo,PF,Milwaukee Bucks,6e925a07-b5f1-4f4f-87dd-d9fdf1d4ac44
3,2022,Mikal Bridges,SF,Phoenix Suns,f7bd2b9a-9d4a-4d12-97e6-303d6ca3de37
4,2022,Jaren Jackson Jr.,PF,Memphis Grizzlies,
5,2021,Jrue Holiday,PG,Milwaukee Bucks,f29baea3-8787-4713-a65f-0a0d5f87e2b2
6,2021,Draymond Green,PF,Golden State Warriors,abef788d-ee07-40a4-82f8-b4d5fc0251e2
7,2021,Rudy Gobert,C,Utah Jazz,21dfdf6a-b6b1-4482-a3b0-ae7525f62cf5
8,2021,Giannis Antetokounmpo,PF,Milwaukee Bucks,6e925a07-b5f1-4f4f-87dd-d9fdf1d4ac44
9,2021,Ben Simmons,PG,Philadelphia 76ers,2c9a6692-e0eb-459a-b699-52814169068c
10,2020,Anthony Davis,F,Los Angeles Lakers,32fda666-85d5-4689-b53c-2ad968ab162c
11,2020,Marcus Smart,G,Boston Celtics,f245d8cb-bd3e-416a-bd5d-f18528787dff
12,2020,Rudy Gobert,C,Utah Jazz,21dfdf6a-b6b1-4482-a3b0-ae7525f62cf5
13,2020,Giannis Antetokounmpo,F,Milwaukee Bucks,6e925a07-b5f1-4f4f-87dd-d9fdf1d4ac44
14,2020,Ben Simmons,G,Philadelphia 76ers,2c9a6692-e0eb-459a-b699-52814169068c
15,2019,Eric Bledsoe,G,Milwaukee Bucks,159bde5c-5d15-494b-90d3-f60458bdf4b3
16,2019,Paul George,F,Oklahoma City Thunder,8bd6e7d0-0bde-4802-8a48-8678839740cc
17,2019,Marcus Smart,G,Boston Celtics,f245d8cb-bd3e-416a-bd5d-f18528787dff
18,2019,Rudy Gobert,C,Utah Jazz,21dfdf6a-b6b1-4482-a3b0-ae7525f62cf5
19,2019,Giannis Antetokounmpo,F,Milwaukee Bucks,6e925a07-b5f1-4f4f-87dd-d9fdf1d4ac44
20,2018,Jrue Holiday,G,New Orleans Pelicans,f29baea3-8787-4713-a65f-0a0d5f87e2b2
21,2018,Anthony Davis,F,New Orleans Pelicans,32fda666-85d5-4689-b53c-2ad968ab162c
22,2018,Robert Covington,F,Philadelphia 76ers,28cfdc29-0256-4b5d-bf81-8b7a10377814
23,2018,Victor Oladipo,G,Indiana Pacers,465372ba-ce7e-41fe-bba6-993a5eed0c90
24,2018,Rudy Gobert,C,Utah Jazz,21dfdf6a-b6b1-4482-a3b0-ae7525f62cf5
25,2017,Chris Paul,G,LA Clippers,6b205a48-76fd-4b71-87fc-d92196e998af
26,2017,Patrick Beverley,G,Houston Rockets,a371bcb6-b64c-4b50-ac3a-4c08e3857b70
27,2017,Kawhi Leonard,F,San Antonio Spurs,2f7f0fa9-e257-410a-9ce5-76d5169b07be
28,2017,Draymond Green,F,Golden State Warriors,abef788d-ee07-40a4-82f8-b4d5fc0251e2
29,2017,Rudy Gobert,C,Utah Jazz,21dfdf6a-b6b1-4482-a3b0-ae7525f62cf5
30,2016,Chris Paul,G,LA Clippers,6b205a48-76fd-4b71-87fc-d92196e998af
31,2016,DeAndre Jordan,C,LA Clippers,435c34a2-d6a5-401d-b8fe-fcb85240572e
32,2016,Avery Bradley,G,Boston Celtics,c401f9db-f450-4bf8-9c00-e15a2039edaf
33,2016,Kawhi Leonard,F,San Antonio Spurs,2f7f0fa9-e257-410a-9ce5-76d5169b07be
34,2016,Draymond Green,F,Golden State Warriors,abef788d-ee07-40a4-82f8-b4d5fc0251e2
35,2015,Tony Allen,G,Memphis Grizzlies,f603fd0e-8805-4ac6-ae69-9e53f9e2251e
36,2015,Chris Paul,G,LA Clippers,6b205a48-76fd-4b71-87fc-d92196e998af
37,2015,DeAndre Jordan,C,LA Clippers,435c34a2-d6a5-401d-b8fe-fcb85240572e
38,2015,Kawhi Leonard,F,San Antonio Spurs,2f7f0fa9-e257-410a-9ce5-76d5169b07be
39,2015,Draymond Green,F,Golden State Warriors,abef788d-ee07-40a4-82f8-b4d5fc0251e2
40,2014,Andre Iguodala,F,Golden State Warriors,47bcd493-56f5-4460-a03a-050bc3581522
41,2014,Chris Paul,G,LA Clippers,6b205a48-76fd-4b71-87fc-d92196e998af
42,2014,Joakim Noah,C,Chicago Bulls,d763c524-89fb-4a87-ac64-a975d7dc5b61
43,2014,Serge Ibaka,F,Oklahoma City Thunder,220b5bf1-fd41-4133-b295-56ffc5a3e410
44,2014,Paul George,F,Indiana Pacers,8bd6e7d0-0bde-4802-8a48-8678839740cc
45,2013,Tyson Chandler,C,New York Knicks,a0087f6e-fab6-4cfb-9904-440a694c5037
46,2013,LeBron James,F,Miami Heat,4ae6326c-7a7a-4902-a874-ae7a1358a285
47,2013,Tony Allen,G,Memphis Grizzlies,f603fd0e-8805-4ac6-ae69-9e53f9e2251e
48,2013,Chris Paul,G,LA Clippers,6b205a48-76fd-4b71-87fc-d92196e998af
49,2013,Joakim Noah,C,Chicago Bulls,d763c524-89fb-4a87-ac64-a975d7dc5b61
50,2013,Serge Ibaka,F,Oklahoma City Thunder,220b5bf1-fd41-4133-b295-56ffc5a3e410
