,Year,Player,Pos,Team,UUID
0,2022,Jrue Holiday,PG,Milwaukee Bucks,40b91da7-903b-40dc-b539-caf6cf904f73
1,2022,Draymond Green,PF,Golden State Warriors,3076cee1-0d1c-4d32-abf5-c06a847a9ef8
2,2022,Matisse Thybulle,SG,Philadelphia 76ers,16ef7932-6c34-47b4-88cc-e59b4d2412d2
3,2022,Robert Williams,C,Boston Celtics,bc7e2407-e5f1-4210-9a8c-e3e7c9150977
4,2022,Bam Adebayo,C,Miami Heat,29c1a6e4-c764-46e7-895d-ab6735ef7b4e
5,2021,Jimmy Butler,SF,Miami Heat,f0fb95cc-2a0f-4518-a8e6-e7a789fd7c15
6,2021,Kawhi Leonard,SF,LA Clippers,a8de2eeb-afae-44ff-aa2f-24b11323daf9
7,2021,Joel Embiid,C,Philadelphia 76ers,a5389e3a-5b1d-4d86-9782-ea76a0207758
8,2021,Matisse Thybulle,SG,Philadelphia 76ers,16ef7932-6c34-47b4-88cc-e59b4d2412d2
9,2021,Bam Adebayo,C,Miami Heat,29c1a6e4-c764-46e7-895d-ab6735ef7b4e
10,2020,Brook Lopez,C,Milwaukee Bucks,a36692c7-1b71-468f-ab88-3d8ab5b548e1
11,2020,Patrick Beverley,G,LA Clippers,e00c813d-373c-4c94-b76f-ae42f7df7723
12,2020,Eric Bledsoe,G,Milwaukee Bucks,17636843-a64e-4318-879c-78b734d763e8
13,2020,Kawhi Leonard,F,LA Clippers,a8de2eeb-afae-44ff-aa2f-24b11323daf9
14,2020,Bam Adebayo,F,Miami Heat,29c1a6e4-c764-46e7-895d-ab6735ef7b4e
15,2019,Jrue Holiday,G,New Orleans Pelicans,40b91da7-903b-40dc-b539-caf6cf904f73
16,2019,Kawhi Leonard,F,Toronto Raptors,a8de2eeb-afae-44ff-aa2f-24b11323daf9
17,2019,Klay Thompson,G,Golden State Warriors,01050c09-20ce-495f-ad70-44486158bc52
18,2019,Draymond Green,F,Golden State Warriors,3076cee1-0d1c-4d32-abf5-c06a847a9ef8
19,2019,Joel Embiid,C,Philadelphia 76ers,a5389e3a-5b1d-4d86-9782-ea76a0207758
20,2018,Al Horford,C,Boston Celtics,8d5f6a78-1e2b-4ebe-92f4-885d3f6be695
21,2018,Jimmy Butler,G,Minnesota Timberwolves,f0fb95cc-2a0f-4518-a8e6-e7a789fd7c15
22,2018,Draymond Green,F,Golden State Warriors,3076cee1-0d1c-4d32-abf5-c06a847a9ef8
23,2018,Joel Embiid,C,Philadelphia 76ers,a5389e3a-5b1d-4d86-9782-ea76a0207758
24,2018,Dejounte Murray,G,San Antonio Spurs,ade50089-e466-4559-b5af-b00a4659bc8e
25,2017,Tony Allen,G,Memphis Grizzlies,f0256318-7460-4b78-9d75-c3673bdef775
26,2017,Danny Green,G,San Antonio Spurs,69a55dfb-2eef-483c-ac31-e65bc0bf7d94
27,2017,Anthony Davis,F,New Orleans Pelicans,d8f59c50-268f-4f55-883b-bc65926f3c63
28,2017,Andre Roberson,G,Oklahoma City Thunder,6c9cc11d-1150-44d8-87d3-942078449755
29,2017,Giannis Antetokounmpo,F,Milwaukee Bucks,f5e976f0-2383-4f34-869e-912b0daebc1d
30,2016,Tony Allen,G,Memphis Grizzlies,f0256318-7460-4b78-9d75-c3673bdef775
31,2016,Paul Millsap,F,Atlanta Hawks,34e4eb48-38f8-4a3d-84d9-aabfb3b229db
32,2016,Paul George,F,Indiana Pacers,fd3a23ba-8ccf-4790-bdf7-52782a310c86
33,2016,Hassan Whiteside,C,Miami Heat,b2d4e35e-d992-4a59-a168-4ab9036e9ba1
34,2016,Jimmy Butler,G,Chicago Bulls,f0fb95cc-2a0f-4518-a8e6-e7a789fd7c15
35,2015,Tim Duncan,F,San Antonio Spurs,1aba9f56-0b6b-428e-b755-819a337ce515
36,2015,Andrew Bogut,C,Golden State Warriors,fd7cea99-d716-44a9-96c7-506ffc3af456
37,2015,John Wall,G,Washington Wizards,6fe56b56-bc6e-4e10-9319-9513743a0349
38,2015,Jimmy Butler,G,Chicago Bulls,f0fb95cc-2a0f-4518-a8e6-e7a789fd7c15
39,2015,Anthony Davis,F,New Orleans Pelicans,d8f59c50-268f-4f55-883b-bc65926f3c63
40,2014,LeBron James,F,Miami Heat,f15e32f6-36a9-4efb-bce0-043c1bc98f68
41,2014,Roy Hibbert,C,Indiana Pacers,8989fa2f-f01c-456f-85db-e7b610899128
42,2014,Patrick Beverley,G,Houston Rockets,e00c813d-373c-4c94-b76f-ae42f7df7723
43,2014,Jimmy Butler,G,Chicago Bulls,f0fb95cc-2a0f-4518-a8e6-e7a789fd7c15
44,2014,Kawhi Leonard,F,San Antonio Spurs,a8de2eeb-afae-44ff-aa2f-24b11323daf9
45,2013,Tim Duncan,F,San Antonio Spurs,1aba9f56-0b6b-428e-b755-819a337ce515
46,2013,Mike Conley,G,Memphis Grizzlies,a8b6a012-c3c8-4266-8d7c-5560c18a4fab
47,2013,Marc Gasol,C,Memphis Grizzlies,95e02886-747c-4d37-8859-30842f3b7707
48,2013,Avery Bradley,G,Boston Celtics,d225077d-f5a5-4f73-8ffd-2c9ef8ee2c92
49,2013,Paul George,G,Indiana Pacers,fd3a23ba-8ccf-4790-bdf7-52782a310c86
50,2012,Kobe Bryant,G,Los Angeles Lakers,24d0e17f-fb15-4609-84f0-ff0d88dc0937
51,2012,Kevin Garnett,C,Boston Celtics,4035d838-5ed7-4507-86ad-0488a9b9c358
52,2012,Tyson Chandler,C,New York Knicks,8c507a1f-0040-43af-a02c-2e453b5ecb1c
53,2012,Luol Deng,F,Chicago Bulls,6f179d17-b99b-42d2-a886-2494fe933860
54,2012,Rajon Rondo,G,Boston Celtics,cd4a52de-5f5b-4ed8-a062-f9bc6e075400
55,2011,Tyson Chandler,C,Dallas Mavericks,8c507a1f-0040-43af-a02c-2e453b5ecb1c
56,2011,Tony Allen,SG,Memphis Grizzlies,f0256318-7460-4b78-9d75-c3673bdef775
57,2011,Andre Iguodala,F,Philadelphia 76ers,04eabe67-1489-4ba0-a12e-0ec83adefd56
58,2011,Chris Paul,PG,New Orleans Hornets,61cbf931-8bc1-4186-99b6-41709cb25bf5
59,2011,Joakim Noah,C,Chicago Bulls,966edf81-b6b9-4f2c-83a5-73bcbe7f0157
60,2010,Tim Duncan,C,San Antonio Spurs,1aba9f56-0b6b-428e-b755-819a337ce515
61,2010,Dwyane Wade,G,Miami Heat,3debf7bb-2228-4a7a-82fb-3e730f83f012
62,2010,Josh Smith,PF,Atlanta Hawks,8c4597dc-5c78-4733-b3da-5fcb43fcb5c1
63,2010,Anderson Varejao,C,Cleveland Cavaliers,4beb4fd4-7b44-4217-a4d2-37a9a24438ca
64,2010,Thabo Sefolosha,F,Oklahoma City Thunder,15574ff6-35e8-43e3-a993-e8df46245002
65,2009,Metta World Peace,SF,Los Angeles Lakers,7d5410b3-0b90-4fc9-8350-b731776296d0
66,2009,Tim Duncan,C,San Antonio Spurs,1aba9f56-0b6b-428e-b755-819a337ce515
67,2009,Shane Battier,SF,Houston Rockets,4d73dc7b-f969-4093-87dd-813ce167c15c
68,2009,Dwyane Wade,G,Miami Heat,3debf7bb-2228-4a7a-82fb-3e730f83f012
69,2009,Rajon Rondo,PG,Boston Celtics,cd4a52de-5f5b-4ed8-a062-f9bc6e075400
70,2008,Raja Bell,SG,Phoenix Suns,988238f2-7352-4848-a34a-9f4738dd1491
71,2008,Shane Battier,SF,Houston Rockets,4d73dc7b-f969-4093-87dd-813ce167c15c
72,2008,Tayshaun Prince,SF,Detroit Pistons,cd0dc149-fe1e-4af7-8638-75bb860234fc
73,2008,Dwight Howard,C,Orlando Magic,fbfff279-863a-4e79-bd74-f997d4a2b072
74,2008,Chris Paul,PG,New Orleans Hornets,61cbf931-8bc1-4186-99b6-41709cb25bf5
75,2007,Kevin Garnett,PF,Minnesota Timberwolves,4035d838-5ed7-4507-86ad-0488a9b9c358
76,2007,Jason Kidd,PG,New Jersey Nets,34ac2a07-1fe4-4883-944a-3b944559788b
77,2007,Ben Wallace,PF,Chicago Bulls,33b29513-8bf9-40c0-b40c-92d241d0a33d
78,2007,Tayshaun Prince,SF,Detroit Pistons,cd0dc149-fe1e-4af7-8638-75bb860234fc
79,2007,Kirk Hinrich,SG,Chicago Bulls,6c87dbac-24b9-4717-9a1c-3492a6449c3b
80,2006,Chauncey Billups,PG,Detroit Pistons,f828440b-4e2d-49b7-9a7c-f69d2bfc58b4
81,2006,Marcus Camby,C,Denver Nuggets,bf87ad28-9f95-4a3a-97d0-7e7c60d93403
82,2006,Tim Duncan,C,San Antonio Spurs,1aba9f56-0b6b-428e-b755-819a337ce515
83,2006,Kevin Garnett,PF,Minnesota Timberwolves,4035d838-5ed7-4507-86ad-0488a9b9c358
84,2006,Tayshaun Prince,SF,Detroit Pistons,cd0dc149-fe1e-4af7-8638-75bb860234fc
85,2005,Chauncey Billups,PG,Detroit Pistons,f828440b-4e2d-49b7-9a7c-f69d2bfc58b4
86,2005,Marcus Camby,C,Denver Nuggets,bf87ad28-9f95-4a3a-97d0-7e7c60d93403
87,2005,Jason Kidd,PG,New Jersey Nets,34ac2a07-1fe4-4883-944a-3b944559788b
88,2005,Andrei Kirilenko,SF,Utah Jazz,264998a4-bb1c-44d5-8a17-d5e33001ccbe
89,2005,Tayshaun Prince,SF,Detroit Pistons,cd0dc149-fe1e-4af7-8638-75bb860234fc
90,2005,Dwyane Wade,G,Miami Heat,3debf7bb-2228-4a7a-82fb-3e730f83f012
91,2004,Doug Christie,SG,Sacramento Kings,903de519-be8f-4db7-ab54-f484151097fb
92,2004,Tim Duncan,C,San Antonio Spurs,1aba9f56-0b6b-428e-b755-819a337ce515
93,2004,Jason Kidd,PG,New Jersey Nets,34ac2a07-1fe4-4883-944a-3b944559788b
94,2004,Andrei Kirilenko,SF,Utah Jazz,264998a4-bb1c-44d5-8a17-d5e33001ccbe
95,2004,Theo Ratliff,C,Portland Trail Blazers,6bbfff81-213b-4183-88f0-fcd3fd198e88
96,2003,Metta World Peace,SF,Indiana Pacers,7d5410b3-0b90-4fc9-8350-b731776296d0
97,2003,Bruce Bowen,SF,San Antonio Spurs,59fad2b2-97b9-4c97-9ef6-45751ae4f2bc
98,2003,Jason Kidd,PG,New Jersey Nets,34ac2a07-1fe4-4883-944a-3b944559788b
99,2003,Shaquille O'Neal,C,Los Angeles Lakers,74b99a51-bb65-436f-8bcc-7022af2a490a
100,2003,Eric Snow,PG,Philadelphia 76ers,a0a420c6-72f1-42de-8491-8479a67990f0
101,2002,Bruce Bowen,SF,San Antonio Spurs,59fad2b2-97b9-4c97-9ef6-45751ae4f2bc
102,2002,Kobe Bryant,SF,Los Angeles Lakers,24d0e17f-fb15-4609-84f0-ff0d88dc0937
103,2002,Doug Christie,SG,Sacramento Kings,903de519-be8f-4db7-ab54-f484151097fb
104,2002,Dikembe Mutombo,C,Philadelphia 76ers,ac5301b7-a106-4651-8329-2340abff1bbc
105,2002,Clifford Robinson,PF,Detroit Pistons,dfd9d103-9432-4b6d-83c9-b7c910bc554b
106,2001,Bruce Bowen,SF,Miami Heat,59fad2b2-97b9-4c97-9ef6-45751ae4f2bc
107,2001,PJ Brown,PF,Charlotte Hornets,79586f78-50fb-48f4-b1b2-acac8429f7db
108,2001,Kobe Bryant,SF,Los Angeles Lakers,24d0e17f-fb15-4609-84f0-ff0d88dc0937
109,2001,Doug Christie,SG,Sacramento Kings,903de519-be8f-4db7-ab54-f484151097fb
110,2001,Shaquille O'Neal,C,Los Angeles Lakers,74b99a51-bb65-436f-8bcc-7022af2a490a
111,2000,Eddie Jones,SG,Charlotte Hornets,83d519a9-63ac-49ac-8f02-8819baa4d5c8
112,2000,Jason Kidd,PG,Phoenix Suns,34ac2a07-1fe4-4883-944a-3b944559788b
113,2000,Shaquille O'Neal,C,Los Angeles Lakers,74b99a51-bb65-436f-8bcc-7022af2a490a
114,2000,Scottie Pippen,SF,Portland Trail Blazers,daa2fbf7-79c6-4f27-8b26-f261a98a48b9
115,2000,Clifford Robinson,PF,Portland Trail Blazers,dfd9d103-9432-4b6d-83c9-b7c910bc554b
