,Year,Player,Pos,Team,UUID
0,2022,Evan Mobley,C,Cleveland Cavaliers,841c86f9-1514-4ba3-84c4-4fa5cf17659c
1,2022,Cade Cunningham,PG,Detroit Pistons,dddcbf50-9043-45ad-9683-aa31aebf0869
2,2022,Scottie Barnes,SF,Toronto Raptors,ccdab7c9-6e01-43a2-8455-ccddcca2d572
3,2022,Jalen Green,SG,Houston Rockets,18776714-6f3a-493b-9bfe-25504060cd4f
4,2022,Franz Wagner,SF,Orlando Magic,c989a8b5-1e69-4504-89da-496a4f8bc36a
5,2021,Jae'Sean Tate,SF,Houston Rockets,62272a55-1e50-4320-aa8f-d291ca9263cd
6,2021,Tyrese Haliburton,PG,Sacramento Kings,4c8c8e3f-0a87-44dc-83c7-e942b92af66b
7,2021,Saddiq Bey,SF,Detroit Pistons,575b9905-bb43-47dc-a40e-c1a9f7bf683b
8,2021,LaMelo Ball,PG,Charlotte Hornets,9c37080f-25e9-496f-9fc9-7dd966024f91
9,2021,Anthony Edwards,SF,Minnesota Timberwolves,885ce8bb-d002-4edb-a4bf-2209d37f421e
10,2020,Kendrick Nunn,G,Miami Heat,31e456ab-53a4-4a44-85c9-abddccf76e00
11,2020,Eric Paschall,F,Golden State Warriors,d48f7388-8b76-4257-8c7b-eff0eccd8d8c
12,2020,Brandon Clarke,F,Memphis Grizzlies,4d986e04-65dc-456e-9e65-3580162745fd
13,2020,Ja Morant,G,Memphis Grizzlies,995f5469-0ad6-4593-9259-39a82870eb2d
14,2020,Zion Williamson,F,New Orleans Pelicans,fef90e72-aa32-4b46-8c77-3433d530230e
15,2019,Luka Doncic,G,Dallas Mavericks,7b9e31a5-eda3-46f3-aa67-b935332d5745
16,2019,Marvin Bagley III,F,Sacramento Kings,
17,2019,Trae Young,G,Atlanta Hawks,8cb9e435-d5c6-4bba-8998-f0515d8dd5c9
18,2019,Jaren Jackson Jr.,F,Memphis Grizzlies,
19,2019,Deandre Ayton,C,Phoenix Suns,5d967109-d3cd-429b-8a9b-f920b319e1fa
20,2018,Kyle Kuzma,F,Los Angeles Lakers,bb20512b-d303-4efc-b79c-ee11cddd1acf
21,2018,Ben Simmons,F,Philadelphia 76ers,2c9a6692-e0eb-459a-b699-52814169068c
22,2018,Donovan Mitchell,G,Utah Jazz,459a97a4-9e72-4e40-94ae-e8dc649ec5e1
23,2018,Jayson Tatum,F,Boston Celtics,13edcefc-df0c-4cc4-a146-357e35f27835
24,2018,Lauri Markkanen,F,Chicago Bulls,d921e705-f58f-495f-be01-adbb5fca4799
25,2017,Malcolm Brogdon,G,Milwaukee Bucks,ada81c05-555a-43e6-866a-1403fa633f61
26,2017,Buddy Hield,G,Sacramento Kings,83921efc-fe67-48ce-81ee-af65e1347359
27,2017,Willy Hernangomez,C,New York Knicks,d3917cfe-0e7c-434b-9a61-2fe3f0e0e050
28,2017,Dario Saric,F,Philadelphia 76ers,d7a77348-bec9-4b0d-9db3-b8f5d54b32c1
29,2017,Joel Embiid,C,Philadelphia 76ers,75a2afd2-1b6a-4770-9c8d-4e4bafc36314
30,2016,Kristaps Porzingis,F,New York Knicks,fd572263-b109-4b09-b5af-10b473e9df64
31,2016,Nikola Jokic,C,Denver Nuggets,23d94817-a2fe-42bd-9468-1029bfe46ce0
