,Year,Player,Pos,Team,UUID
0,2022,Herb Jones,SF,New Orleans Pelicans,0069762f-01ea-4b6f-923e-7dbdb288c840
1,2022,Ayo Dosunmu,SG,Chicago Bulls,e4334f24-c5fc-426a-b6c2-941ab2a7e2e7
2,2022,Chris Duarte,SG,Indiana Pacers,fa5df083-dd1e-4bc3-ab1b-3c41306309c9
3,2022,Bones Hyland,PG,Denver Nuggets,65a9123f-1157-4dec-bef5-de9e1b07d3d2
4,2022,Josh Giddey,SG,Oklahoma City Thunder,d4447ed8-4854-4ad0-a5aa-bc37cbc9b79f
5,2021,Desmond Bane,SG,Memphis Grizzlies,65319385-5785-4bf9-a195-81b4aa7c605f
6,2021,Immanuel Quickley,SG,New York Knicks,568aaa8e-7305-4548-9805-a44ce994b54d
7,2021,Patrick Williams,PF,Chicago Bulls,d46a2a50-660e-4d7d-81d9-7150f6b80e49
8,2021,Isaiah Stewart,C,Detroit Pistons,2dd57508-99f3-47a7-8c02-fb1c4bc26052
9,2021,Isaac Okoro,SF,Cleveland Cavaliers,07186299-7492-4cca-99d3-1003370dc903
10,2020,Terence Davis,G,Toronto Raptors,52ae96eb-1c75-4d19-b4d2-dba9f0b440da
11,2020,Rui Hachimura,F,Washington Wizards,89e040d6-0657-49b1-8bd5-fc11af58d83c
12,2020,PJ Washington,F,Charlotte Hornets,d2eecaf6-7222-4a03-bba4-8016e209b58e
13,2020,Coby White,G,Chicago Bulls,11db75ee-57ea-4c90-9eff-4aa0e6ab1eda
14,2020,Tyler Herro,G,Miami Heat,b1359ec1-999b-418f-84e8-791659e3d59c
15,2019,Landry Shamet,G,LA Clippers,1522bfb2-55d6-46d0-92e6-b04260693180
16,2019,Kevin Huerter,G,Atlanta Hawks,d5b19326-590d-4476-b71f-93f8ce80506f
17,2019,Collin Sexton,G,Cleveland Cavaliers,b8ee5f0d-b500-4681-a467-f3eff6324683
18,2019,Shai Gilgeous-Alexander,G,LA Clippers,8ea7afeb-fc98-4fab-a247-ef551b049d8d
19,2019,Mitchell Robinson,C,New York Knicks,f0711681-9292-4e81-aeee-dd5e1fee6b22
20,2018,Bogdan Bogdanovic,G,Sacramento Kings,54723891-e923-4403-9de5-ce5a3c3f1fd2
21,2018,John Collins,F,Atlanta Hawks,e7beaed2-8406-414a-a442-0791fe240544
22,2018,Dennis Smith,G,Dallas Mavericks,00dee947-45e1-434a-b4ef-b04c843acbfa
23,2018,Josh Jackson,F,Phoenix Suns,0f8c0535-9a0a-45ef-8556-3676481c94a5
24,2018,Lonzo Ball,G,Los Angeles Lakers,3e6a9381-3e26-4fa3-9181-5ca701b3fafc
25,2017,Yogi Ferrell,G,Dallas Mavericks,ef7e63eb-41e7-429c-a852-8caad96673db
26,2017,Marquese Chriss,F,Phoenix Suns,a3258f01-9d9d-41cf-9cc8-09802d325e04
27,2017,Brandon Ingram,F,Los Angeles Lakers,843ee6e0-6471-4fcb-9a23-72e479e6b56d
28,2017,Jaylen Brown,F,Boston Celtics,c6b6da2c-e87d-413f-9b20-2956cf445ea8
29,2017,Jamal Murray,G,Denver Nuggets,f23225e8-07aa-428b-afcf-1f7129c8f0a3
30,2016,Willie Cauley-Stein,F,Sacramento Kings,d748f99a-f263-4fd7-8016-e2d7a4c298d8
31,2016,Myles Turner,F,Indiana Pacers,1d73aa8e-2ad6-4893-845a-b20a22863047
32,2016,Justise Winslow,F,Miami Heat,543f64b7-92fd-4004-917b-05ea7ec8a57f
