,Year,Player,Pos,Team,UUID
0,2022,Stephen Curry,PG,Golden State Warriors,0d729373-8640-4772-922d-1f8d86817adc
1,2021,Giannis Antetokounmpo,PF,Milwaukee Bucks,6e925a07-b5f1-4f4f-87dd-d9fdf1d4ac44
2,2020,LeBron James,F,Los Angeles Lakers,4ae6326c-7a7a-4902-a874-ae7a1358a285
3,2019,Kawhi Leonard,F,Toronto Raptors,2f7f0fa9-e257-410a-9ce5-76d5169b07be
4,2018,Kevin Durant,F,Golden State Warriors,fd4f493e-5002-456a-988a-109d51120984
5,2017,Kevin Durant,F,Golden State Warriors,fd4f493e-5002-456a-988a-109d51120984
6,2016,LeBron James,F,Cleveland Cavaliers,4ae6326c-7a7a-4902-a874-ae7a1358a285
7,2015,Andre Iguodala,F,Golden State Warriors,47bcd493-56f5-4460-a03a-050bc3581522
8,2014,Kawhi Leonard,F,San Antonio Spurs,2f7f0fa9-e257-410a-9ce5-76d5169b07be
9,2013,LeBron James,F,Miami Heat,4ae6326c-7a7a-4902-a874-ae7a1358a285
10,2012,LeBron James,F,Miami Heat,4ae6326c-7a7a-4902-a874-ae7a1358a285
11,2011,Dirk Nowitzki,F,Dallas Mavericks,4700c150-0c70-4d0e-b464-75b7c0062372
12,2010,Kobe Bryant,SF,Los Angeles Lakers,de239086-5a79-49b6-a5b1-552a168da685
13,2009,Kobe Bryant,SF,Los Angeles Lakers,de239086-5a79-49b6-a5b1-552a168da685
14,2008,Paul Pierce,SF,Boston Celtics,4b9de629-5a81-4abd-a7f2-5d3cbc8b19f6
15,2007,Tony Parker,G,San Antonio Spurs,c379561a-119d-4af0-92e7-8f28c6cdfd94
16,2006,Dwyane Wade,G,Miami Heat,28880f9d-32fd-4989-81f5-f512bd9985dc
17,2005,Tim Duncan,C,San Antonio Spurs,5d4a4b8e-cecc-4fae-977b-853801dae01d
18,2004,Chauncey Billups,PG,Detroit Pistons,6b545b06-856d-4dee-8fdb-139c8909fc46
19,2003,Tim Duncan,C,San Antonio Spurs,5d4a4b8e-cecc-4fae-977b-853801dae01d
20,2002,Shaquille O'Neal,C,Los Angeles Lakers,3fab405f-b6e2-4a04-8e0c-c58d6a1fea7c
21,2001,Shaquille O'Neal,C,Los Angeles Lakers,3fab405f-b6e2-4a04-8e0c-c58d6a1fea7c
22,2000,Shaquille O'Neal,C,Los Angeles Lakers,3fab405f-b6e2-4a04-8e0c-c58d6a1fea7c
