,Year,Player,Pos,Team,UUID
0,2022,Ja Morant,PG,Memphis Grizzlies,995f5469-0ad6-4593-9259-39a82870eb2d
1,2021,Julius Randle,PF,New York Knicks,faedf474-4d88-4710-9c85-b4fd8d1cf672
2,2020,Brandon Ingram,F,New Orleans Pelicans,955fc3b8-6d53-4fb4-9c6e-37088fe56763
3,2019,Pascal Siakam,F,Toronto Raptors,13e0791e-4851-4c0b-a496-2a1a7c379f5e
4,2018,Victor Oladipo,G,Indiana Pacers,465372ba-ce7e-41fe-bba6-993a5eed0c90
5,2017,Giannis Antetokounmpo,F,Milwaukee Bucks,6e925a07-b5f1-4f4f-87dd-d9fdf1d4ac44
6,2016,CJ McCollum,G,Portland Trail Blazers,ff72c75a-58cb-46dd-8306-3a7ced101e41
7,2015,Jimmy Butler,G,Chicago Bulls,659f6c7f-66ff-4642-ad0f-73de6588fd22
8,2014,Goran Dragic,G,Phoenix Suns,d641e2e8-a511-4172-bb4c-fb1f200f7e9a
9,2013,Paul George,G,Indiana Pacers,8bd6e7d0-0bde-4802-8a48-8678839740cc
10,2012,Ryan Anderson,PF,Orlando Magic,470888f7-e4da-4ae5-8cad-0a6afc62db8f
11,2011,Kevin Love,PF,Minnesota Timberwolves,6cf2a8c0-1e3f-453d-a0be-246271d28dc7
12,2010,Aaron Brooks,G,Houston Rockets,ec2b1cb4-c757-44f1-928f-ecdbe9f09232
13,2009,Danny Granger,SF,Indiana Pacers,9377be27-4adb-4540-b2f2-f7f81be9c3d3
14,2008,Hedo Turkoglu,SF,Orlando Magic,
15,2007,Monta Ellis,SG,Golden State Warriors,cdc39a9b-8a9a-45f2-9e61-f7718a712ccd
16,2006,Boris Diaw,C,Phoenix Suns,0277bd77-09bf-4987-a6c9-86c284fc360e
17,2005,Bobby Simmons,SF,LA Clippers,8f1b9e57-043a-4860-84f1-0b1a4379127b
18,2004,Zach Randolph,F,Portland Trail Blazers,47621a25-09a8-41b7-9b83-eecf488c549a
19,2003,Gilbert Arenas,PG,Golden State Warriors,7b32f2d8-6a6f-4349-b25c-f95d733105ae
20,2002,Jermaine O'Neal,C,Indiana Pacers,f1e3c3ae-95ab-43a0-bf12-f59d2a96a373
21,2001,Tracy McGrady,SG,Orlando Magic,7c74b779-6f5c-484e-9307-fc05b880c3aa
22,2000,Jalen Rose,SG,Indiana Pacers,9e99123d-074a-4f90-9724-609186a05241
