,Year,Player,Pos,Team,UUID
0,2022,Nikola Jokic,C,Denver Nuggets,4d321b07-ade4-497c-be07-e8335e03b288
1,2021,Nikola Jokic,C,Denver Nuggets,4d321b07-ade4-497c-be07-e8335e03b288
2,2020,Giannis Antetokounmpo,F,Milwaukee Bucks,f5e976f0-2383-4f34-869e-912b0daebc1d
3,2019,Giannis Antetokounmpo,F,Milwaukee Bucks,f5e976f0-2383-4f34-869e-912b0daebc1d
4,2018,James Harden,G,Houston Rockets,ef0995d8-4803-48be-b6b8-d6cdc7e8c433
5,2017,Russell Westbrook,G,Oklahoma City Thunder,503e16ad-6e69-4abd-b647-011fefd6883e
6,2016,Stephen Curry,G,Golden State Warriors,2f1008df-4d89-43d1-b8be-b9f05520f109
7,2015,Stephen Curry,G,Golden State Warriors,2f1008df-4d89-43d1-b8be-b9f05520f109
8,2014,Kevin Durant,F,Oklahoma City Thunder,3a91d425-1011-4d09-9852-8cd43df314bc
9,2013,LeBron James,F,Miami Heat,f15e32f6-36a9-4efb-bce0-043c1bc98f68
10,2012,LeBron James,SF,Miami Heat,f15e32f6-36a9-4efb-bce0-043c1bc98f68
11,2011,Derrick Rose,PG,Chicago Bulls,e7d6802d-b0a7-4172-a723-dd36c473553c
12,2010,LeBron James,SF,Cleveland Cavaliers,f15e32f6-36a9-4efb-bce0-043c1bc98f68
13,2009,LeBron James,SF,Cleveland Cavaliers,f15e32f6-36a9-4efb-bce0-043c1bc98f68
14,2008,Kobe Bryant,SF,Los Angeles Lakers,24d0e17f-fb15-4609-84f0-ff0d88dc0937
15,2007,Dirk Nowitzki,F,Dallas Mavericks,2c65279f-3a4f-4c12-8369-793f979c9934
16,2006,Steve Nash,PG,Phoenix Suns,e22dbb44-a0dc-4d1b-8d5f-5311077027f4
17,2005,Steve Nash,PG,Phoenix Suns,e22dbb44-a0dc-4d1b-8d5f-5311077027f4
18,2004,Kevin Garnett,PF,Minnesota Timberwolves,4035d838-5ed7-4507-86ad-0488a9b9c358
19,2003,Tim Duncan,C,San Antonio Spurs,1aba9f56-0b6b-428e-b755-819a337ce515
20,2002,Tim Duncan,C,San Antonio Spurs,1aba9f56-0b6b-428e-b755-819a337ce515
21,2001,Allen Iverson,SG,Philadelphia 76ers,d8c52d19-deaa-48c8-86da-ec699b2a0852
22,2000,Shaquille O'Neal,C,Los Angeles Lakers,74b99a51-bb65-436f-8bcc-7022af2a490a
