,Player,Salary,Year,UUID_x,UUID_y
0,Kevin Garnett,19610000.0,2000,ef209281-6058-455b-b80e-67de1bb7ca33,ef209281-6058-455b-b80e-67de1bb7ca33
1,Shaquille O'Neal,19285715.0,2000,d42667a5-3c8d-4f85-a53d-3cb416101427,d42667a5-3c8d-4f85-a53d-3cb416101427
2,Alonzo Mourning,16880000.0,2000,1a414ff2-449f-402b-be3e-5ae1473b40e7,1a414ff2-449f-402b-be3e-5ae1473b40e7
3,Juwan Howard,16875000.0,2000,ad516f23-d6cc-4bfb-bd20-64bb7cd856c9,ad516f23-d6cc-4bfb-bd20-64bb7cd856c9
4,Hakeem Olajuwon,16700000.0,2000,d1a148cc-7b1e-4529-a644-1e663a3e5f1c,d1a148cc-7b1e-4529-a644-1e663a3e5f1c
5,Karl Malone,15750000.0,2000,de531395-d414-4834-8a90-ff5084ea98d3,de531395-d414-4834-8a90-ff5084ea98d3
6,David Robinson,14700000.0,2000,a0eeced5-9181-4931-b6f2-9059da40f810,a0eeced5-9181-4931-b6f2-9059da40f810
7,Dikembe Mutombo,14400000.0,2000,050dc132-f97d-44a2-8151-43df91ce26cc,050dc132-f97d-44a2-8151-43df91ce26cc
8,Patrick Ewing,14000000.0,2000,d3e4b93c-d4a6-4240-ac2f-9784bb3de5ad,d3e4b93c-d4a6-4240-ac2f-9784bb3de5ad
9,Jayson Williams,13800000.0,2000,243a1390-0e17-4540-9b33-3d40652fcf6d,243a1390-0e17-4540-9b33-3d40652fcf6d
10,Scottie Pippen,13750000.0,2000,cd01a139-c78c-41f1-9edc-98cd3ebaf172,cd01a139-c78c-41f1-9edc-98cd3ebaf172
11,Rasheed Wallace,12600000.0,2000,ff03ad04-ec27-4bd6-beb8-e3e0f62ec5b8,ff03ad04-ec27-4bd6-beb8-e3e0f62ec5b8
12,Gary Payton,12200000.0,2000,8b4cdb49-47ba-4bb3-a845-e30cbb0e16c9,8b4cdb49-47ba-4bb3-a845-e30cbb0e16c9
13,Tim Hardaway,12000000.0,2000,2462a488-ed07-4e32-90e5-4dbeeccbd3ae,2462a488-ed07-4e32-90e5-4dbeeccbd3ae
14,Chris Webber,12000000.0,2000,831d020d-955d-44df-8725-e2aa8958dcaa,831d020d-955d-44df-8725-e2aa8958dcaa
15,Shawn Kemp,11720000.0,2000,afbe4dd0-9fef-49f5-8179-17be90a9e7bc,afbe4dd0-9fef-49f5-8179-17be90a9e7bc
16,Damon Stoudamire,11250000.0,2000,8ffd37d1-7c86-4e4e-9c39-39eebde883d7,8ffd37d1-7c86-4e4e-9c39-39eebde883d7
17,Arvydas Sabonis,11250000.0,2000,a4355982-fe61-4250-afeb-90518a74a899,a4355982-fe61-4250-afeb-90518a74a899
18,Larry Johnson,11000000.0,2000,5dcbfe0b-3390-4e34-9704-448b88a8ab34,5dcbfe0b-3390-4e34-9704-448b88a8ab34
19,John Stockton,11000000.0,2000,aa63c65c-e100-405a-b365-2e9c1e55d10c,aa63c65c-e100-405a-b365-2e9c1e55d10c
20,Antonio McDyess,10800000.0,2000,e94d3e7d-1120-41c9-87d7-8df334b1b8f0,e94d3e7d-1120-41c9-87d7-8df334b1b8f0
21,Reggie Miller,10670000.0,2000,606ffedf-0098-40ca-9e42-f377e177faf9,606ffedf-0098-40ca-9e42-f377e177faf9
22,Antoine Walker,10130000.0,2000,c10a4a01-685e-440d-9ff1-edda64ce5085,c10a4a01-685e-440d-9ff1-edda64ce5085
23,Stephon Marbury,10130000.0,2000,f4a28617-660c-488b-86a2-c1a6daa178f1,f4a28617-660c-488b-86a2-c1a6daa178f1
24,Zydrunas Ilgauskas,10130000.0,2000,e9a9332a-39e7-4186-ada5-1d1528b9f78d,e9a9332a-39e7-4186-ada5-1d1528b9f78d
25,Kobe Bryant,10130000.0,2000,a6d9c687-bb4a-4e9e-9acb-0808cd4df26c,a6d9c687-bb4a-4e9e-9acb-0808cd4df26c
26,Shareef Abdur-Rahim,10130000.0,2000,9bca46ac-bf8e-488b-b2f5-0f470a19e700,9bca46ac-bf8e-488b-b2f5-0f470a19e700
27,Ray Allen,10130000.0,2000,5490fea4-bb7e-4255-af03-07558e6fdbde,5490fea4-bb7e-4255-af03-07558e6fdbde
28,Vin Baker,10130000.0,2000,35231458-eac6-4c38-84d2-3ba00b987a0e,35231458-eac6-4c38-84d2-3ba00b987a0e
29,Allen Iverson,10130000.0,2000,91628ea3-c56e-4b55-9fb9-b1f78d064cf8,91628ea3-c56e-4b55-9fb9-b1f78d064cf8
30,Anfernee Hardaway,10130000.0,2000,d85926ec-37b5-4738-95e6-cb71fc3265e3,d85926ec-37b5-4738-95e6-cb71fc3265e3
31,Latrell Sprewell,10125000.0,2000,614a7bf9-8fca-4f86-97a3-647f164ff172,614a7bf9-8fca-4f86-97a3-647f164ff172
32,Bryant Reeves,10110000.0,2000,bfe6bb16-64f2-413f-abd3-b2e5f20a1d8e,bfe6bb16-64f2-413f-abd3-b2e5f20a1d8e
33,Mitch Richmond,10000000.0,2000,d6027534-1fae-42d6-b863-34e7d8694032,d6027534-1fae-42d6-b863-34e7d8694032
34,Rod Strickland,10000000.0,2000,9ed71952-085b-45b3-9d3d-ca2593322157,9ed71952-085b-45b3-9d3d-ca2593322157
35,Jalen Rose,9660000.0,2000,29219f85-fd55-4b32-af97-980a5a50a1fb,29219f85-fd55-4b32-af97-980a5a50a1fb
36,Grant Hill,9660000.0,2000,825bbc92-a74f-4bac-b8ce-1b9c2dfc3670,825bbc92-a74f-4bac-b8ce-1b9c2dfc3670
37,Tracy McGrady,9660000.0,2000,82afce27-11cb-4250-b775-4921c418b113,82afce27-11cb-4250-b775-4921c418b113
38,Tim Duncan,9660000.0,2000,c9860018-ccd9-4a65-b26c-6725b216e07c,c9860018-ccd9-4a65-b26c-6725b216e07c
39,Vlade Divac,9640000.0,2000,d4e8d703-8414-4ff0-84f0-2eae5d85d753,d4e8d703-8414-4ff0-84f0-2eae5d85d753
40,Tom Gugliotta,9360000.0,2000,5631d440-f7b3-4604-8708-5e5760f8618a,5631d440-f7b3-4604-8708-5e5760f8618a
41,Nick Van Exel,9200000.0,2000,d77af96d-d916-403e-9c4d-dc825f666f0c,d77af96d-d916-403e-9c4d-dc825f666f0c
42,Keith Van Horn,9000000.0,2000,efc66df3-6259-4618-abe4-8eb13502e725,efc66df3-6259-4618-abe4-8eb13502e725
43,Allan Houston,9000000.0,2000,f49e1556-a660-47b1-b90b-c6eccbfd8fc1,f49e1556-a660-47b1-b90b-c6eccbfd8fc1
44,Eddie Jones,8960000.0,2000,710f1dca-19c5-483b-8460-492da6fdd2b2,710f1dca-19c5-483b-8460-492da6fdd2b2
45,Brian Grant,8900000.0,2000,68e3b101-f421-4868-8724-533278b6da13,68e3b101-f421-4868-8724-533278b6da13
46,Tim Thomas,8510000.0,2000,2a78af81-99d4-4c24-8f54-dacc398f5287,2a78af81-99d4-4c24-8f54-dacc398f5287
47,Michael Finley,8400000.0,2000,2d66b9fb-f4cd-4da9-9e90-e88b8e8a6ada,2d66b9fb-f4cd-4da9-9e90-e88b8e8a6ada
48,Shawn Bradley,8370000.0,2000,79462039-f0b9-44e2-bf18-bf3a61bd19b0,79462039-f0b9-44e2-bf18-bf3a61bd19b0
49,Terrell Brandon,8330000.0,2000,52f4651f-5e9b-4367-b5e3-0dc12d314c06,52f4651f-5e9b-4367-b5e3-0dc12d314c06
50,Glenn Robinson,8120000.0,2000,0a06bd46-2fc2-4efb-aa14-974ae7c7d4bc,0a06bd46-2fc2-4efb-aa14-974ae7c7d4bc
51,Steve Smith,8100000.0,2000,499a6185-a152-4daa-89c0-409fee28cfb0,499a6185-a152-4daa-89c0-409fee28cfb0
52,Elden Campbell,8050000.0,2000,22f4d494-3bb5-49ec-baea-eb8c53e7ca05,22f4d494-3bb5-49ec-baea-eb8c53e7ca05
53,Danny Manning,8030000.0,2000,6eecaff9-9af7-48f1-b871-2f110d17b613,6eecaff9-9af7-48f1-b871-2f110d17b613
54,Derrick Coleman,8000000.0,2000,42dd84e9-21ce-4b35-bab8-789a66a685b3,42dd84e9-21ce-4b35-bab8-789a66a685b3
55,Avery Johnson,8000000.0,2000,5d34716d-a54e-4d6b-8329-78d5333b7406,5d34716d-a54e-4d6b-8329-78d5333b7406
56,Theo Ratliff,7800000.0,2000,37a6a71e-a9b3-4831-bc46-face8b78875f,37a6a71e-a9b3-4831-bc46-face8b78875f
57,Kerry Kittles,7770000.0,2000,162431e4-2009-4509-b89d-f066944bdad5,162431e4-2009-4509-b89d-f066944bdad5
58,Jason Kidd,7680000.0,2000,7da2df71-6573-47b7-b154-748f92771abe,7da2df71-6573-47b7-b154-748f92771abe
59,Glen Rice,7578900.0,2000,ba1122f3-532a-459f-af5b-05621e04f0fa,ba1122f3-532a-459f-af5b-05621e04f0fa
60,Kenny Anderson,7520000.0,2000,1bd8b25f-5edd-404b-a9eb-932838d7e8a0,1bd8b25f-5edd-404b-a9eb-932838d7e8a0
61,Matt Geiger,7515840.0,2000,f01beb72-d3bb-4d4f-9f42-d5692b5a8df4,f01beb72-d3bb-4d4f-9f42-d5692b5a8df4
62,Tyrone Hill,7300000.0,2000,a008321c-31e4-45a7-8412-430a9e043602,a008321c-31e4-45a7-8412-430a9e043602
63,Kendall Gill,7000000.0,2000,c9c5bdde-85af-4ab9-b736-1b9079598136,c9c5bdde-85af-4ab9-b736-1b9079598136
64,Clifford Robinson,6890000.0,2000,7be93182-cd4d-4784-b3a6-9ec9dfeab5f2,7be93182-cd4d-4784-b3a6-9ec9dfeab5f2
65,Christian Laettner,6625000.0,2000,03b6b280-d025-4409-9e34-8932472061c8,03b6b280-d025-4409-9e34-8932472061c8
66,Horace Grant,6500000.0,2000,18c74b11-833d-470f-8f65-e13432753c05,18c74b11-833d-470f-8f65-e13432753c05
67,Jamal Mashburn,6200000.0,2000,51f52199-c4a7-490f-982e-54d3f4f8f98f,51f52199-c4a7-490f-982e-54d3f4f8f98f
68,Chris Dudley,6200000.0,2000,e254b929-6a8e-45f9-a8e2-8e04f4a30299,e254b929-6a8e-45f9-a8e2-8e04f4a30299
69,Toni Kukoc,6000000.0,2000,77438945-c159-4220-9c9f-9424c8e2c093,77438945-c159-4220-9c9f-9424c8e2c093
70,Dale Davis,6000000.0,2000,a2d02aac-306b-4825-9522-9e9557dbc685,a2d02aac-306b-4825-9522-9e9557dbc685
71,Bryant Stith,5920000.0,2000,78ffb9be-6444-4214-bf75-1aff2e9704d0,78ffb9be-6444-4214-bf75-1aff2e9704d0
72,Alan Henderson,5910000.0,2000,2524f55c-cac7-4eaf-9e76-668ee9ab9a21,2524f55c-cac7-4eaf-9e76-668ee9ab9a21
73,Charles Oakley,5760000.0,2000,e0d4ec92-e11a-42f1-b5b6-cfc0b5eea661,e0d4ec92-e11a-42f1-b5b6-cfc0b5eea661
74,Marcus Camby,5750000.0,2000,79ff3072-8df4-42c4-9d3f-4995e0974679,79ff3072-8df4-42c4-9d3f-4995e0974679
75,Luc Longley,5750000.0,2000,d2d332f7-67af-4bc9-bd28-d53ab5bf06f1,d2d332f7-67af-4bc9-bd28-d53ab5bf06f1
76,PJ Brown,5740000.0,2000,5b5e44cb-be96-465f-968e-b0d6437fa6e8,5b5e44cb-be96-465f-968e-b0d6437fa6e8
77,Jermaine O'Neal,5710000.0,2000,0204faa2-83f5-43c1-a492-a312b07cee92,0204faa2-83f5-43c1-a492-a312b07cee92
78,Donyell Marshall,5630000.0,2000,1501d536-315e-4e7c-beff-19261cba9e6a,1501d536-315e-4e7c-beff-19261cba9e6a
79,Erick Dampier,5610000.0,2000,7e8268cd-34e2-4466-a6f6-fed76b219b1d,7e8268cd-34e2-4466-a6f6-fed76b219b1d
80,Wesley Person,5600000.0,2000,c7bedcd0-caa6-4632-b98c-c2517ad5b4b1,c7bedcd0-caa6-4632-b98c-c2517ad5b4b1
81,Chris Gatling,5550000.0,2000,baf1b88c-3c2f-4784-ac7a-afe2a33f86cc,baf1b88c-3c2f-4784-ac7a-afe2a33f86cc
82,Anthony Mason,5550000.0,2000,e549ed82-12ac-44ed-b0f6-a6d32367c85b,e549ed82-12ac-44ed-b0f6-a6d32367c85b
83,Ron Mercer,5520000.0,2000,6beaa789-b008-4f02-9e5b-ccd1668f5a08,6beaa789-b008-4f02-9e5b-ccd1668f5a08
84,Steve Nash,5500000.0,2000,046f02e2-399a-4377-b7b3-cf7fe0af640a,046f02e2-399a-4377-b7b3-cf7fe0af640a
85,Isaac Austin,5500000.0,2000,795cae7e-ddaa-44fc-9225-c2cece1673d8,795cae7e-ddaa-44fc-9225-c2cece1673d8
86,Antonio Davis,5500000.0,2000,7b5bb323-357e-4916-b9a7-edc7e17324b4,7b5bb323-357e-4916-b9a7-edc7e17324b4
87,Jim McIlvaine,5400000.0,2000,77d9423d-8724-4f9b-af83-2a424743d84a,77d9423d-8724-4f9b-af83-2a424743d84a
88,Derrick McKey,5400000.0,2000,4fff9729-2ae2-4872-83cf-42484f292769,4fff9729-2ae2-4872-83cf-42484f292769
89,Kelvin Cato,5330000.0,2000,445b1829-0843-461e-83a4-6aee1194645d,445b1829-0843-461e-83a4-6aee1194645d
90,Jerry Stackhouse,5310000.0,2000,75e5b804-1b42-43f0-847e-8490d3984334,75e5b804-1b42-43f0-847e-8490d3984334
91,Austin Croshere,5300000.0,2000,3ca59c45-8043-45ac-819b-87458a40cf52,3ca59c45-8043-45ac-819b-87458a40cf52
92,Sean Elliott,5300000.0,2000,1c244f8d-f65f-4883-9753-fa5326da0298,1c244f8d-f65f-4883-9753-fa5326da0298
93,Greg Ostertag,5200000.0,2000,c0b24c1d-696c-4841-a6af-a1ee84e73136,c0b24c1d-696c-4841-a6af-a1ee84e73136
94,Charlie Ward,5040000.0,2000,b5e13be8-a1a3-42d0-aecb-294407231c82,b5e13be8-a1a3-42d0-aecb-294407231c82
95,Lorenzen Wright,4950000.0,2000,a0cb39f0-3913-4aaa-98a8-e736e7f07424,a0cb39f0-3913-4aaa-98a8-e736e7f07424
96,Loy Vaught,4812025.0,2000,f626445b-9d31-407e-857f-af5ad7447b0a,f626445b-9d31-407e-857f-af5ad7447b0a
97,Chris Mills,4800000.0,2000,5e531346-2b8b-4a54-b83a-ee02462e5518,5e531346-2b8b-4a54-b83a-ee02462e5518
98,Mookie Blaylock,4800000.0,2000,1a31dad8-5201-4180-9d3f-e00c2cd22530,1a31dad8-5201-4180-9d3f-e00c2cd22530
99,Robert Horry,4800000.0,2000,ea66c18d-85bd-43d4-9b74-44b9bd9177e9,ea66c18d-85bd-43d4-9b74-44b9bd9177e9
100,Hersey Hawkins,4760000.0,2000,91e550a8-034d-4bac-8bfe-5d8d81199485,91e550a8-034d-4bac-8bfe-5d8d81199485
101,Chris Childs,4680000.0,2000,a6b7efd3-766a-43d1-be8d-5896f20b3e4d,a6b7efd3-766a-43d1-be8d-5896f20b3e4d
102,Chris Mullin,4650000.0,2000,709fb210-0b5d-47ef-a98b-490b98ad8ebc,709fb210-0b5d-47ef-a98b-490b98ad8ebc
103,Bobby Phills,4640000.0,2000,0354ab14-1a44-4641-9396-43946b996883,0354ab14-1a44-4641-9396-43946b996883
104,Bryon Russell,4570000.0,2000,3bbde1ad-1f93-471e-a9c8-8f1486e77715,3bbde1ad-1f93-471e-a9c8-8f1486e77715
105,Tariq Abdul-Wahad,4500000.0,2000,63652ff9-ff4a-4e68-8a5d-b1f829f9dc39,63652ff9-ff4a-4e68-8a5d-b1f829f9dc39
106,Bo Outlaw,4500000.0,2000,5c242216-d68e-4acb-aa60-1e9e3527295d,5c242216-d68e-4acb-aa60-1e9e3527295d
107,Bob Sura,4390000.0,2000,e5de96e4-c47d-4c59-a9c3-f0ab3e07c119,e5de96e4-c47d-4c59-a9c3-f0ab3e07c119
108,Jason Caffey,4380000.0,2000,ab6a072d-7d4c-40c8-a9b9-cae6cf075378,ab6a072d-7d4c-40c8-a9b9-cae6cf075378
109,Robert Pack,4320000.0,2000,5ce03082-bcba-4910-902f-f19367ec56c5,5ce03082-bcba-4910-902f-f19367ec56c5
110,Brent Barry,4320000.0,2000,80611af0-e178-4213-9d44-45a482afb864,80611af0-e178-4213-9d44-45a482afb864
111,Vitaly Potapenko,4290000.0,2000,9eef3371-7b63-4a29-974f-7d7f5c6e047a,9eef3371-7b63-4a29-974f-7d7f5c6e047a
112,Brevin Knight,4250000.0,2000,85b01291-11a7-4c4b-be04-7d0a4ed6540d,85b01291-11a7-4c4b-be04-7d0a4ed6540d
113,Howard Eisley,4250000.0,2000,0d807178-9985-40cc-8200-0bafe80daae8,0d807178-9985-40cc-8200-0bafe80daae8
114,Walt Williams,4250000.0,2000,36c3887c-ccc2-4b8a-806c-ac46bd569fe6,36c3887c-ccc2-4b8a-806c-ac46bd569fe6
115,Scott Williams,4200000.0,2000,af7554a4-4535-4ac9-b1ec-6c7828581afe,af7554a4-4535-4ac9-b1ec-6c7828581afe
116,Dan Majerle,4050000.0,2000,7d77ab59-4c43-4524-af88-9fef0670b466,7d77ab59-4c43-4524-af88-9fef0670b466
117,Brad Miller,4000000.0,2000,4aeb5020-2405-417e-ac87-28c74bcaab0e,4aeb5020-2405-417e-ac87-28c74bcaab0e
118,Ben Wallace,4000000.0,2000,f2bdd3fc-dffb-4af6-8f9e-a59830f02d31,f2bdd3fc-dffb-4af6-8f9e-a59830f02d31
119,Duane Causwell,4000000.0,2000,b1762e00-8fe0-484e-b7c7-8d27c1ad3f14,b1762e00-8fe0-484e-b7c7-8d27c1ad3f14
120,Sam Cassell,4000000.0,2000,b7efea78-56f0-45c3-b628-8398bd0ab2f7,b7efea78-56f0-45c3-b628-8398bd0ab2f7
121,Danny Fortson,3950000.0,2000,a5e4d742-41b3-4ec0-a9a1-32416a260977,a5e4d742-41b3-4ec0-a9a1-32416a260977
122,Corliss Williamson,3940000.0,2000,452338b7-bbe5-4cfe-83f4-5a160a03a5bf,452338b7-bbe5-4cfe-83f4-5a160a03a5bf
123,Cedric Ceballos,3937500.0,2000,6cf69267-e25a-41b6-be49-fdcb5d84fd6c,6cf69267-e25a-41b6-be49-fdcb5d84fd6c
124,Jahidi White,3922000.0,2000,726d795e-658a-40c6-8ad7-6921e4a72b13,726d795e-658a-40c6-8ad7-6921e4a72b13
125,Cuttino Mobley,3920000.0,2000,c9c6757c-804c-4184-a1bd-40fe6ec3de3b,c9c6757c-804c-4184-a1bd-40fe6ec3de3b
126,Rashard Lewis,3920000.0,2000,4af877a3-106a-4d31-a6f9-5c7b29fdc39a,4af877a3-106a-4d31-a6f9-5c7b29fdc39a
127,Scot Pollard,3920000.0,2000,0c779bcf-63ae-4609-8e1a-f11db25d0605,0c779bcf-63ae-4609-8e1a-f11db25d0605
128,Eric Williams,3890000.0,2000,b4c4b945-e347-4a1e-8b03-e0c401f8d1a0,b4c4b945-e347-4a1e-8b03-e0c401f8d1a0
129,Voshon Lenard,3780000.0,2000,ba2bb6d7-3185-4078-b217-508f261385c8,ba2bb6d7-3185-4078-b217-508f261385c8
130,Nick Anderson,3750000.0,2000,820d257f-f5e9-4ffa-af8b-2f966e7251e3,820d257f-f5e9-4ffa-af8b-2f966e7251e3
131,Dana Barros,3700000.0,2000,34d40902-a539-4255-84ff-98616c6a2213,34d40902-a539-4255-84ff-98616c6a2213
132,Michael Olowokandi,3697440.0,2000,f81333d5-e082-4025-ab58-17a881cd0c28,f81333d5-e082-4025-ab58-17a881cd0c28
133,Doug West,3680000.0,2000,4f4cd533-ae3d-40f5-bf50-c4e6b8c797e8,4f4cd533-ae3d-40f5-bf50-c4e6b8c797e8
134,Kurt Thomas,3680000.0,2000,f79238c8-c0c5-40d6-8ab5-9567044affc3,f79238c8-c0c5-40d6-8ab5-9567044affc3
135,Elton Brand,3629160.0,2000,34d929e0-c2ce-41b5-b833-486dd7f31c3c,34d929e0-c2ce-41b5-b833-486dd7f31c3c
136,Adonal Foyle,3580000.0,2000,466dfc51-cdd6-4f8a-83b8-629d8c9f8744,466dfc51-cdd6-4f8a-83b8-629d8c9f8744
137,Mark Jackson,3570000.0,2000,c129f1df-8f2d-4748-aa46-9645f7e97531,c129f1df-8f2d-4748-aa46-9645f7e97531
138,Kenyon Martin,3536640.0,2000,5f9f17e1-6d26-4e2a-b4fe-dd8f87454e60,5f9f17e1-6d26-4e2a-b4fe-dd8f87454e60
139,Michael Stewart,3520000.0,2000,98dd9fe1-fa41-4070-a8eb-d5bf804460fa,98dd9fe1-fa41-4070-a8eb-d5bf804460fa
140,Derek Strong,3510000.0,2000,2d03d416-6bd5-4a38-98e1-8bdd07979323,2d03d416-6bd5-4a38-98e1-8bdd07979323
141,Travis Best,3500000.0,2000,be2aad4a-6506-4538-b8b2-878c55e05d61,be2aad4a-6506-4538-b8b2-878c55e05d61
142,Rex Chapman,3500000.0,2000,9cf004ea-3a13-48c8-b2ca-9d649aa9bb47,9cf004ea-3a13-48c8-b2ca-9d649aa9bb47
143,Greg Anthony,3500000.0,2000,9400f675-4cf5-4a40-b5e4-09fe96350ee8,9400f675-4cf5-4a40-b5e4-09fe96350ee8
144,Rick Fox,3400000.0,2000,f8c29149-cb4e-49ee-896f-c836de4faf66,f8c29149-cb4e-49ee-896f-c836de4faf66
145,Adam Keefe,3390000.0,2000,eefbde3a-8576-4fe2-b496-d3caffbfe513,eefbde3a-8576-4fe2-b496-d3caffbfe513
146,Lamond Murray,3380000.0,2000,41a38b9d-88a5-451b-8290-dffd1a982bbe,41a38b9d-88a5-451b-8290-dffd1a982bbe
147,Derek Fisher,3380000.0,2000,3b269078-d531-47d2-aacb-1b8bde6dda55,3b269078-d531-47d2-aacb-1b8bde6dda55
148,Eric Snow,3380000.0,2000,aa7737e1-c82a-45ea-9075-f8e0f167b89a,aa7737e1-c82a-45ea-9075-f8e0f167b89a
149,Mike Bibby,3308160.0,2000,2a0bee75-2ef8-4070-8863-5545a83e3923,2a0bee75-2ef8-4070-8863-5545a83e3923
150,Jud Buechler,3260000.0,2000,172d6d37-5490-448f-9e60-93d3535feb83,172d6d37-5490-448f-9e60-93d3535feb83
151,Steve Francis,3246960.0,2000,28415659-d2dd-491b-a149-4d221ea4eda4,28415659-d2dd-491b-a149-4d221ea4eda4
152,Greg Minor,3240000.0,2000,2d16ac78-c7b6-4cc3-979b-2b1feac0f922,2d16ac78-c7b6-4cc3-979b-2b1feac0f922
153,Tony Battie,3200000.0,2000,7b340d56-c6a1-4aff-9e12-9575368e84a5,7b340d56-c6a1-4aff-9e12-9575368e84a5
154,Travis Knight,3200000.0,2000,8c9c2c4e-84ee-4dac-b46c-b23e86f5cd12,8c9c2c4e-84ee-4dac-b46c-b23e86f5cd12
155,Don MacLean,3178500.0,2000,5ebd1eb8-0f5a-45e2-856c-55471c1c4838,5ebd1eb8-0f5a-45e2-856c-55471c1c4838
156,Stromile Swift,3164280.0,2000,12e4ee8c-cef9-4dd2-a389-9dead307cfde,12e4ee8c-cef9-4dd2-a389-9dead307cfde
157,Doug Christie,3140000.0,2000,279de2a8-f0e6-4348-8294-a3b785032aaf,279de2a8-f0e6-4348-8294-a3b785032aaf
