,Player,Salary,Year,UUID
0,Kobe Bryant,24806250.0,2010,a6d9c687-bb4a-4e9e-9acb-0808cd4df26c
1,Rashard Lewis,19573711.0,2010,4af877a3-106a-4d31-a6f9-5c7b29fdc39a
2,Kevin Garnett,18800000.0,2010,ef209281-6058-455b-b80e-67de1bb7ca33
3,Tim Duncan,18700000.0,2010,c9860018-ccd9-4a65-b26c-6725b216e07c
4,Michael Redd,18300000.0,2010,4563fa6c-0d65-4b84-abd8-6aebae53e4dc
5,Pau Gasol,17823000.0,2010,013b2d3e-8f97-4c85-a6d9-d7eff5249653
6,Andrei Kirilenko,17823000.0,2010,9d2059f0-26e3-4a34-8b83-d5bf4a6411a4
7,Gilbert Arenas,17730694.0,2010,b792ebf2-2f5c-4479-93dd-d89f38a78f19
8,Yao Ming,17686100.0,2010,37f83e41-4b44-4569-a13a-9cd72a5d4833
9,Zach Randolph,17666666.0,2010,79d1debc-711c-405e-9424-310bf28f0089
10,Vince Carter,17300000.0,2010,cceea848-8142-4446-915f-503473ed554e
11,Dirk Nowitzki,17278618.0,2010,750f604c-77cf-488e-8cc5-41da49b1913b
12,Carmelo Anthony,17149243.0,2010,fe2a0d3b-38ff-4517-aed8-73bad2ba2be6
13,Dwight Howard,16647180.0,2010,3cc22913-fb73-4236-999b-fb2ca2e0e748
14,Kenyon Martin,16545454.0,2010,5f9f17e1-6d26-4e2a-b4fe-dd8f87454e60
15,Amare Stoudemire,16486611.0,2010,2d6b4c03-6753-4801-b58a-cbf9d42aa491
16,Joe Johnson,16324500.0,2010,3dbc5ae3-d3e6-4594-8fb4-a010e842ab29
17,Elton Brand,15959099.0,2010,34d929e0-c2ce-41b5-b833-486dd7f31c3c
18,Predrag Stojakovic,15532320.0,2010,2cad3db8-05e5-49e8-aefa-fe548d954d9e
19,Chris Paul,14940153.0,2010,974ca56d-2292-4bbf-a88c-b0ceba27d533
20,Deron Williams,14940152.0,2010,7f38e34a-ffbe-4fb8-9943-75f17d4f2280
21,LeBron James,14500000.0,2010,2c8484a4-093b-481a-92a2-c3e78785b002
22,Chris Bosh,14500000.0,2010,d6dce992-80af-4625-b63a-90ee9bc30c15
23,Jason Richardson,14444444.0,2010,10095ff5-9546-49c5-b327-9d1b37b88d82
24,Carlos Boozer,14400000.0,2010,8ea3d9d6-69b4-4e4a-97f0-b93e7f179abe
25,Dwyane Wade,14200000.0,2010,72919f32-72db-4ec3-a2a0-26e2ca8e93d2
26,Paul Pierce,13876321.0,2010,237411b2-6022-462b-9d65-1e7d73cd3971
27,Andrew Bynum,13700000.0,2010,08e4c3ed-5f8c-444e-b939-2c31f7b4d696
28,Rudy Gay,13603750.0,2010,692ca04f-92e4-45f6-b79e-473f91896f5f
29,Brandon Roy,13520500.0,2010,8966e322-7266-46e6-836b-bebe6b435ccd
30,Tony Parker,13500000.0,2010,f0dc6d8d-5e0c-4e82-bd29-55eac154dba0
31,Samuel Dalembert,13428129.0,2010,a308687b-d819-47bf-8b0d-7a74997f458f
32,Antawn Jamison,13358905.0,2010,8dc7b4ad-9aa0-4b49-8323-c507a5bf4f3b
33,Nick Collison,13250000.0,2010,c98f3278-e4ca-43d7-a81e-aade8dbc5938
34,Chauncey Billups,13150000.0,2010,5e73b8e9-5e30-4ec7-b87c-9b4ae60f1494
35,Baron Davis,13000000.0,2010,b93e9e89-c029-43f0-8223-5fdadbe74d48
36,Al Jefferson,13000000.0,2010,2b495652-9a40-4ead-92de-fad028ca38bb
37,Tyson Chandler,12600000.0,2010,12374517-e989-4de1-9d7b-2679dc9cf23d
38,Richard Hamilton,12500000.0,2010,8fb68aef-2155-4ed2-b2de-67d9d16b30d6
39,Andre Iguodala,12345250.0,2010,e91e2e36-afcc-4f73-8471-0577a3e522de
40,Troy Murphy,11968253.0,2010,00033453-1d72-496c-bb0f-69d596f120f5
41,Manu Ginobili,11854584.0,2010,46f87452-5fa1-49ed-b94d-13f29dd16945
42,Chris Kaman,11800000.0,2010,d163cc7f-8337-46e6-b76d-b891f46f0f70
43,Marcus Camby,11749832.0,2010,79ff3072-8df4-42c4-9d3f-4995e0974679
44,Josh Smith,11600000.0,2010,057eeead-e0ee-4a24-a341-4e981b8a5f2a
45,Eddy Curry,11530592.0,2010,73a9a435-d286-4927-88ed-ae8ced3c3140
46,Emeka Okafor,11495000.0,2010,4b912284-f506-462a-bf4f-e553463a9a4e
47,Nenê,11360000.0,2010,a97fa4de-1a86-4875-844d-97d6cbcc44d4
48,Luol Deng,11345000.0,2010,ce56f76e-9f99-461b-a0f6-7a0998be596c
49,LaMarcus Aldridge,11244000.0,2010,ce92d2a5-7612-4dc7-9b2c-56d06a8b8684
50,Tayshaun Prince,11148760.0,2010,968d6212-dad4-4a17-b8fc-0c048583a76f
51,Kevin Martin,11100005.0,2010,7f30d576-5516-4038-840c-f8fb6bdd2b8c
52,Monta Ellis,11000000.0,2010,bdb9e293-3d6c-4db2-9f53-9bc1231be04e
53,Andrew Bogut,11000000.0,2010,a5633e2a-9ba9-4883-ab34-db59d303c434
54,Danny Granger,10973202.0,2010,42b84be5-23ef-4cc7-8abc-845a0a917841
55,Jamal Crawford,10800000.0,2010,378b7985-8476-4a85-9992-d2930ae1608c
56,Ben Gordon,10800000.0,2010,f8e1ac2e-ce74-4b34-bd22-710afbca0478
57,David Lee,10800000.0,2010,31b5c0bc-e0f2-4864-a020-d59390f484eb
58,Jason Terry,10650000.0,2010,01be5468-1f37-49bf-9166-251b1fc7a11e
59,Mike Dunleavy,10561984.0,2010,3d2770a1-c301-428b-9eb6-0705fef9b5a4
60,Caron Butler,10561960.0,2010,461abc23-a185-4a1b-ae6c-c291b1e01499
61,Gerald Wallace,10500000.0,2010,1acd9a87-5497-4689-b598-66867e265120
62,Steve Nash,10310938.0,2010,046f02e2-399a-4377-b7b3-cf7fe0af640a
63,Hidayet Turkoglu,10215850.0,2010,d36498f1-ea8d-4c76-bb86-1c44de75943f
64,Ray Allen,10000000.0,2010,5490fea4-bb7e-4255-af03-07558e6fdbde
65,Mehmet Okur,9945000.0,2010,82f2e3eb-8d3f-4e4c-9963-cc1dc4d8bbd6
66,Corey Maggette,9600000.0,2010,4572ddf9-08a3-432c-b2a7-efacc4bf524e
67,Maurice Williams,9300000.0,2010,e05aeee1-cab7-491e-ab21-b414ddebb1bd
68,Rajon Rondo,9090911.0,2010,5fa8ec58-c061-4543-9c4b-1bab44a892b4
69,Kirk Hinrich,9000000.0,2010,3a9c5e42-decc-4f68-bfb0-85f6c70aeaa4
70,Boris Diaw,9000000.0,2010,62eb5eb0-293b-48a0-9a15-b779fd56843e
71,Andris Biedrins,9000000.0,2010,827b3ac5-6715-466b-8d1d-da055996c280
72,Jose Calderon,9000000.0,2010,e260615e-fba1-4817-9086-f9415227c414
73,Devin Harris,8981000.0,2010,4e207fbd-1388-4e89-8797-75be33a45637
74,Jason Kidd,8610500.0,2010,7da2df71-6573-47b7-b154-748f92771abe
75,TJ Ford,8500000.0,2010,82de5bf7-7905-443a-a4a9-6ba7c84eb5c9
76,Andrea Bargnani,8500000.0,2010,b2626992-9e65-405d-b16c-9efe0a702f46
77,Stephen Jackson,8453250.0,2010,e95e296e-e45a-4cf3-a97f-43ea3bc86df1
78,Richard Jefferson,8400000.0,2010,7311172f-8846-485a-8320-611c52a7bbca
79,David West,8287500.0,2010,17c0a58a-21ad-4aae-bbea-935c4ca2bc2a
80,Lamar Odom,8200000.0,2010,8f50bb50-c60a-4b0a-bfb3-c60bb21e548d
81,John Salmons,8000000.0,2010,08bc828d-fb38-470a-bdf6-cb21cfa87506
82,Jameer Nelson,7800000.0,2010,04d85e89-1752-40d8-ba1d-f7e89fe11f47
83,Luis Scola,7775378.0,2010,fdcdd8eb-aaef-447f-8dee-2483b2926712
84,Marko Jaric,7625000.0,2010,864f7a5d-2854-4609-bd2a-d23569c44027
85,Paul Millsap,7600000.0,2010,32c971d8-b34b-4632-b3a3-4d9c45d58e76
86,Raymond Felton,7500000.0,2010,d1d1c0f7-f1f6-4ed7-92c4-75a5a8c1b5a9
87,Joel Przybilla,7405300.0,2010,f0a062e4-cceb-4315-be4c-86b76ae16d47
88,Shane Battier,7354500.0,2010,09e9dd5c-c383-4a56-82a4-77570be39ff4
89,Shawn Marion,7305500.0,2010,809b3617-933b-444e-8d76-05c057123245
90,Anderson Varejao,7281818.0,2010,236a109e-66ac-443d-8113-2a39a0fc9fab
91,Andre Miller,7269264.0,2010,ac49097f-f293-414b-93c5-13ddf21139cc
92,JJ Redick,7250000.0,2010,40495cae-a8f7-458e-a505-7cfb895ec24c
93,Dan Gadzuric,7248325.0,2010,e0f46b29-d09e-43c2-a875-74364e6fd826
94,James Posey,7148800.0,2010,0fbaa786-833c-46f5-b7e3-d6bfc59634db
95,Leandro Barbosa,7100000.0,2010,501632f2-796d-4d29-9242-875b6752d6b2
96,Charlie Villanueva,7020000.0,2010,da69830b-52fc-4a5a-ac47-f5cb771fc573
97,Travis Outlaw,7000000.0,2010,fa8ac25c-1a77-4adf-b662-acd03a4329ae
98,Brendan Haywood,6900000.0,2010,89f209e1-4f1a-4c62-975b-4b3cef6613e3
99,Vladimir Radmanovic,6883800.0,2010,ed209aa5-5eb4-4b93-b35a-4037c098d640
100,Jared Jeffries,6883800.0,2010,a0bde34d-ab35-464f-824f-fa9119fec7b3
101,Nazr Mohammed,6883800.0,2010,d93e53f0-a4e6-44d9-9781-6fd31bb896df
102,Andres Nocioni,6850000.0,2010,a672e440-4eeb-4b2f-96e2-c8f8e882e0d1
103,Greg Oden,6760524.0,2010,f42ca4bd-69a6-4e98-bb01-f9549744ef92
104,JR Smith,6757851.0,2010,c72bc7d9-ac30-4fbe-99d7-a2bbc65ff68d
105,Marvin Williams,6712500.0,2010,069f3d8e-7ce8-4a62-900f-027b825ac89b
106,Morris Peterson,6665000.0,2010,3df19544-5c3c-44f7-a624-fe8de13871b9
107,Jeff Foster,6655000.0,2010,d98ccb67-75f0-4e15-977f-3509edee7916
108,Jason Kapono,6641440.0,2010,094aced7-ef0c-46d8-9712-684488b57f61
109,Tyrus Thomas,6611570.0,2010,dac49e02-62be-49c2-8c64-a5bf7854128e
110,Josh Childress,6500000.0,2010,b08dc062-1474-4f7f-be71-c0e8514d8442
111,DeSagana Diop,6478600.0,2010,b376dd0b-ae5d-4c7d-b4ee-602f80951f5f
112,Beno Udrih,6478600.0,2010,59cdc144-2762-4be2-8784-b39a73455ad7
113,Rasheed Wallace,6322320.0,2010,ff03ad04-ec27-4bd6-beb8-e3e0f62ec5b8
114,Metta World Peace,6322320.0,2010,88b078bf-1d67-482b-a5bf-eb75f0ddc98e
115,Trevor Ariza,6322320.0,2010,65c79908-b9a1-4946-9e5c-6e18e3ca9029
116,Marcin Gortat,6322320.0,2010,ddb4bc06-c09b-4db6-8b2b-f25a6b0dc2f9
117,Kevin Durant,6053663.0,2010,ab8b2946-61ef-47e4-a9db-a3578b648d16
118,Andray Blatche,5900000.0,2010,e94d05a3-d0a5-4024-ab4a-352153eb414c
119,Jermaine O'Neal,5765000.0,2010,0204faa2-83f5-43c1-a492-a312b07cee92
120,Al Harrington,5765000.0,2010,0dac968d-691c-4591-8673-2497c28ef230
121,Wesley Matthews,5765000.0,2010,18a1f4a3-a978-4733-9892-e64a816e41fc
122,Drew Gooden,5760000.0,2010,906a6fc4-fa08-4e70-9146-11cd8df12d95
123,Kyle Lowry,5750000.0,2010,c3603a11-012d-48ef-a4d7-f43549b38983
124,Mike Bibby,5564767.0,2010,2a0bee75-2ef8-4070-8863-5545a83e3923
125,Derrick Rose,5546160.0,2010,8023314c-8f88-41a9-a504-a04bddc4a499
126,Nenad Krstic,5543116.0,2010,27e0db7b-81c6-476a-a81e-6fb973127e89
127,Jamaal Tinsley,5500000.0,2010,6bbd8c42-5e92-406d-b3f4-70bfe83a9186
128,Francisco Garcia,5500000.0,2010,76ba8f34-6230-4ed3-a233-3a9596dfa366
129,Sasha Vujacic,5475113.0,2010,923b33a8-e6cb-4da5-a8ae-a321d7c817fc
130,Al Horford,5444857.0,2010,43f07ef6-9d77-4f3d-9dea-5608527e2d5c
131,Blake Griffin,5357280.0,2010,222c29cf-d8d0-4781-863b-fa1c52380297
132,Mickael Pietrus,5300000.0,2010,241f16a7-12c2-43a9-9bfe-ddb0c2eb7e28
133,Luke Walton,5260000.0,2010,ab1aeaaa-105a-44de-8b01-408f87abf4ab
134,Channing Frye,5200000.0,2010,6e8a1808-669d-4b21-b1c9-63c64d11c638
135,John Wall,5144280.0,2010,95bb7b18-3ee9-4c4b-ba4c-31e504e21fd8
136,Reggie Evans,5080000.0,2010,83b0b20b-9bb8-4215-be17-24b44d5525a2
137,Kyle Korver,5000000.0,2010,c9b1222c-1fd2-41d5-a7ac-2f01b23cd7a0
138,Jason Maxiell,5000000.0,2010,3f8e8f42-1811-4da6-9f2f-88c0f56ca10f
139,Mike Miller,5000000.0,2010,9bcf9934-27f1-4825-a993-7ed79c10d2d7
140,Louis Williams,5000000.0,2010,eb9df5dd-82d2-43bc-9cf5-9dc5ba2db3b9
141,Amir Johnson,5000000.0,2010,3addc02a-3e00-4310-b8cf-40bc055e689e
142,Linas Kleiza,4995000.0,2010,c8cd460b-195c-43f9-9cff-a74241aaeeea
143,Michael Beasley,4962240.0,2010,55aa4a0d-b0bc-471d-823d-ba8969512610
144,Mike Conley,4913007.0,2010,6caed31b-c4c1-4707-84c6-1d6a09c6fd7e
145,Antonio McDyess,4860000.0,2010,e94d3e7d-1120-41c9-87d7-8df334b1b8f0
146,Marcus Banks,4847586.0,2010,7818f5c9-3112-41ac-a3c9-fa65b642432a
147,Darius Songaila,4818000.0,2010,5c945ece-03f0-4715-9e35-037ed3e6484a
148,Martell Webster,4800000.0,2010,d8c317d2-73a8-4a4d-9c03-b1744230d4a5
149,Hasheem Thabeet,4793280.0,2010,6e80c6e7-847f-4079-a79b-0b1a9b25a416
150,Ronnie Brewer,4790000.0,2010,ed97daa1-50ce-4d02-a8f5-66a93b9fc43f
151,Kendrick Perkins,4640208.0,2010,ef29c65c-713a-4c8e-948d-dd9bab9ebecb
152,Evan Turner,4602720.0,2010,b3515deb-f9c3-471b-845c-d1ee8f3efb03
153,Jarrett Jack,4600000.0,2010,f444ace7-2088-4cc5-9cc5-a27db1f6db48
154,Chris Andersen,4533300.0,2010,61d14a2e-7648-454f-affb-782b68523cca
155,OJ Mayo,4456200.0,2010,bcc6cf01-f534-4c13-a3e0-5408add37335
156,Jeff Green,4455988.0,2010,31c3a6f4-d839-40c8-9d21-b879f5437ffe
157,Charlie Bell,4447792.0,2010,db59f070-ee92-421b-9cbd-1c05b6e89e4a
158,Brad Miller,4400000.0,2010,4aeb5020-2405-417e-ac87-28c74bcaab0e
159,Darko Milicic,4325000.0,2010,e52c8700-f534-4f51-894b-664357245711
160,James Harden,4304520.0,2010,be13ad11-221f-401b-8f8a-9919712ea0b9
161,Matt Carroll,4300000.0,2010,2e88cb05-3c30-4c52-825b-669e3091f4cf
162,Zaza Pachulia,4251250.0,2010,e5f956ee-008f-426a-8f09-cf50fe90603b
163,Randy Foye,4250000.0,2010,8b4711cf-81f4-4acf-a59a-a668d3e13003
164,Hakim Warrick,4250000.0,2010,2f726200-1847-4661-984d-39ffa9a928f1
165,Nate Robinson,4200000.0,2010,2f7ab851-fc11-402b-b9c5-729c1442911b
166,DeShawn Stevenson,4151786.0,2010,75597c71-ba69-4c27-a5aa-ebc762f31294
167,Derrick Favors,4133280.0,2010,96494e64-ee95-4a9d-8291-a6b9a9a7014d
168,Yi Jianlian,4050499.0,2010,fe5e51b9-d3b0-41ea-900e-72968997963b
169,Russell Westbrook,4017720.0,2010,9b4779b5-5f1c-4141-85d4-35f3b793f555
170,Daniel Gibson,4015334.0,2010,dd0faa4c-3b7e-49d1-9a72-e97fad3bcc61
171,Anthony Morrow,4000000.0,2010,65b4e860-222b-4f89-8125-223b780de7cc
172,Ryan Gomes,4000000.0,2010,7af849ae-746d-4542-ba39-93210abad28a
173,Steve Blake,4000000.0,2010,12509965-eaf2-48c5-b4f0-e20e06c96873
174,Nikola Pekovic,4000000.0,2010,734dcaf4-aaa2-4b49-b249-3954c14c3775
175,Luke Ridnour,4000000.0,2010,b919fb17-6c10-4afc-b8ac-febaf1dd5e4e
176,Ronny Turiaf,4000000.0,2010,5c51da70-fff1-427b-926d-9b64c09f3c74
177,Brandon Bass,4000000.0,2010,b0c67a2b-f595-4f35-934b-22f959311fa8
178,Willie Green,3976000.0,2010,65a4bc71-fc1a-419d-a82e-5647a78e553b
179,Ramon Sessions,3964320.0,2010,1f3424f6-cc03-4b01-b02b-28d1cdde4525
180,Tyreke Evans,3880920.0,2010,479e7459-2ee0-4cb7-a292-1cc573ff09d3
181,Jordan Farmar,3750000.0,2010,fede2ea1-58b7-4cfc-b9d0-c8d03a01395d
182,Wesley Johnson,3726600.0,2010,1f4adad8-ca68-4391-b224-65433d172f57
183,Corey Brewer,3703472.0,2010,787531d9-6782-41fd-9266-c5ae1730c1f7
184,Derek Fisher,3700000.0,2010,3b269078-d531-47d2-aacb-1b8bde6dda55
185,CJ Miles,3700000.0,2010,8352f622-45d7-4bf1-a4bb-5a8bc733f7a2
186,Kevin Love,3638280.0,2010,5a16f0e0-2da6-4b59-97f5-277858ec9d76
187,Timofey Mozgov,3567096.0,2010,4f344e90-54f9-4088-8c2b-3b7e0142a20a
188,Shaun Livingston,3500000.0,2010,6a185ecc-3e41-44a5-a089-921b85a30247
189,Dorell Wright,3500000.0,2010,e89acfd2-5f92-41fc-a3d7-94f94d5c7ab5
190,Udonis Haslem,3500000.0,2010,eff5a3b4-5604-48bb-ba71-f3c756f0ab1f
191,Carlos Delfino,3500000.0,2010,4997bba0-9677-47fe-b6a9-849a3bea25e0
192,Chris Duhon,3500000.0,2010,a8a81b52-206b-4d3d-8157-2da00ec614aa
193,Marc Gasol,3480000.0,2010,60ecf082-7a85-4bf4-b05f-ec6faf4f1d71
194,Tiago Splitter,3400000.0,2010,119f733d-f609-43fb-a192-dfe9f68693cc
195,Brandan Wright,3398072.0,2010,b88b7e70-2af7-461c-bed5-42ed96983cf8
196,DeMarcus Cousins,3374640.0,2010,037f2f67-4c72-4edb-b359-2122205c9bdc
197,Grant Hill,3324000.0,2010,825bbc92-a74f-4bac-b8ce-1b9c2dfc3670
198,Danilo Gallinari,3304560.0,2010,41a0fe82-55ef-4253-9e9b-4315d814e7d8
199,Glen Davis,3300000.0,2010,797e3c60-6940-480f-bd14-5c8e5e7c6bcb
200,Joel Anthony,3300000.0,2010,22867345-166d-4436-a2b0-af662a7fcdee
201,Kelenna Azubuike,3300000.0,2010,116d2b07-c506-425a-a7b0-c16d05f1cb16
202,Johan Petro,3250000.0,2010,47693b11-078a-4580-8ea3-511032a1c41d
203,Will Bynum,3250000.0,2010,4c3fdace-0556-4421-a212-460468f1ed12
204,Thabo Sefolosha,3250000.0,2010,a14710d9-3cb1-46ec-a6d4-03e435934bf7
205,Kris Humphries,3200000.0,2010,a9981516-449a-46cf-a9d0-413a9d66409c
206,Jonny Flynn,3192000.0,2010,e9826558-f83a-48d6-b0fd-ce6979ab78d4
207,Joakim Noah,3128536.0,2010,ee1282cd-f7e1-43b2-8101-e7e16d1eeb3e
208,CJ Watson,3100000.0,2010,97029dcf-861c-46b6-873f-b165747a89d7
209,Ekpe Udoh,3065040.0,2010,4e440005-a8fa-4ca1-91f1-f865bb0275d9
210,Eric Gordon,3016680.0,2010,0b12bf77-063b-4f06-8515-9928590f296b
211,Eduardo Najera,3000000.0,2010,30cf576b-503c-4d56-a02e-fb174690c70e
212,Chris Wilcox,3000000.0,2010,f76c6448-ceed-4c9e-baf8-15895e6d1e14
213,Jamario Moon,3000000.0,2010,d6542c70-b1b2-4dbe-a004-542bea7e57a2
214,Tony Allen,3000000.0,2010,97235f5d-959b-45e5-89f8-25c82a263fa6
215,Carl Landry,3000000.0,2010,a448eaa1-72b5-4d28-8eb8-03abffc8b815
216,Matt Bonner,3000000.0,2010,de1b6e17-0ad0-445f-860e-0e5f9991f669
217,Raja Bell,3000000.0,2010,86e66826-ea63-4514-9814-f5721a8f2f3d
218,Josh Howard,3000000.0,2010,8bb3117c-a1cc-47ff-88f3-05f3f52d0918
219,Spencer Hawes,2974320.0,2010,756bfe83-0cae-4c68-a237-a2c665dbafd9
220,Stephen Curry,2913840.0,2010,c8c8aeef-bdc0-4fe8-9d55-4c4f51cf5451
221,Thaddeus Young,2901241.0,2010,217387d3-3735-4e20-a11f-796dcd3d6354
222,Julian Wright,2858057.0,2010,abb0213d-d480-46c7-92e6-f0dd10aad4c0
223,Anthony Parker,2855700.0,2010,2a1f8427-a98f-4f12-9093-184e6cf78912
224,Al Thornton,2814196.0,2010,ca9f65d5-91ea-408e-aff7-976032f07df2
225,Greg Monroe,2798040.0,2010,4bfd66ae-4801-40c6-9756-b677593390d5
226,Rodney Stuckey,2767126.0,2010,677bfc73-7984-4cc0-800d-3a43c897bff0
227,Sebastian Telfair,2700000.0,2010,6d58c96e-a990-4dba-a799-fa40f3ca5199
228,Jordan Hill,2669520.0,2010,b181bc46-8570-4bf5-b6fb-fcc8e7842829
229,Nick Young,2630503.0,2010,44cee21f-b13f-4799-bdad-5ced78f55f53
230,Al-Farouq Aminu,2563320.0,2010,5bdf8c95-f6bb-41d5-ae06-bc5d14a95150
231,DJ Augustin,2540400.0,2010,b594b0a5-6ef4-4ba2-bc86-19b528bf5c81
