,Pick,Team,Player,Year,UUID
0,1,CLE,LeBron James,2003,f15e32f6-36a9-4efb-bce0-043c1bc98f68
2,3,DEN,Carmelo Anthony,2003,3807a8ee-fb89-4e24-a723-1b0b709a7a01
3,4,TOR,Chris Bosh,2003,a7bd2cff-7c2f-45eb-9289-7bb7de4d1636
4,5,MIA,Dwyane Wade,2003,3debf7bb-2228-4a7a-82fb-3e730f83f012
5,6,LAC,Chris Kaman,2003,f6d753e1-aa28-443c-b912-17aa3593e27c
6,7,CHI,Kirk Hinrich,2003,6c87dbac-24b9-4717-9a1c-3492a6449c3b
7,8,MIL,TJ Ford,2003,571d9ecb-74f3-42d0-91ca-8f187769bf13
8,9,NYK,Mike Sweetney,2003,bc4af818-94b6-429e-8ef3-d3fe98cb6fcf
9,10,WAS,Jarvis Hayes,2003,2c59c1af-5059-49e6-a5fe-5cdc005d1e21
11,12,SEA,Nick Collison,2003,e4df493e-f5a7-4b47-a721-31b441db64a9
12,13,MEM,Marcus Banks,2003,0114ea14-ec78-4f33-bbb2-7e82419c735d
13,14,SEA,Luke Ridnour,2003,664c98a6-11e1-43d9-a96d-547f07ad4368
14,15,ORL,Reece Gaines,2003,c31777ce-048e-4197-8140-d3f61e0517b3
15,16,BOS,Troy Bell,2003,34a4255f-0f55-4cbc-9a53-a115329df57a
17,18,NOH,David West,2003,f7b0e666-79f1-4095-81da-83d935f4b1ae
19,20,BOS,Dahntay Jones,2003,94a9ad6e-8b12-4b2e-8401-01cb43def117
20,21,ATL,Boris Diaw,2003,423f269d-72f8-468b-935f-af9febe4fe03
22,23,POR,Travis Outlaw,2003,6a746733-76cb-4c39-80c4-01a32a00632a
23,24,LAL,Brian Cook,2003,fd85ccfd-702d-420a-b090-217e3f6e8569
24,25,DET,Carlos Delfino,2003,952fe38c-7670-4650-8fba-e6184f897c8b
25,26,MIN,Ndudi Ebi,2003,c23b1630-cfe0-48fd-b07b-b001e4afa9ad
26,27,MEM,Kendrick Perkins,2003,a6818d96-2834-49bc-bb88-abbca927344e
27,28,SAS,Leandro Barbosa,2003,57a483dc-c6a0-4a8f-af70-12d6e639ff7b
28,29,DAL,Josh Howard,2003,92c118da-7693-4505-89cf-76decdeec10f
29,30,NYK,Maciej Lampe,2003,26223381-3208-4210-9278-d8c5a845dc84
30,31,CLE,Jason Kapono,2003,368d8eab-8524-4e0b-938c-cd30fe130e80
31,32,LAL,Luke Walton,2003,56a49838-c055-4c3f-a275-fddf9ee8dd6e
32,33,MIA,Jerome Beasley,2003,eaba8dd0-06ee-4770-a7ce-63dec4a6d904
36,37,ATL,Travis Hansen,2003,f50f16c9-b4ae-489d-a95d-4e074f34b9db
37,38,WAS,Steve Blake,2003,a4112582-13ce-44e6-9e4d-eaaafcfa6fc8
40,41,SEA,Willie Green,2003,0ce465e1-d18c-430b-891d-977ce8dec337
41,42,ORL,Zaza Pachulia,2003,b324d9e9-77cd-49f2-8580-0b9b1c3eb0d3
42,43,MIL,Keith Bogans,2003,e7952d27-be90-488e-984e-8393c1e2d9de
44,45,CHI,Matt Bonner,2003,ca28a0aa-2a84-4736-bbe7-6e6676aa847f
46,47,UTA,Maurice Williams,2003,b9800b4b-137b-4e3c-8087-8b36bf122799
47,48,NOH,James Lang,2003,72b2efef-e19d-4674-b771-680782ad801e
48,49,IND,James Jones,2003,3b0ea522-69aa-45d6-8bf2-47e0ca04e8f5
50,51,NJN,Kyle Korver,2003,e28e7e05-926f-49f1-8c11-5f0ab5b4c135
52,53,CHI,Tommy Smith,2003,e905c525-1ed9-4e76-886f-bd4e627059a4
55,56,BOS,Brandon Hunter,2003,2d5bbf56-55e6-429a-808f-f2d8bd1d4736
57,58,DET,Andreas Glyniadakis,2003,76faf773-acc2-4fb2-a110-dbe026754c35
