,player,uuid
0,Hot Rod Williams,ca94dd3e-c3dc-4682-8c88-0ed654c9d074
1,Danny Ferry,4d2819b0-30c9-40f3-af49-4b950b0fad78
2,Mark Price,1a806ca8-ea9c-4690-8fe4-0b7d13c80d36
3,Brad Daugherty,ae75e1f9-765b-4cde-afbc-b5e9f18e0a26
4,Larry Nance,97054146-250e-4988-aff6-40ce7e6f6c4d
5,Craig Ehlo,795a4e74-2e82-4ca1-9a6c-7aca4be004de
6,Chucky Brown,8c9b0d6c-9002-479b-837d-7e0205884c09
7,Steve Kerr,f52380e3-3333-49ec-9a07-4882e9aa9ab3
8,Derrick Chievous,45ab4b93-c8f0-4099-b3f1-401dbd3d499c
9,Winston Bennett,8a878db9-9704-487a-b93a-36040ff5e216
10,John Morton,6f2c6271-58fe-44cd-87c6-47f76478949d
11,Milos Babic,23eac784-3a31-47fe-a934-b96535da6ec6
12,Gerald Paddio,fdd97baa-fe58-4235-be3a-efd02fb5f633
13,Darnell Valentine,97c7b2c0-f468-4b37-b959-9e801c684d5e
14,Henry James,a0369328-797f-4fce-bff9-bf6e823785c4
15,Patrick Ewing,b37ba7aa-8c68-4dff-b6c6-94051e3fca06
16,Mark Jackson,2adb3228-33c5-4769-a1d5-5b5da6bb737d
17,Charles Oakley,32b8c8ac-6646-4fc3-b447-3ba4839005c5
18,Kiki Vandeweghe,514233af-d03b-4261-97f6-f414f00bc7c8
19,Maurice Cheeks,e7a8a510-577a-4b48-b432-e59f728e3d9b
20,Kenny Walker,6068d8a3-a034-4968-b8c4-2926a5905a04
21,Trent Tucker,cf91e862-bc63-4cba-9979-53d08e63ec33
22,Gerald Wilkins,996922b6-bfe6-43a1-9d49-4816426d4451
23,Jerrod Mustaf,f0adb2d7-6d6f-4608-b350-e30ceff58f4b
24,Eddie Lee Wilkins,46e58e8b-e448-48e4-a4bb-b5bb591453c3
25,Brian Quinnett,21a2c277-7e60-42fb-a688-411715b8ebe4
26,Greg Grant,c70f1de1-b1f6-41c7-9dfe-1d52947dd91c
27,John Starks,11685273-76a7-4c81-ab0e-0e34a1100a02
28,Isiah Thomas,2f2a7a75-6351-4565-87a1-35a7dfb0f38f
29,Bill Laimbeer,5ccc2c90-131f-4cac-bc42-5550b0f04e4f
30,Vinnie Johnson,eb5ba2be-5a35-4181-95a9-41b5bceebb92
31,Mark Aguirre,9c611bfc-ec47-4d2d-a45e-266ec524f542
32,Joe Dumars,52562e9d-0b45-428b-b1b7-4549570e8c76
33,James Edwards,98f3d511-9ff9-471e-b2fa-d45584a6244b
34,Dennis Rodman,fc4ed0c3-965e-47b8-a346-f05d1a839850
35,William Bedford,f693d31b-afb5-4644-b765-2452c591529e
36,Tree Rollins,d891169f-bdf0-4c5b-98ac-0399591c4b39
37,John Salley,05c00d24-8ed6-4ecd-b54a-2ab88a8d93b1
38,Scott Hastings,dbb6e78f-b510-4847-8fe7-c083bf355889
39,Lance Blanks,f5e7bb4b-53b3-4fde-afb1-bfa3db43518e
40,John Long,f27416e4-4f5f-486e-8f08-13227100d0ef
41,Gerald Henderson,7540988a-e9b3-4b53-8e4f-82434a729b19
42,Magic Johnson,32849c49-16d0-4dcb-8950-b84476691422
43,Sam Perkins,9b20199a-21ae-47ad-b9ed-5cc9b08354f3
44,A.C. Green,282c77d5-61ed-40e2-b715-9e65b65ce2e7
45,James Worthy,3027e9aa-8267-4046-9028-1de879e961ee
46,Byron Scott,6022195d-0ab6-49a5-920e-bccccd4631c8
47,Vlade Divac,3740f3aa-439c-4cbf-983d-6ea3283bfcfd
48,Mychal Thompson,b549d043-ba44-4ea2-844d-34fd55afbe7c
49,Elden Campbell,b2c688d6-6b67-46d0-ab35-32d0fda30e13
50,Larry Drew,72edec7c-6f89-4687-a044-3f853b925b03
51,Terry Teagle,0f8d8895-bbb8-4108-a644-e24c0c13c0c2
52,Tony Smith,a37dbec3-5089-455f-80e0-a0ae94e17b40
53,Irving Thomas,a4f599a3-7595-425f-bd92-869594605ca2
54,Moses Malone,6dc0ccd7-f93a-4b66-a934-8c42bbdf8f45
55,Dominique Wilkins,8aa77c47-db52-424d-9451-38b4e43d028a
56,Jon Koncak,5a8102f0-896a-4c40-86a5-7f519fef597d
57,Doc Rivers,c05a51af-ec4a-4ffd-95d1-6d7e3d07b7a2
58,Rumeal Robinson,a175e993-ed61-4654-a2c6-8d9ec072efa9
59,Tim McCormick,84f7b422-ed8c-402c-b350-322922524ffa
60,Kevin Willis,efcb4c6e-75a9-4e0e-93aa-ddb85157ba20
61,Alexander Volkov,95ae2ba6-bc32-4b7a-afb7-ad34cc466994
62,John Battle,4d187ef0-b773-403a-8c23-44795864c732
63,Sidney Moncrief,98bfaaa7-11b0-4ad3-886e-cca2a2543b8e
64,Spud Webb,835993b0-3092-46dd-bbf3-c38a8473c2a9
65,Gary Leonard,1c199911-99b4-483e-85ad-3cb7ee65589e
66,Duane Ferrell,308acad5-bd68-424c-b2f0-7260659c1773
67,Rolando Blackman,6596d7d2-844f-4097-b5d8-c3233f0ebc57
68,Derek Harper,1ef98410-15ed-4d8e-a7d9-f38c407cbd5b
69,Fat Lever,2a1b1a83-f829-4a11-a320-1f94c7fa9778
70,Alex English,78f34735-6b65-4989-b7a9-74c600442886
71,Herb Williams,8a793693-c9bd-49ac-bcc5-07ec7c797bd4
72,Rodney McCray,a1718a34-03c6-4af7-9244-f91a1e05cfa3
73,James Donaldson,1f888eca-a2ec-4d90-8ea3-7b0ab918c8fb
74,Roy Tarpley,a5a76348-1a41-4f55-8438-298d9223d805
75,Randy White,264d353b-a985-4294-a1cf-8cec35d6d144
76,Brad Davis,5db589cb-2c30-43ea-8dfc-252de15e758e
77,Steve Alford,1a6bf478-3828-4bc8-9f1e-278ec11c9c3e
78,John Shasky,2620b127-2ddb-42a8-b9b4-037ac87f3571
79,Jim Grandholm,ebc81694-fd27-4601-a963-b5fcd12a51c2
80,Kelvin Upshaw,45dfb677-6b7b-46ed-956e-abb820d1c794
81,Charles Barkley,506ca80a-4985-45a0-b755-af0d8aeb9843
82,Johnny Dawkins,4c8d9a38-4d02-4517-b24d-5c98bbee1701
83,Rick Mahorn,31b9b038-6351-456a-9af4-7d15a8375ffd
84,Manute Bol,5632c2b0-0978-46c3-9acb-c2d6177fcedb
85,Armen Gilliam,e73fbea9-98a7-4a49-89f5-e8363da5622f
