,Player,Salary,Year,UUID
0,Stephen Curry,45780966.0,2021,2f1008df-4d89-43d1-b8be-b9f05520f109
1,John Wall,44310840.0,2021,6fe56b56-bc6e-4e10-9319-9513743a0349
2,James Harden,44310840.0,2021,ef0995d8-4803-48be-b6b8-d6cdc7e8c433
3,Russell Westbrook,44211146.0,2021,503e16ad-6e69-4abd-b647-011fefd6883e
4,Kevin Durant,42018900.0,2021,3a91d425-1011-4d09-9852-8cd43df314bc
5,LeBron James,41180544.0,2021,f15e32f6-36a9-4efb-bce0-043c1bc98f68
6,Paul George,39344970.0,2021,fd3a23ba-8ccf-4790-bdf7-52782a310c86
7,Kawhi Leonard,39344900.0,2021,a8de2eeb-afae-44ff-aa2f-24b11323daf9
8,Giannis Antetokounmpo,39344900.0,2021,f5e976f0-2383-4f34-869e-912b0daebc1d
9,Damian Lillard,39344900.0,2021,661aaab7-cd03-4fc0-a2d5-66c720502a29
10,Klay Thompson,37980720.0,2021,01050c09-20ce-495f-ad70-44486158bc52
11,Jimmy Butler,36016200.0,2021,f0fb95cc-2a0f-4518-a8e6-e7a789fd7c15
12,Tobias Harris,35995950.0,2021,f933c097-9567-4bec-a9f8-1c1d6a61061e
13,Khris Middleton,35500000.0,2021,73308122-b037-4736-afff-7f77dfe9910d
14,Anthony Davis,35361360.0,2021,d8f59c50-268f-4f55-883b-bc65926f3c63
15,Rudy Gobert,35344828.0,2021,891f2335-cdb7-46ac-9824-4c1c585d809d
16,Kyrie Irving,35328700.0,2021,6c1bb9b8-8772-428c-bdd6-b1956c33c58a
17,Kemba Walker,34967442.0,2021,5796f491-d801-4a1a-bcc6-40c6c321080b
18,Bradley Beal,33724200.0,2021,45a90845-4882-4379-9cd8-624405bb1ff0
19,Ben Simmons,33003936.0,2021,faf68c2e-ae37-47b3-9390-af15dd7ecd3b
20,Pascal Siakam,33003936.0,2021,75450fe1-4c96-4550-b9d2-e633d30ae2bd
21,Blake Griffin,32405817.0,2021,548d4996-f15b-46af-9dbf-38d6272876c7
22,Karl-Anthony Towns,31650600.0,2021,63a46e64-b149-4624-9b93-6d707112e409
23,Devin Booker,31650600.0,2021,01d9a572-c2d4-49b6-8582-9eebd9e2e7a1
24,Kristaps Porzingis,31650600.0,2021,37d0d975-4690-4f69-9443-467b6625b79d
25,Andrew Wiggins,31579390.0,2021,30f36cfa-3eaf-4fba-ae7d-5a33ba2446ee
26,Joel Embiid,31579390.0,2021,a5389e3a-5b1d-4d86-9782-ea76a0207758
27,Kevin Love,31258256.0,2021,d5ae36c1-d5d4-4d26-8c87-cdc42b78b90a
28,Jrue Holiday,31171333.0,2021,40b91da7-903b-40dc-b539-caf6cf904f73
29,Nikola Jokic,31044906.0,2021,4d321b07-ade4-497c-be07-e8335e03b288
30,CJ McCollum,30864198.0,2021,0f573632-b692-47e3-a448-71de53dd5822
31,Chris Paul,30800000.0,2021,61cbf931-8bc1-4186-99b6-41709cb25bf5
32,D'Angelo Russell,30013500.0,2021,40c50918-6e04-4c45-8745-f571052c3746
33,Gordon Hayward,29925000.0,2021,c2c237ba-d352-4fd8-8332-fc751a29d4c7
