,Player,Salary,Year,UUID
0,Kobe Bryant,27849000.0,2012,24d0e17f-fb15-4609-84f0-ff0d88dc0937
1,Brandon Roy,21459805.0,2012,7f90bd63-ee1a-485d-a49f-e7cf62a0a1bb
2,Dirk Nowitzki,20907128.0,2012,2c65279f-3a4f-4c12-8369-793f979c9934
3,Gilbert Arenas,20807922.0,2012,a96219af-32f3-4970-a605-f51f2c30d8db
4,Amare Stoudemire,19948799.0,2012,7b22af5c-e512-4e92-b842-66cda73f0254
5,Joe Johnson,19752645.0,2012,fca7c221-f167-42c8-a42a-9e28b3cef10e
6,Carmelo Anthony,19450000.0,2012,3807a8ee-fb89-4e24-a723-1b0b709a7a01
7,Dwight Howard,19261200.0,2012,fbfff279-863a-4e79-bd74-f997d4a2b072
8,Pau Gasol,19000000.0,2012,4851c61b-ef46-44ed-b940-4c1229208225
9,Elton Brand,18160354.0,2012,d63e5ac8-f1ef-4bd5-8d76-8f4d65432d8a
10,Chris Paul,17779457.0,2012,61cbf931-8bc1-4186-99b6-41709cb25bf5
11,Kevin Durant,17548838.0,2012,3a91d425-1011-4d09-9852-8cd43df314bc
12,LeBron James,17545000.0,2012,f15e32f6-36a9-4efb-bce0-043c1bc98f68
13,Chris Bosh,17545000.0,2012,a7bd2cff-7c2f-45eb-9289-7bb7de4d1636
14,Deron Williams,17177795.0,2012,31e6add0-2087-4795-ae66-a42dfc9c162c
15,Dwyane Wade,17024000.0,2012,3debf7bb-2228-4a7a-82fb-3e730f83f012
16,Paul Pierce,16790345.0,2012,d14d1240-57b5-4cfb-b38e-3993d37eb1d3
17,Zach Randolph,16500000.0,2012,71672ebf-e0d2-4a53-b5cc-6597ef66ef33
18,Andrew Bynum,16473002.0,2012,cfd5b73b-6bf9-495d-b4d2-a0cb34241038
19,Rudy Gay,16460532.0,2012,258e3e01-cda6-4d95-86e7-6011f215b62c
20,Derrick Rose,16402500.0,2012,e7d6802d-b0a7-4172-a723-dd36c473553c
21,Rashard Lewis,15052181.0,2012,4238a32a-ab7c-4a04-a39c-5787949239f2
22,Carlos Boozer,15000000.0,2012,3bf7f1dc-c213-4da8-9385-3e65646f4279
23,Al Jefferson,15000000.0,2012,1d68c26e-b492-433f-aeee-6c34f9f786de
24,Baron Davis,14850000.0,2012,955a38f5-292b-4d1d-8e02-792168f51005
25,Andre Iguodala,14718250.0,2012,04eabe67-1489-4ba0-a12e-0ec83adefd56
26,Manu Ginobili,14107492.0,2012,294027c7-c0bb-467a-8693-07d4216b7587
27,Marc Gasol,13891359.0,2012,95e02886-747c-4d37-8859-30842f3b7707
28,Roy Hibbert,13668750.0,2012,8989fa2f-f01c-456f-85db-e7b610899128
29,Kevin Love,13668750.0,2012,d5ae36c1-d5d4-4d26-8c87-cdc42b78b90a
30,Eric Gordon,13668750.0,2012,c9ef1818-96c7-404e-bec3-15d1ff9cc703
31,Russell Westbrook,13668750.0,2012,503e16ad-6e69-4abd-b647-011fefd6883e
32,Brook Lopez,13668000.0,2012,a36692c7-1b71-468f-ab88-3d8ab5b548e1
33,Tyson Chandler,13604188.0,2012,8c507a1f-0040-43af-a02c-2e453b5ecb1c
34,Emeka Okafor,13543250.0,2012,fe554532-afe4-469a-8913-3adff81412db
35,Luol Deng,13326700.0,2012,6f179d17-b99b-42d2-a886-2494fe933860
36,Josh Smith,13200000.0,2012,8c4597dc-5c78-4733-b3da-5fcb43fcb5c1
37,Andrew Bogut,13150000.0,2012,fd7cea99-d716-44a9-96c7-506ffc3af456
38,Danny Granger,13058606.0,2012,8233d9c6-aa3b-4003-b811-f76f0adaad5b
39,LaMarcus Aldridge,13000000.0,2012,f2da6a45-f0b7-4c20-be4c-c6f694d4ce9e
40,Nenê,13000000.0,2012,71b3fc68-5b92-4644-af01-caa989d432ad
41,Kevin Martin,12939675.0,2012,d2034c1c-8577-46cd-9673-df00fad122f0
42,David Lee,12744000.0,2012,6bec70f0-a57a-45ea-89b6-9c8a5236b619
43,Tony Parker,12500000.0,2012,0ea2d348-8b73-4aab-8897-7c65a7b7146e
44,Kevin Garnett,12467532.0,2012,4035d838-5ed7-4507-86ad-0488a9b9c358
45,Ben Gordon,12400000.0,2012,053dc52a-8fda-4b6f-80dd-afd735cbf3e1
46,Al Horford,12000000.0,2012,8d5f6a78-1e2b-4ebe-92f4-885d3f6be695
47,Kris Humphries,12000000.0,2012,6226c0c6-1d82-412f-aa45-1ffbb1e63bdc
48,Nicolas Batum,11950000.0,2012,1ac6a422-b800-4fdb-92f9-6582da2f974b
49,Hidayet Turkoglu,11815850.0,2012,da312d61-dee7-4dd1-8a13-27f914f06475
50,Joakim Noah,11050000.0,2012,966edf81-b6b9-4f2c-83a5-73bcbe7f0157
51,Jose Calderon,11046591.0,2012,70556d6d-1554-4aeb-adb5-74cdce1c3384
52,Rajon Rondo,11000000.0,2012,cd4a52de-5f5b-4ed8-a062-f9bc6e075400
53,Monta Ellis,11000000.0,2012,faa665e8-2fa5-4bbb-8247-8ef7bbd8c177
54,Corey Maggette,10924138.0,2012,381ecddb-60e5-4dee-9f57-f69e245d76c4
55,DeAndre Jordan,10532977.0,2012,ede63d42-e042-41e3-89a4-4c40797689c3
56,Richard Hamilton,10500000.0,2012,17f55728-ceb7-4392-90fc-a6990f1cb79d
57,Richard Jefferson,10164000.0,2012,89a8b86f-f263-45ea-9c18-e41b5e63c58d
58,Stephen Jackson,10060000.0,2012,3c96c82c-73bf-459e-ab4b-5a86235203c8
59,JaVale McGee,10000000.0,2012,68b72a95-0ce8-4723-be8d-5ffeaa333aac
60,David West,10000000.0,2012,f7b0e666-79f1-4095-81da-83d935f4b1ae
61,Andrea Bargnani,10000000.0,2012,9bae7305-fcf3-473f-b294-09b43564ef94
62,Andrei Kirilenko,9779349.0,2012,264998a4-bb1c-44d5-8a17-d5e33001ccbe
63,Gerald Wallace,9682435.0,2012,21da3037-5a07-42ce-9376-1228b528f4a6
64,Tim Duncan,9638554.0,2012,1aba9f56-0b6b-428e-b755-819a337ce515
65,Danilo Gallinari,9439000.0,2012,6573b86a-b743-4f04-9a03-c094cf5fc45f
66,Andris Biedrins,9000000.0,2012,351691ed-de81-454a-9909-00ebd652b91a
67,Steve Nash,8900000.0,2012,e22dbb44-a0dc-4d1b-8d5f-5311077027f4
68,Ryan Anderson,8700000.0,2012,10f2952a-16f2-442b-9f0d-34a7851f155f
69,Shawn Marion,8646364.0,2012,5d4d73e4-5fe8-43d3-8869-8997e243d262
70,Jameer Nelson,8600000.0,2012,69c8adfd-bf35-4507-b62e-ab2a6e4adbd3
71,Devin Harris,8500000.0,2012,c54c7212-4eb4-4297-99cb-63f06139cd74
72,Rodney Stuckey,8500000.0,2012,56d81f06-4fa6-4368-a675-670d8647809e
73,Maurice Williams,8500000.0,2012,b9800b4b-137b-4e3c-8087-8b36bf122799
74,Anderson Varejao,8400000.0,2012,4beb4fd4-7b44-4217-a4d2-37a9a24438ca
75,Brendan Haywood,8349000.0,2012,57d8912e-77d6-45b6-b0c2-d5f269c57e20
76,Marvin Williams,8287500.0,2012,40aa8b01-32d3-4824-8aad-7ec22496e411
77,Lamar Odom,8200000.0,2012,2c755913-c6d6-417f-9fcc-e902381f5aaf
78,Jeff Green,8100000.0,2012,da45509e-d75a-4a2c-8db8-24ba84fd1f1d
79,John Salmons,8080000.0,2012,558b0037-a150-4d1f-b231-24aa05c6c4b5
80,Charlie Villanueva,8060000.0,2012,26b0cabb-3978-491d-8f37-4e3370883af3
81,Thaddeus Young,8039130.0,2012,251cf798-a198-478f-8cfb-7a7bd077edcf
82,Tyrus Thomas,8000000.0,2012,5f1eb805-446b-45c6-bbb0-8a43b1de4380
83,Chris Kaman,8000000.0,2012,f6d753e1-aa28-443c-b912-17aa3593e27c
84,George Hill,8000000.0,2012,d6d8a4a1-344f-484b-9c8c-3bb3d05e80d7
85,Caron Butler,8000000.0,2012,1de786dd-1fcd-4ab9-b048-4cf8e3288a40
86,Andray Blatche,7972891.0,2012,e8d3a2e5-c7fe-43ab-bfda-f156e04cf33e
87,Ersan Ilyasova,7900000.0,2012,cde3632a-570c-4d70-ae7a-fd20c9c566a8
88,Beno Udrih,7810000.0,2012,993a100f-fe8c-4a06-bf43-fb7cddac2665
89,Kendrick Perkins,7800531.0,2012,a6818d96-2834-49bc-bb88-abbca927344e
90,Marcus Thornton,7632500.0,2012,de69b53e-9383-451f-8954-3acc624f458b
91,Arron Afflalo,7562500.0,2012,688314cc-32b5-43a8-827c-f2c8da78d612
92,Goran Dragic,7500000.0,2012,63f94e4b-0ea5-4f9b-b2e0-95851e27442b
93,DeSagana Diop,7372200.0,2012,1868c19b-c9e2-4a6f-97df-09579bc2d292
94,Metta World Peace,7258960.0,2012,7d5410b3-0b90-4fc9-8350-b731776296d0
95,Marcin Gortat,7258960.0,2012,886ce925-763b-4c21-9034-9bf93bb1e71f
96,Trevor Ariza,7258960.0,2012,88096c7c-12f5-4a15-8541-69173def46ce
97,Blake Griffin,7226891.0,2012,548d4996-f15b-46af-9dbf-38d6272876c7
98,Paul Millsap,7200000.0,2012,34e4eb48-38f8-4a3d-84d9-aabfb3b229db
99,Mike Conley,7180000.0,2012,a8b6a012-c3c8-4266-8d7c-5560c18a4fab
100,Travis Outlaw,7000000.0,2012,6a746733-76cb-4c39-80c4-01a32a00632a
101,Josh Childress,6890056.0,2012,1f3bbb8c-e425-4069-86eb-af8b99d03a15
102,Tayshaun Prince,6764045.0,2012,cd0dc149-fe1e-4af7-8638-75bb860234fc
103,Samuel Dalembert,6700000.0,2012,bc04ca41-c6ba-4461-b7c7-772b5c981290
104,Al Harrington,6687400.0,2012,1e5ab881-780c-43ef-b030-ad2394fcbf71
105,Drew Gooden,6680000.0,2012,6c7e133c-973b-475f-abc8-f9bf36e7f4fe
106,Wesley Matthews,6505320.0,2012,30477cdf-6bc5-4ae9-b2e2-ba0247ebf395
107,Brandon Bass,6500000.0,2012,26261d0a-4ea4-4314-9af9-eba5b320021d
108,Spencer Hawes,6500000.0,2012,8fb166f5-dbf5-45bb-a2e0-5af893b20ca5
109,Darko Milicic,6457255.0,2012,b438801a-aeb5-4816-97b3-58e934696120
110,Glen Davis,6400000.0,2012,a77623b7-6a42-4824-a11c-63f052adfe9b
111,Francisco Garcia,6100000.0,2012,1e5a372b-d562-4b6d-aea4-7a0458907e0f
112,Luke Walton,6091363.0,2012,56a49838-c055-4c3f-a275-fddf9ee8dd6e
113,JJ Redick,6000000.0,2012,5dab9cff-dac6-4c0c-ba68-6cf9a1d422c1
114,Nick Young,6000000.0,2012,bd16ca5c-cef1-42ae-8cdf-12e5154ede9a
115,Channing Frye,6000000.0,2012,3b827399-84c6-455e-933b-a1d8df379cd0
116,Amir Johnson,6000000.0,2012,3500f176-761e-4899-81c8-74c54d2e1ffd
117,Wilson Chandler,5930415.0,2012,079e9a98-59b1-4f78-8b1d-827eb4263038
