,Player,Salary,Year,Perc,Perc_score,Abb,UUID
0,Allan Houston,19125000.0,2005,0.15102925191409144,22.81,NY,62f45e10-0b2a-4322-9017-f19f8645be33
1,Stephon Marbury,16453125.0,2005,0.12992957701432867,16.882,NY,f3a8c74e-844a-4cb6-88e1-1427b0f4bab5
2,Anfernee Hardaway,15750000.0,2005,0.1243770309880753,15.47,NY,c9ea836c-104f-4821-bf79-5fff9899daa6
3,Antonio Davis,13925000.0,2005,0.10996508930215547,12.092,NY,c1acc3b9-54f4-4996-ba79-86baf21e89aa
4,Maurice Taylor,9100000.0,2005,0.07186228457088795,5.164,NY,9219e8bf-7962-461c-bf38-1784b30036bb
5,Shandon Anderson,7900000.0,2005,0.06238593935274888,3.892,NY,0fed97c6-a4b5-4d16-ac3c-f0af9cdad6d8
6,Eddy Curry,7390000.0,2005,0.058358492635039776,3.406,NY,5c066c64-425d-4ae2-ba7b-38715634f032
7,Quentin Richardson,6940000.0,2005,0.05480486317823762,3.004,NY,fd5d9842-10ba-435f-9c6a-d0bfed71626d
8,Jerome Williams,6620063.0,2005,0.05227833529485782,2.733,NY,2389f239-9725-48f0-99b0-528c6e2a4078
9,Jamal Crawford,6480000.0,2005,0.05117226417795098,2.619,NY,9d93177f-40b0-4e5f-9798-4f54ea6e53e0
10,Malik Rose,6008750.0,2005,0.04745082444124428,4.745,NY,bbe9c51e-a6e2-48a6-a13d-7efcbb94ed63
11,Jerome James,5000000.0,2005,0.03948477174224613,3.948,NY,6333a086-f19c-48cd-8d07-18f3101b4254
12,Channing Frye,2162880.0,2005,0.01708016462117386,1.708,NY,3b827399-84c6-455e-933b-a1d8df379cd0
13,Nate Robinson,1102680.0,2005,0.008707813620947991,0.871,NY,eed79fe3-98b3-4183-8b70-5c4fda6d49cd
14,David Lee,861360.0,2005,0.006802120597580225,0.68,NY,6bec70f0-a57a-45ea-89b6-9c8a5236b619
15,Trevor Ariza,682051.0,2005,0.005386125610314142,0.539,NY,88096c7c-12f5-4a15-8541-69173def46ce
16,Qyntel Woods,599834.0,2005,0.004736861714647693,0.474,NY,30499c78-1083-4f2b-9099-d5064fc06ac4
17,Jackie Butler,398762.0,2005,0.00314900530989631,0.315,NY,90ce549e-d973-4982-a565-cd5a8fbd11dc
18,Matt Barnes,131593.0,2005,0.0010391839135754789,0.104,NY,b92af0fe-338d-45b1-b6a0-2f2df74e2183
0,Michael Finley,15937500.0,2005,0.16187626017177095,26.204,DAL,55e94f09-faa2-4275-bf2c-2ed71d56f926
1,Keith Van Horn,15694250.0,2005,0.15940558407534533,25.41,DAL,d5de1caf-9595-4da8-b30c-b14264099bc2
2,Dirk Nowitzki,13843156.0,2005,0.14060413002380626,19.77,DAL,2c65279f-3a4f-4c12-8369-793f979c9934
3,Erick Dampier,8662500.0,2005,0.08798450846983315,7.741,DAL,3a75929a-679d-4087-857d-e103796a0745
4,Jerry Stackhouse,8367187.0,2005,0.08498503151170884,7.222,DAL,da721f42-6e18-4be7-8766-024d8ae1ddb0
5,Jason Terry,6666667.0,2005,0.0677129488169763,4.585,DAL,be74addb-41ff-4399-90a7-389841b06f97
6,Marquis Daniels,5393300.0,2005,0.054779434289218026,3.001,DAL,b62ffea1-e092-4065-8eba-eceb6c2dbec1
7,Shawn Bradley,4500000.0,2005,0.04570623816614709,4.571,DAL,f8098022-1795-4720-90fc-aa48b97af8e2
8,Evan Eschmeyer,3711400.0,2005,0.037696473851075184,3.77,DAL,6a7f1db7-90b4-401c-9009-3002cde69672
9,Tariq Abdul-Wahad,3656250.0,2005,0.03713631850999451,3.714,DAL,2f852803-624a-4077-bfa7-e3eec1325b2b
10,Devin Harris,2947440.0,2005,0.029936976582317462,2.994,DAL,c54c7212-4eb4-4297-99cb-63f06139cd74
11,DeSagana Diop,1850000.0,2005,0.018790342357193804,1.879,DAL,1868c19b-c9e2-4a6f-97df-09579bc2d292
12,Doug Christie,1575000.0,2005,0.015997183358151482,1.6,DAL,903de519-be8f-4db7-ab54-f484151097fb
13,Pavel Podkolzin,1141560.0,2005,0.011594758497988194,1.159,DAL,36ae3557-b879-4db2-a9d7-70da1b118c2f
14,Darrell Armstrong,1138500.0,2005,0.011563678256035215,1.156,DAL,81ce167e-4ef9-4447-aa1a-e55de0ae1c86
15,Josh Howard,923880.0,2005,0.009383795403764439,0.938,DAL,92c118da-7693-4505-89cf-76decdeec10f
16,Didier Ilunga-Mbenga,880000.0,2005,0.008938108796935431,0.894,DAL,f1502217-8e01-449a-9ea5-eff8e4e35221
17,Adrian Griffin,768718.0,2005,0.007807823997912058,0.781,DAL,6274f62c-92d5-4dcf-ab10-f6d70027d1a9
18,Josh Powell,398762.0,2005,0.004050202431913143,0.405,DAL,653dedbb-3f2e-4ad8-936e-8ba1f88ec00d
19,Rawle Marshall,398762.0,2005,0.004050202431913143,0.405,DAL,b9049e85-42a5-4365-b1c9-03bd71f01d9f
0,Chris Webber,19125000.0,2005,0.2255112472629125,50.855,PHI,a2a451fc-e02e-454f-a62a-4f9b2ce4f852
1,Allen Iverson,16453125.0,2005,0.19400599948353503,37.638,PHI,d8c52d19-deaa-48c8-86da-ec699b2a0852
2,Jamal Mashburn,10075000.0,2005,0.11879873548621404,14.113,PHI,02ee1d1f-b91d-4840-81b3-2c3ec1e33015
3,Samuel Dalembert,8470000.0,2005,0.09987347787277746,9.975,PHI,bc04ca41-c6ba-4461-b7c7-772b5c981290
4,Todd MacCulloch,6353200.0,2005,0.07491336241101887,5.612,PHI,d2054fce-fc31-4b73-a98a-6c1ebae56114
5,Aaron McKie,6000000.0,2005,0.07074862659228627,5.005,PHI,09a30add-6ebb-4b34-a2c0-c999e2d705ab
6,Kyle Korver,3630363.0,2005,0.04280719938024203,4.281,PHI,e28e7e05-926f-49f1-8c11-5f0ab5b4c135
7,Kevin Ollie,2950200.0,2005,0.03478709969542716,3.479,PHI,1a2603f6-2ca2-4dde-a28b-27bf0df3ca0e
8,Steven Hunter,2800000.0,2005,0.03301602574306693,3.302,PHI,c6220908-666f-4f60-b465-8eb847414e1a
9,Andre Iguodala,2058000.0,2005,0.024266778921154194,2.427,PHI,04eabe67-1489-4ba0-a12e-0ec83adefd56
10,Greg Buckner,1925926.0,2005,0.022709436569729256,2.271,PHI,a540cbd2-8b37-4f41-b74f-5804d0844820
11,John Salmons,1669001.0,2005,0.01967992142185873,1.968,PHI,558b0037-a150-4d1f-b231-24aa05c6c4b5
12,Lee Nailon,835810.0,2005,0.009855401598683132,0.986,PHI,fc6550e7-dd2b-4d18-9275-d6b6eca04e7c
13,Michael Bradley,819550.0,2005,0.009663672820618037,0.966,PHI,3592dea1-11be-4a50-9f9b-951c0c61ab45
14,Matt Barnes,552269.0,2005,0.006512045543249225,0.651,PHI,b92af0fe-338d-45b1-b6a0-2f2df74e2183
15,Louis Williams,450000.0,2005,0.005306146994421471,0.531,PHI,d861edd2-969c-4d79-ae0d-9c6d1ffa11d2
16,Shavlik Randolph,398762.0,2005,0.0047019773061988766,0.47,PHI,ff60daed-5bb8-4842-a1e6-79298c4d3c73
17,James Thomas,148698.0,2005,0.0017533632128366309,0.175,PHI,bf5b9174-e027-45c7-b1ea-88f43407618e
18,Deng Gai,92396.0,2005,0.001089481683770147,0.109,PHI,ed6d1c81-f445-41e5-a940-5214cbadbd73
0,Jermaine O'Neal,16440000.0,2005,0.2086512096649068,43.535,IND,96dc66cb-3a67-44a2-b79f-b687938da7cf
1,Austin Croshere,7900000.0,2005,0.10026426741805132,10.053,IND,7d9c98e2-97e2-4366-895f-abb983c06352
2,Jonathan Bender,7175000.0,2005,0.09106279983854661,8.292,IND,4d695b62-24a0-4631-9b3d-3cfc514083a4
3,Metta World Peace,6842105.0,2005,0.08683780321802355,7.541,IND,7d5410b3-0b90-4fc9-8350-b731776296d0
4,Scot Pollard,6274937.0,2005,0.0796394887847373,6.342,IND,31729d1f-3d13-40bf-adcf-af85d1d067fb
5,Reggie Miller,6000000.0,2005,0.07615007652003898,5.799,IND,90ab210f-92e9-4018-9e96-d3580492167e
6,Stephen Jackson,5610000.0,2005,0.07120032154623644,5.069,IND,3c96c82c-73bf-459e-ab4b-5a86235203c8
7,Jamaal Tinsley,5400000.0,2005,0.06853506886803508,4.697,IND,7281795b-6550-48ac-a0f4-f717ff6a4de0
8,Jeff Foster,5000000.0,2005,0.06345839710003248,4.027,IND,db1636cc-ee6f-4620-9046-590e0655aae8
9,Sarunas Jasikevicius,4000000.0,2005,0.05076671768002598,2.577,IND,fa15a328-3e4a-4282-af18-cf8fcf504b3e
10,Anthony Johnson,2420000.0,2005,0.03071386419641572,3.071,IND,691b46bb-57f1-4e60-9825-98f13c16c027
11,Fred Jones,2328843.0,2005,0.029556928775526188,2.956,IND,e6a1363f-4903-428c-831a-4f298bb89a1c
12,Danny Granger,1318920.0,2005,0.016739309820634967,1.674,IND,8233d9c6-aa3b-4003-b811-f76f0adaad5b
13,David Harrison,898200.0,2005,0.011399666455049834,1.14,IND,94399c2e-353f-442e-986c-efaa14da428a
14,Eddie Gill,819551.0,2005,0.010401478560345744,1.04,IND,7cf2177f-5618-4a5d-9c38-69d2bb5c30e5
15,Samaki Walker,364223.0,2005,0.004622601553393026,0.462,IND,f7c9e4d0-b229-40de-a537-4efe4869dc07
0,Grant Hill,15694250.0,2005,0.2070897294393484,42.886,ORL,c84baf92-4ddd-4db5-a1a8-eb9d3865a350
1,Steve Francis,13700000.0,2005,0.18077507961954684,32.68,ORL,e80d5f18-0228-43d7-89ad-76d953c0fc4f
2,Kelvin Cato,8640000.0,2005,0.11400705751188939,12.998,ORL,fad5e57f-de95-4689-a361-c0a050293596
