,player,salary,year,perc,perc_score,team,uuid
0,Stephon Marbury,20840625.0,2008,0.21564402692340479,46.502,NY,49401b77-f61b-4893-84a9-9fcb6c460515
1,Larry Hughes,12827676.0,2008,0.1327317059209459,17.618,NY,cf96c6d7-ffa3-4052-a021-917f06944732
2,Eddy Curry,9723983.0,2008,0.10061688897788479,10.124,NY,46da6da0-5491-4b44-a1ee-0c8dc6b9673e
3,Al Harrington,9226250.0,2008,0.09546670041815268,9.114,NY,ddd70de7-d158-43e7-aa49-51a673af197f
4,Cuttino Mobley,9100000.0,2008,0.09416035483595062,8.866,NY,47547bc3-5a8a-44a5-8537-0450b4cba539
5,Quentin Richardson,8685500.0,2008,0.08987140240963178,8.077,NY,fb70095c-b1f8-411d-bdb6-dd3303d2630d
6,Chris Wilcox,6750000.0,2008,0.06984421924644689,4.878,NY,7dd483f5-ce8e-4848-8134-c033d39d2fce
7,Jared Jeffries,6049400.0,2008,0.06259490665325271,3.918,NY,d463a9b1-da47-4ffb-90d5-ecf25f75b3be
8,Chris Duhon,5585000.0,2008,0.05778962436909717,3.34,NY,9ebbccdc-f8b3-48e5-a4f0-c97e3c130f0a
9,Danilo Gallinari,2873520.0,2008,0.02973314976134075,2.973,NY,52ec22d7-31a7-468e-ab3e-c75564694586
10,Nate Robinson,2020179.0,2008,0.020903381480454494,2.09,NY,ad748b99-6c60-4e38-b6f9-6d10f2684150
11,David Lee,1788033.0,2008,0.01850129909213069,1.85,NY,9a0b78fa-a6ca-4efb-adf6-722750145382
12,Wilson Chandler,1173480.0,2008,0.01214233991130674,1.214,NY,9eea52e7-851e-4b26-87cb-f7e6ff9dd2fe
13,Jason Kidd,21372000.0,2008,0.22486058501691805,50.562,DAL,4f6cd300-77de-4617-918f-8ab84d906538
14,Dirk Nowitzki,18077904.0,2008,0.1902025111978141,36.177,DAL,41454901-7576-4ff8-89a6-6763f727d2d8
15,Erick Dampier,11553000.0,2008,0.1215522337029971,14.775,DAL,c31ab4d8-7d51-4157-a534-1648d05c4c27
16,Josh Howard,9945000.0,2008,0.10463403134911332,10.948,DAL,4f226b91-2fcf-453e-a6a9-0c9428bab7aa
17,Jason Terry,9196000.0,2008,0.09675360002880302,9.361,DAL,62b3e3ec-25cd-4ccb-a3fe-c6d448c8a7fb
18,Jerry Stackhouse,7000000.0,2008,0.07364889084402144,5.424,DAL,cad4bcad-272d-4165-aa5f-cd084acdca21
19,Matt Carroll,5050000.0,2008,0.05313241410890118,2.823,DAL,b802b148-2864-4cbd-9118-dbab3b3baf4e
20,Didier Ilunga-Mbenga,1971941.0,2008,0.020747323922835785,2.075,DAL,d67535fc-647d-48b1-ac0e-665e3cd86afa
21,Didier Ilunga-Mbenga,880658.0,2008,0.011255020445635972,1.126,LAL,d67535fc-647d-48b1-ac0e-665e3cd86afa
22,Antoine Wright,1800000.0,2008,0.018938286217034087,1.894,DAL,de90cdcf-cdc7-41a4-a9a6-fe3d60acd336
23,Devean George,1600000.0,2008,0.016834032192919186,1.683,DAL,ee393253-12db-4147-ad4f-251b80f81a1e
24,Shawne Williams,1572960.0,2008,0.016549537048858854,1.655,DAL,24de0744-9e77-4d7d-aa01-4a24d528de75
25,Jose Juan Barea,1500000.0,2008,0.015781905180861738,1.578,DAL,9fa90e0e-44a5-482a-8cad-924f887ef80b
26,Ryan Hollins,972581.0,2008,0.01023278741513846,1.023,DAL,f562cac9-ba1b-40eb-adb3-42463117dfac
27,Keith McLeod,926678.0,2008,0.009749829552793729,0.975,DAL,1e5d80aa-1ebb-4255-8ad1-3d3b40dc4dc0
28,Gerald Green,854957.0,2008,0.008995233538476005,0.9,DAL,afe50d46-6b1e-46cb-8beb-f4032f52c25d
29,Brandon Bass,826269.0,2008,0.008693399341256965,0.869,DAL,61a78a0b-9cfd-48c4-98e0-b74f1f3b4f27
30,James Singleton,826269.0,2008,0.008693399341256965,0.869,DAL,8ea50520-e109-47d3-912d-d3ff7755fc06
31,Ben Wallace,14500000.0,2008,0.15882016029817356,25.224,CLE,59af6d1d-a322-41e8-9b64-220eecc0185a
32,LeBron James,14410581.0,2008,0.15784074375240098,24.914,CLE,bedcfe40-c385-484d-85bc-e13eb14254ca
33,Wally Szczerbiak,13775000.0,2008,0.1508791522832649,22.765,CLE,baa92d68-b6f6-4351-9d24-ccb6b6cf4d9f
34,Zydrunas Ilgauskas,10841615.0,2008,0.11874945049593676,14.101,CLE,de4d2b63-1ed2-4e1a-8669-c886bb1cdcf0
35,Maurice Williams,8353000.0,2008,0.0914913654462513,8.371,CLE,804f3548-22c6-4718-bfcd-0b649c33ce89
36,Eric Snow,7312500.0,2008,0.08009464980554443,6.415,CLE,6c7a3fbe-8815-48f4-9fd5-dd9a2f341775
37,Anderson Varejao,5784480.0,2008,0.06335807178217787,4.014,CLE,5ced13cf-0b2b-4044-acd8-625bd3ffaa6b
38,Aleksandar Pavlovic,4500000.0,2008,0.04928901526495042,4.929,CLE,61f0cf8d-fa57-439b-9167-a06a5232e304
39,Delonte West,3850000.0,2008,0.04216949083779091,4.217,CLE,53f3fc32-3d83-4c2a-b5d0-0681601e633d
40,Daniel Gibson,3700000.0,2008,0.04052652366229256,4.053,CLE,580b96cf-4dfb-4c49-aa63-017aca69898a
41,JJ Hickson,1329480.0,2008,0.014561946669876952,1.456,CLE,e6f4ef97-d007-4936-844f-cc39d3664882
42,Lorenzen Wright,1262275.0,2008,0.013825842609681175,1.383,CLE,bab51822-a357-43c7-956a-e988098dc9e7
43,Tarence Kinsey,797581.0,2008,0.008735996018674315,0.874,CLE,bd395ca3-41e8-4e68-9cff-7dcc066a68a7
44,Darnell Jackson,450000.0,2008,0.004928901526495041,0.493,CLE,b7dfb276-d43d-43a6-b1b2-daaf620c4789
45,Jawad Williams,244463.0,2008,0.002677631230825683,0.268,CLE,80c4aa33-0953-444f-947f-436b4594201a
46,Trey Johnson,187258.0,2008,0.00205105831566313,0.205,CLE,c2030104-267c-41c3-a312-e0e237abcb67
47,Steve Francis,17180000.0,2008,0.21405416609524297,45.819,POR,a5845013-8c2b-4fd7-89a8-d903e78c65e9
48,Steve Francis,2636550.0,2008,0.04711646282503845,4.712,MEM,a5845013-8c2b-4fd7-89a8-d903e78c65e9
49,Raef LaFrentz,12722500.0,2008,0.15851595623671297,25.127,POR,4edcf6cd-8e7b-4fa0-9042-85aced40fdab
