,Team,Totals,Year,Abb
0,LA Lakers,91428140.0,2010,LAL
1,Orlando,90770804.0,2010,ORL
2,Dallas,85409890.0,2010,DAL
3,Boston,82045867.0,2010,BOS
4,Utah,75855296.0,2010,UTA
5,Portland,74584058.0,2010,POR
6,Houston,72315654.0,2010,HOU
7,Atlanta,71469843.0,2010,ATL
8,Memphis,70241344.0,2010,MEM
9,Toronto,69992648.0,2010,TOR
10,San Antonio,69522311.0,2010,SA
11,Milwaukee,69076690.0,2010,MIL
12,Philadelphia,68915246.0,2010,PHI
13,Golden State,68415336.0,2010,GS
14,New Orleans,68230729.0,2010,NO
15,Denver,68019290.0,2010,DEN
16,New York,67016562.0,2010,NY
17,Charlotte,66542696.0,2010,CHA
18,Miami,66205855.0,2010,MIA
19,Phoenix,65979054.0,2010,PHO
20,Detroit,65517821.0,2010,DET
21,Indiana,65088630.0,2010,IND
22,Brooklyn,58495989.0,2010,BKN
23,Washington,58324988.0,2010,WSH
24,Oklahoma City,55922488.0,2010,OKC
25,Chicago,54538076.0,2010,CHI
26,Cleveland,53990021.0,2010,CLE
27,Minnesota,53461123.0,2010,MIN
28,LA Clippers,53225329.0,2010,LAC
29,Sacramento,45268465.0,2010,SAC
