,Player,Salary,Year,UUID
0,Stephen Curry,40231758.0,2019,0d729373-8640-4772-922d-1f8d86817adc
1,Russell Westbrook,38506482.0,2019,a17c035e-c0c2-4a2f-95ea-18f20cdb6999
2,Chris Paul,38506482.0,2019,6b205a48-76fd-4b71-87fc-d92196e998af
3,James Harden,38199000.0,2019,6472c887-cc8f-407b-b727-ccfcb5e803df
4,John Wall,38199000.0,2019,ce800dbb-e494-451a-bc59-c4d38d21502d
5,LeBron James,37436858.0,2019,4ae6326c-7a7a-4902-a874-ae7a1358a285
6,Kevin Durant,37199000.0,2019,fd4f493e-5002-456a-988a-109d51120984
7,Blake Griffin,34449964.0,2019,4e3f747b-88c5-4f81-b963-161a2d8f996e
8,Kyle Lowry,33296296.0,2019,8f5e0297-ff97-441e-8830-48ae87f2a064
9,Paul George,33005556.0,2019,8bd6e7d0-0bde-4802-8a48-8678839740cc
10,Kemba Walker,32742000.0,2019,f966519a-72ce-486c-a3e4-c5c51071653c
11,Klay Thompson,32742000.0,2019,704216a2-402d-4cb5-9d74-7b7b3afa2469
12,Kawhi Leonard,32742000.0,2019,2f7f0fa9-e257-410a-9ce5-76d5169b07be
13,Jimmy Butler,32742000.0,2019,659f6c7f-66ff-4642-ad0f-73de6588fd22
14,Tobias Harris,32742000.0,2019,f6e15da1-de22-4cef-b411-606ae9ee57ac
15,Gordon Hayward,32700690.0,2019,d5249c60-4c8b-4437-b3c4-9aabec89d349
16,Mike Conley,32511623.0,2019,3687b1ac-282a-4341-85f1-8f2853184b24
17,Kyrie Irving,31742000.0,2019,e3812eca-9504-4fe6-9eed-473c67a03023
18,Khris Middleton,30603448.0,2019,e23ab37a-751e-4236-950a-45a951aa2cc9
19,Paul Millsap,30350000.0,2019,533d4641-ef66-4427-9367-61da9af5b80c
20,Damian Lillard,29802321.0,2019,b0c5cbfc-2e55-4d23-865a-138b11dfe47a
21,Kevin Love,28942830.0,2019,6cf2a8c0-1e3f-453d-a0be-246271d28dc7
22,Nikola Vucevic,28000000.0,2019,d2b3f267-224f-4a3d-befe-1d8a1928b566
23,Al Horford,28000000.0,2019,5fa82029-5179-4b45-adce-7f855a3b60e1
24,DeMar DeRozan,27739975.0,2019,f932b310-2f80-4313-87d4-ddf71f110737
25,CJ McCollum,27556959.0,2019,ff72c75a-58cb-46dd-8306-3a7ced101e41
26,Nikola Jokic,27504630.0,2019,23d94817-a2fe-42bd-9468-1029bfe46ce0
27,Andrew Wiggins,27504630.0,2019,38e99d18-9e67-48ea-bbdd-fbcfcfc92a9a
28,Joel Embiid,27504630.0,2019,75a2afd2-1b6a-4770-9c8d-4e4bafc36314
29,Kristaps Porzingis,27285000.0,2019,fd572263-b109-4b09-b5af-10b473e9df64
30,D'Angelo Russell,27285000.0,2019,00495691-b0ae-4876-98f5-dd3c1121ce6a
31,Karl-Anthony Towns,27285000.0,2019,31ae97da-8ff7-454e-b3d6-b34934202f0a
32,Devin Booker,27285000.0,2019,da929682-c586-433a-a3cb-8f79fb000167
33,Otto Porter,27250576.0,2019,139b61ac-02c0-42cd-9d3e-459568891c96
34,Anthony Davis,27093019.0,2019,32fda666-85d5-4689-b53c-2ad968ab162c
35,Andre Drummond,27093018.0,2019,af676fc3-cb14-4a84-81f9-ef67f4da06fc
36,Hassan Whiteside,27093018.0,2019,f9b1adc8-791b-47e5-ae1e-6b3465851fec
37,Bradley Beal,27093018.0,2019,f4cc432d-acda-4e33-b58c-7f9b07fee5d0
38,Jrue Holiday,26131111.0,2019,f29baea3-8787-4713-a65f-0a0d5f87e2b2
39,LaMarcus Aldridge,26000000.0,2019,3be39f56-16ce-4940-b67d-0d848dc4a10d
40,Giannis Antetokounmpo,25842697.0,2019,6e925a07-b5f1-4f4f-87dd-d9fdf1d4ac44
41,Steven Adams,25842697.0,2019,83bd9f95-af5a-43de-b902-e23bccd7a427
42,Marc Gasol,25595700.0,2019,e678ec98-8743-4724-8e85-4b8f82f142a3
43,Nicolas Batum,25565217.0,2019,caf7de74-1354-47ee-bae8-3098b596b7a7
44,Rudy Gobert,25258427.0,2019,21dfdf6a-b6b1-4482-a3b0-ae7525f62cf5
45,Chandler Parsons,25102512.0,2019,5a70d3d5-b28b-4ec9-ad06-d3253c4b32a6
46,Harrison Barnes,24147727.0,2019,5bcbb942-93e2-46b8-bdd3-0c5bd30425a3
47,Serge Ibaka,23271604.0,2019,220b5bf1-fd41-4133-b295-56ffc5a3e410
48,Danilo Gallinari,22615559.0,2019,4a8955a0-972b-4fcf-a6a8-160da71436da
49,Victor Oladipo,21000000.0,2019,465372ba-ce7e-41fe-bba6-993a5eed0c90
50,Tim Hardaway Jr,20025127.0,2019,c601ddb2-ac7a-4458-9663-63095c804a72
51,Malcolm Brogdon,20000000.0,2019,ada81c05-555a-43e6-866a-1403fa633f61
52,Terry Rozier,19894737.0,2019,d30d0c4d-559c-4a86-8f2d-cd36abb9da71
53,Aaron Gordon,19863636.0,2019,967435ac-a982-4dd6-a6f8-27b07b8916bb
54,Zach LaVine,19500000.0,2019,7b5acea5-e3cc-4749-8254-00e089df460e
55,Kent Bazemore,19269663.0,2019,36287a51-0834-4f99-97fa-83fa05182af1
56,Goran Dragic,19217900.0,2019,d641e2e8-a511-4172-bb4c-fb1f200f7e9a
57,Jeff Teague,19000000.0,2019,b2ec49bf-0f3f-4a74-b4dd-ba1ff9ded0bd
58,Evan Turner,18606556.0,2019,21a1db71-9d28-424a-9e3e-f502e77e5b86
59,Tristan Thompson,18539130.0,2019,b86dd332-07fd-404d-82dd-9cb7cec378e8
60,Draymond Green,18539130.0,2019,abef788d-ee07-40a4-82f8-b4d5fc0251e2
61,Gary Harris,18189286.0,2019,b2d46553-62d6-4ed2-bccd-f1e0de635302
62,Myles Turner,18000000.0,2019,353557ec-d042-4178-9297-601d08faf66d
63,Julius Randle,18000000.0,2019,faedf474-4d88-4710-9c85-b4fd8d1cf672
64,Derrick Favors,17650000.0,2019,ce0a717f-9f25-46a1-9342-45cdb39228fe
65,Andre Iguodala,17185185.0,2019,47bcd493-56f5-4460-a03a-050bc3581522
66,Evan Fournier,17150000.0,2019,d1c8b049-01dc-4499-a260-762ec4c3971c
67,Bismack Biyombo,17000000.0,2019,37aee038-9163-40ac-a7b8-91ca8294648b
68,Bojan Bogdanovic,17000000.0,2019,8d66c57e-9fe6-4bf2-a85c-efd9c24cdb4c
69,Clint Capela,16896552.0,2019,a2f60071-c79c-454b-bb7e-3ae9273028d7
70,Gorgui Dieng,16229213.0,2019,235c97e7-073f-4698-a9d9-5046db87b2fd
71,Ricky Rubio,16200000.0,2019,e774952d-eb78-47e1-8177-e479f2fd1849
72,Jonas Valanciunas,16000000.0,2019,337e419f-a6b4-4512-b4e8-0633bcd5ed84
73,Brandon Knight,15643750.0,2019,6faa9016-3168-40ac-a503-8338fff09672
