,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid
0,Alaa Abdelnaby,PF,26,TOT,54,0,506,118,231,.511,0,2,.000,118,229,.515,.511,20,35,.571,37,77,114,13,15,12,45,104,256,a8027f37-8e2f-4c83-98eb-3ccfeea00c2a
1,Mahmoud Abdul-Rauf,PG,25,DEN,73,43,2082,472,1005,.470,83,215,.386,389,790,.492,.511,138,156,.885,32,105,137,263,77,9,119,126,1165,9439df8b-3c02-4808-aed0-dcbba833f300
2,Michael Adams,PG,32,CHH,29,0,443,67,148,.453,29,81,.358,38,67,.567,.551,25,30,.833,6,23,29,95,23,1,26,41,188,7a27af86-990b-401a-bfab-7d78e223fba1
3,Rafael Addison,SF,30,DET,79,16,1776,279,586,.476,24,83,.289,255,503,.507,.497,74,99,.747,67,175,242,109,53,25,76,236,656,1a725fb8-ee1a-4174-8212-c8c0bc2c39bb
4,Danny Ainge,SG,35,PHO,74,1,1374,194,422,.460,78,214,.364,116,208,.558,.552,105,130,.808,25,84,109,210,46,7,79,155,571,de30c2ee-ec9d-4042-be54-f406cc621efb
5,Victor Alexander,C,25,GSW,50,29,1237,230,447,.515,6,25,.240,224,422,.531,.521,36,60,.600,87,204,291,60,28,29,76,145,502,e1bd51b7-0428-40c5-bfd1-fc980efd7daf
6,Greg Anderson,PF,30,ATL,51,0,622,57,104,.548,0,0,0,57,104,.548,.548,34,71,.479,62,126,188,17,23,32,32,103,148,c0aa6acc-533b-4e61-94ec-57a15835ecb5
7,Kenny Anderson,PG,24,NJN,72,70,2689,411,1031,.399,97,294,.330,314,737,.426,.446,348,414,.841,73,177,250,680,103,14,225,184,1267,a8644ea2-3e28-4207-98be-fda50363c248
8,Nick Anderson,SG,27,ORL,76,76,2588,439,923,.476,179,431,.415,260,492,.528,.573,143,203,.704,85,250,335,314,125,22,141,124,1200,bb214207-755d-4c90-9f69-637609f05ee6
9,Willie Anderson,SG,28,SAS,38,11,556,76,162,.469,3,19,.158,73,143,.510,.478,30,41,.732,15,40,55,52,26,10,38,71,185,7065a6f9-3b58-4bb6-8b96-22d64d43b65f
10,Greg Anthony,PG,27,NYK,61,2,943,128,293,.437,56,155,.361,72,138,.522,.532,60,76,.789,7,57,64,160,50,7,57,99,372,c9961f2c-2cd0-42ee-80bb-9553fc139f92
11,Darrell Armstrong,PG,26,ORL,3,0,8,3,8,.375,2,6,.333,1,2,.500,.500,2,2,1.000,1,0,1,3,1,0,1,3,10,5aa77a64-ab4b-462e-9bff-6f7f798a9c9b
12,Vincent Askew,SG,28,SEA,71,1,1721,248,504,.492,31,94,.330,217,410,.529,.523,176,238,.739,65,116,181,176,49,13,85,191,703,e35ff4d6-413d-4381-877f-1b90369097a5
13,Keith Askins,SF,27,MIA,50,5,854,81,207,.391,21,78,.269,60,129,.465,.442,46,57,.807,86,112,198,39,35,17,25,109,229,54733ba6-21b8-4e27-8c0b-f3f94946d755
14,Stacey Augmon,SG,26,ATL,76,76,2362,397,876,.453,7,26,.269,390,850,.459,.457,252,346,.728,157,211,368,197,100,47,152,163,1053,5a3e9fd3-c9fe-4c9f-ad4f-e9b2e05ad6c0
15,Anthony Avent,PF,25,ORL,71,3,1066,105,244,.430,0,0,0,105,244,.430,.430,48,75,.640,97,196,293,41,28,50,53,170,258,d62b1577-07a9-43a8-9948-3a64c698baaa
16,Vin Baker,PF,23,MIL,82,82,3361,594,1229,.483,7,24,.292,587,1205,.487,.486,256,432,.593,289,557,846,296,86,116,221,277,1451,1da96cf4-65ef-4467-a93a-08c14791d904
17,Dana Barros,PG,27,PHI,82,82,3318,571,1165,.490,197,425,.464,374,740,.505,.575,347,386,.899,27,247,274,619,149,4,242,159,1686,d1acce80-d01a-443f-b39b-cc9e4819ba09
18,Jon Barry,SG,25,MIL,52,0,602,57,134,.425,16,48,.333,41,86,.477,.485,61,80,.763,15,34,49,85,30,4,41,54,191,7c58917c-b227-40f1-8c47-f9b4ae4e064a
19,John Battle,SG,32,CLE,28,0,280,43,114,.377,11,31,.355,32,83,.386,.425,19,26,.731,3,8,11,37,8,1,17,28,116,4d187ef0-b773-403a-8c23-44795864c732
20,Sergei Bazarevich,PG,29,ATL,10,0,74,11,22,.500,1,6,.167,10,16,.625,.523,7,9,.778,1,6,7,14,1,1,7,10,30,e68d42ad-3867-479d-9e96-5f83f41afae4
21,Benoit Benjamin,C,30,NJN,61,57,1598,271,531,.510,0,0,0,271,531,.510,.510,133,175,.760,94,346,440,38,23,64,125,151,675,9d99d986-a894-42ca-a06f-459fff16e566
22,Elmer Bennett,PG,24,CLE,4,0,18,6,11,.545,0,2,.000,6,9,.667,.545,3,4,.750,0,1,1,3,4,0,3,3,15,6c2a1436-d6b5-4cd1-9a89-0f6e4d26ca14
23,Tony Bennett,PG,25,CHH,3,0,46,6,13,.462,2,9,.222,4,4,1.000,.538,0,0,0,0,2,2,4,0,0,3,6,14,64e81356-6096-467f-9748-a6aafeeca4f5
24,David Benoit,SF,26,UTA,71,67,1841,285,587,.486,38,115,.330,247,472,.523,.518,132,157,.841,96,272,368,58,45,47,75,183,740,e865af81-205e-4dec-b397-85148288bf2c
