,Player,Pos,Team,Gp,Mpg,Orpm,Drpm,Rpm,Wins,UUID
0,Kevin Garnett,PF,MIN,82,40.5,3.98,4.46,8.44,25.76,4035d838-5ed7-4507-86ad-0488a9b9c358
1,Tim Duncan,C,SA,81,39.3,2.57,3.75,6.32,19.77,1aba9f56-0b6b-428e-b755-819a337ce515
2,Dirk Nowitzki,F,DAL,80,39.0,4.17,2.04,6.21,20.00,2c65279f-3a4f-4c12-8369-793f979c9934
3,Tracy McGrady,SG,ORL,75,39.4,7.52,-1.88,5.64,17.75,b08d73ba-5002-4a5b-91cf-f16b7bb6fd6c
4,Arvydas Sabonis,C,POR,78,15.5,1.27,3.79,5.06,6.26,1a95a159-0b22-4663-a0fd-b051dbe1011b
5,Toni Kukoc,SF,MIL,63,27.0,2.56,2.38,4.94,9.10,80e68375-f4fd-4693-a5ab-da4ab27efa62
6,Jason Kidd,PG,NJ,80,37.4,3.87,1.06,4.93,16.09,34ac2a07-1fe4-4883-944a-3b944559788b
7,Rasheed Wallace,PF,POR,74,36.3,1.45,3.32,4.77,13.69,a4b7eb84-1c66-4b49-86bf-dc66f957b764
8,Baron Davis,PG,NO,50,37.8,1.97,2.45,4.43,9.24,955a38f5-292b-4d1d-8e02-792168f51005
9,Shaquille O'Neal,C,LAL,67,37.8,5.64,-1.24,4.40,12.93,74b99a51-bb65-436f-8bcc-7022af2a490a
10,Andrei Kirilenko,SF,UTAH,80,27.7,0.50,3.62,4.12,10.45,264998a4-bb1c-44d5-8a17-d5e33001ccbe
11,Ray Allen,SG,MIL/SEA,76,37.9,3.65,0.42,4.07,13.55,dd35c155-b428-42b0-b12e-5ef94414c5a0
12,Kobe Bryant,SF,LAL,82,41.5,4.42,-0.37,4.05,16.44,24d0e17f-fb15-4609-84f0-ff0d88dc0937
13,Charlie Ward,PG,NY,66,22.2,2.68,1.30,3.98,6.93,8c49811e-8cb3-491b-8353-6baae430305e
14,John Stockton,G,UTAH,82,27.7,2.58,1.28,3.86,10.25,712a799b-18d5-4231-96b8-2e73e77d9de0
15,Shawn Marion,SG,PHX,81,41.6,1.94,1.89,3.83,15.91,5d4d73e4-5fe8-43d3-8869-8997e243d262
16,Reggie Miller,SG,IND,70,30.2,1.81,1.80,3.60,9.60,90ab210f-92e9-4018-9e96-d3580492167e
17,Michael Finley,SG,DAL,69,38.3,2.37,1.14,3.52,11.95,55e94f09-faa2-4275-bf2c-2ed71d56f926
18,Steve Francis,PG,HOU,81,41.0,1.85,1.64,3.49,14.35,e80d5f18-0228-43d7-89ad-76d953c0fc4f
19,Ben Wallace,PF,DET,73,39.4,-3.00,6.42,3.42,11.82,33b29513-8bf9-40c0-b40c-92d241d0a33d
20,Vince Carter,G,TOR,43,34.2,2.90,0.46,3.36,6.27,019d4597-224e-49c3-b78f-149070a6951d
21,Jon Barry,SG,DET,80,18.4,2.46,0.72,3.17,5.84,46e67f9d-272c-4e3e-90f1-cc6c60236224
22,Eddie Jones,SG,MIA,47,38.1,1.09,2.00,3.09,7.01,83d519a9-63ac-49ac-8f02-8819baa4d5c8
23,Metta World Peace,SF,IND,69,33.6,1.35,1.65,3.00,9.57,7d5410b3-0b90-4fc9-8350-b731776296d0
24,Mike James,PG,MIA,78,22.1,-0.08,2.97,2.89,6.43,104a98c3-d4d5-45bc-8736-acd158f7a172
25,Eric Piatkowski,SG,LAC,62,21.9,2.05,0.83,2.87,5.32,8a80c9b6-0f24-4c76-a638-52a06882972c
26,Paul Pierce,SF,BOS,79,39.2,2.97,-0.28,2.68,11.92,d14d1240-57b5-4cfb-b38e-3993d37eb1d3
27,Jamal Crawford,G,CHI,80,24.9,2.11,0.57,2.67,7.84,9d93177f-40b0-4e5f-9798-4f54ea6e53e0
28,David Robinson,C,SA,64,26.2,-0.87,3.54,2.67,6.30,10c11849-ba1c-47b5-9b85-355653fee990
29,Robert Horry,PF,LAL,80,29.3,-0.50,3.04,2.54,8.83,7156032c-4823-4eaa-98b2-aa5db5db0fad
30,Earl Watson,PG,MEM,79,17.3,0.39,2.10,2.49,4.98,679ea26b-23e6-4fa3-b074-d077963150a5
31,Chauncey Billups,PG,DET,74,31.4,2.13,0.18,2.30,7.98,f828440b-4e2d-49b7-9a7c-f69d2bfc58b4
32,Vlade Divac,C,SAC,80,29.8,0.09,2.20,2.29,8.89,112709ed-d8e8-4023-872a-d25875f5fd49
33,Allen Iverson,SG,PHI,82,42.5,2.95,-0.66,2.29,12.97,d8c52d19-deaa-48c8-86da-ec699b2a0852
35,Shawn Bradley,C,DAL,81,21.4,-1.16,3.41,2.25,6.14,f8098022-1795-4720-90fc-aa48b97af8e2
36,Michael Jordan,G,WSH,82,37.0,-0.05,2.30,2.25,10.31,adcaf7e8-35cf-4cc7-86b1-4b895d9213ab
37,Derrick Coleman,PF,PHI,64,27.2,-0.49,2.74,2.24,6.30,e5d96890-19bc-44a2-90be-6024cba0829e
38,Greg Ostertag,C,UTAH,81,23.8,-2.46,4.69,2.22,6.42,b4ebff32-aa01-4ef7-b42e-f22a8d53092c
39,Kerry Kittles,SG,NJ,65,30.0,1.89,0.29,2.19,6.88,b5681491-a612-41bd-9ac2-697f3a6c94f8
41,Eddie Griffin,PF,HOU,77,24.5,-0.33,2.51,2.18,6.37,d9250b43-6953-4d7b-87dc-fffe60c0a33b
42,Gary Payton,PG,SEA/MIL,80,40.1,3.43,-1.27,2.16,11.18,442a7e96-4c9e-4d86-841a-a17bd27f5bcb
43,Stephon Marbury,PG,PHX,81,40.0,3.86,-1.71,2.15,11.73,f3a8c74e-844a-4cb6-88e1-1427b0f4bab5
44,Scott Padgett,PF,UTAH,82,16.1,-0.33,2.39,2.06,4.43,00462712-c694-4729-932f-7016ef48451c
45,Chris Webber,C,SAC,67,39.1,1.95,0.10,2.05,9.40,a2a451fc-e02e-454f-a62a-4f9b2ce4f852
46,Michael Redd,SG,MIL,82,28.2,3.91,-1.89,2.02,7.92,3c2fb1bc-d168-480f-8555-0c4d4e59c356
47,Reggie Slater,F,MIN,26,5.4,2.51,-0.50,2.01,0.47,6b941507-3bfb-48dd-ba3f-842b6ea11291
48,Derek Anderson,SG,POR,76,33.6,1.94,-0.06,1.88,8.34,42d72d39-26ce-45a8-9f71-a13af42dc460
49,Vladimir Radmanovic,SF,SEA,72,26.5,0.05,1.80,1.85,6.16,e3989233-76c1-462d-9bee-9bac0d02a72f
50,Elton Brand,PF,LAC,62,39.6,1.07,0.69,1.75,7.96,d63e5ac8-f1ef-4bd5-8d76-8f4d65432d8a
51,Brent Barry,SG,SEA,75,33.1,1.04,0.67,1.72,7.72,1b9eaa5d-a619-40f9-b9bf-c2ebb5293b05
52,Brad Miller,C,IND,73,31.1,1.10,0.51,1.61,7.22,7238d13f-03a0-41ec-a9ea-ced78d3574f7
