,player,pos,team,gp,mpg,orpm,drpm,rpm,wins,uuid,adjusted_wins
0,Manu Ginobili,G,SA,74,31.0,4.24,2.59,6.84,14.38,d4a0b468-3ec5-4ecb-b94e-f1565f1af651,17.6
1,Kevin Garnett,PF,BOS,71,32.8,1.40,4.92,6.32,13.85,8c4661f3-343f-4842-be7c-8b91d0f7409f,17.07
2,LeBron James,SF,CLE,75,40.4,6.17,-0.38,5.80,17.43,bedcfe40-c385-484d-85bc-e13eb14254ca,20.65
3,Chris Paul,PG,NO,80,37.6,4.76,0.39,5.15,15.53,40b1fb2d-fa62-4821-ad86-82eb61726f8c,18.75
4,Chris Bosh,PF,TOR,67,36.2,1.75,3.34,5.09,12.24,ce7ae779-d64a-4736-86b2-4184fd5871fb,15.46
5,Paul Pierce,SF,BOS,80,35.9,2.30,2.74,5.04,14.70,ead63c29-2988-478d-b595-6060f10983e0,17.919999999999998
6,Kobe Bryant,SF,LAL,82,38.9,5.20,-0.30,4.89,17.09,825ab381-2ad5-4685-98b9-93b318bd37da,20.31
7,Rasheed Wallace,PF,DET,77,30.5,-0.57,5.42,4.86,11.06,59cc773b-c6d6-4242-ae3e-6795a5945ee2,14.280000000000001
8,Tim Duncan,C,SA,78,34.0,0.86,3.92,4.77,12.60,12b9fb27-2178-4f65-9099-9764b863e4df,15.82
9,Chauncey Billups,PG,DET,78,32.3,3.22,1.29,4.51,11.42,7a09dda4-5980-4115-b1c8-bde37d6b4d12,14.64
10,Andre Iguodala,F,PHI,82,39.5,1.36,2.76,4.12,14.68,bd56f727-1302-42ae-b243-bf6722378b35,17.9
11,Ronnie Price,PG,UTAH,61,9.6,0.77,3.33,4.10,2.68,66089446-928e-47cc-b864-8886057a1f22,5.9
12,Dirk Nowitzki,F,DAL,77,36.0,2.90,1.17,4.07,12.56,41454901-7576-4ff8-89a6-6763f727d2d8,15.780000000000001
13,Tracy McGrady,SG,HOU,66,37.0,2.06,1.63,3.69,10.25,50fe8196-017f-4587-90e5-12e32a204930,13.47
14,Metta World Peace,SF,SAC,57,38.1,1.77,1.92,3.68,9.77,670a19ff-960f-4b66-89c5-c438ef9dcd19,12.99
15,Vince Carter,G,NJ,76,38.9,1.75,1.91,3.66,12.83,96046c84-d179-44f1-976e-f81afa46108f,16.05
16,Dwight Howard,C,ORL,82,37.7,2.51,1.05,3.57,13.53,b89c8f21-0a6f-4c76-b5e8-b5775c73583b,16.75
