,Player,Pos,Team,Gp,Mpg,Orpm,Drpm,Rpm,Wins,UUID,adjusted_wins
0,Stephen Curry,PG,GS,63,34.2,7.08,0.10,7.18,19.05,2f1008df-4d89-43d1-b8be-b9f05520f109,22.39
1,LeBron James,SF,LAL,45,33.4,4.63,2.10,6.73,11.91,f15e32f6-36a9-4efb-bce0-043c1bc98f68,15.25
2,Rudy Gobert,C,UTAH,71,30.8,-1.45,8.00,6.55,16.52,891f2335-cdb7-46ac-9824-4c1c585d809d,19.86
3,Paul George,F,LAC,54,33.7,1.55,3.89,5.45,11.98,fd3a23ba-8ccf-4790-bdf7-52782a310c86,15.32
4,Giannis Antetokounmpo,PF,MIL,61,33.0,3.89,1.20,5.09,14.03,f5e976f0-2383-4f34-869e-912b0daebc1d,17.369999999999997
5,Nikola Jokic,C,DEN,72,34.6,3.12,1.96,5.08,15.85,4d321b07-ade4-497c-be07-e8335e03b288,19.189999999999998
6,Joel Embiid,C,PHI,51,31.1,2.04,2.98,5.02,10.01,a5389e3a-5b1d-4d86-9782-ea76a0207758,13.35
7,James Harden,SG,HOU/BKN,44,36.6,3.99,0.98,4.97,9.94,ef0995d8-4803-48be-b6b8-d6cdc7e8c433,13.28
8,Damian Lillard,PG,POR,67,35.8,3.88,1.09,4.97,14.55,661aaab7-cd03-4fc0-a2d5-66c720502a29,17.89
9,Lonzo Ball,PG,NO,55,31.8,3.19,1.27,4.46,10.06,3e6a9381-3e26-4fa3-9181-5ca701b3fafc,13.4
10,Mike Conley,PG,UTAH,51,29.4,1.25,3.12,4.37,8.28,a8b6a012-c3c8-4266-8d7c-5560c18a4fab,11.62
11,Fred VanVleet,SG,TOR,52,36.5,1.27,2.78,4.05,10.67,bf9acc8a-5902-4798-809f-4992cf2b452f,14.01
12,Kyle Lowry,PG,TOR,46,34.8,2.90,1.12,4.02,8.98,f2f63d5e-6d9a-4240-ba9c-09b7870ead3f,12.32
13,Kevin Durant,PF,BKN,35,33.1,4.07,-0.11,3.95,6.06,3a91d425-1011-4d09-9852-8cd43df314bc,9.399999999999999
15,CJ McCollum,SG,POR,47,34.0,2.09,1.78,3.87,8.42,0f573632-b692-47e3-a448-71de53dd5822,11.76
16,Ben Simmons,PG,PHI,58,32.4,1.28,2.39,3.67,9.80,faf68c2e-ae37-47b3-9390-af15dd7ecd3b,13.14
17,Chris Paul,PG,PHX,70,31.4,0.48,3.06,3.54,10.78,61cbf931-8bc1-4186-99b6-41709cb25bf5,14.12
18,Jamal Murray,PG,DEN,48,35.5,0.41,3.07,3.48,8.04,f23225e8-07aa-428b-afcf-1f7129c8f0a3,11.379999999999999
19,Kyrie Irving,PG,BKN,54,34.9,2.96,0.49,3.44,9.16,6c1bb9b8-8772-428c-bdd6-b1956c33c58a,12.5
20,Jimmy Butler,SF,MIA,52,33.6,1.50,1.90,3.40,8.70,f0fb95cc-2a0f-4518-a8e6-e7a789fd7c15,12.04
21,Julius Randle,PF,NY,71,37.6,-0.76,4.16,3.40,12.36,d18b4bb5-2856-4ac3-93b3-342210554df5,15.7
22,Joe Harris,SF,BKN,69,31.0,-0.60,4.00,3.40,10.14,d60ab41c-eb2f-46dd-9201-33f262d85e91,13.48
23,Clint Capela,C,ATL,63,30.1,-1.63,4.98,3.35,9.12,e9be8ca9-e030-48de-82b7-a5335d94efbe,12.459999999999999
24,Zion Williamson,PF,NO,61,33.2,1.07,2.13,3.20,9.45,0bad4016-78c8-4040-b0ae-00b78afd6797,12.79
25,Christian Wood,F,HOU,41,32.3,0.54,2.60,3.14,6.19,28ab30a2-28b2-4930-96f2-182550364b36,9.530000000000001
26,Bam Adebayo,C,MIA,64,33.5,-0.77,3.78,3.01,9.56,29c1a6e4-c764-46e7-895d-ab6735ef7b4e,12.9
27,Luka Doncic,PG,DAL,66,34.3,2.44,0.51,2.96,10.37,75576fb7-2f8a-499b-b20e-e5bf1c651e69,13.709999999999999
28,Duncan Robinson,F,MIA,72,31.4,-0.56,3.45,2.89,10.04,3a93dade-5407-4171-a58f-882dbcaef13d,13.379999999999999
29,Terry Rozier,SG,CHA,69,34.5,1.29,1.59,2.88,10.77,fc6b2306-6702-4ed7-b4b0-861ee54f271a,14.11
30,Jaylen Brown,SG,BOS,58,34.5,2.10,0.71,2.81,9.39,c6b6da2c-e87d-413f-9b20-2956cf445ea8,12.73
31,Danny Green,F,PHI,69,28.0,-0.87,3.67,2.80,8.28,69a55dfb-2eef-483c-ac31-e65bc0bf7d94,11.62
32,De'Aaron Fox,PG,SAC,58,35.1,2.92,-0.27,2.66,8.85,f5261ebb-2c8e-45bf-9c95-1d4daee3aa06,12.19
33,Kyle Anderson,SF,MEM,69,27.3,0.16,2.44,2.60,7.82,688245ab-db21-498d-9139-031d025ea550,11.16
34,Jrue Holiday,PG,MIL,59,32.3,1.80,0.77,2.57,8.64,40b91da7-903b-40dc-b539-caf6cf904f73,11.98
35,Kawhi Leonard,SF,LAC,52,34.1,1.46,1.10,2.55,7.55,a8de2eeb-afae-44ff-aa2f-24b11323daf9,10.89
36,Donovan Mitchell,SG,UTAH,53,33.4,3.26,-0.76,2.50,7.52,06ab76ee-56d2-4c4e-8b07-517d8d53b022,10.86
37,Zach LaVine,SG,CHI,58,35.1,1.82,0.65,2.47,8.78,06c61086-f2bb-4994-9aa3-17a00d3ec327,12.12
38,Tobias Harris,PF,PHI,62,32.5,-0.20,2.65,2.45,8.21,f933c097-9567-4bec-a9f8-1c1d6a61061e,11.55
39,Jayson Tatum,SF,BOS,64,35.8,1.06,1.39,2.44,9.60,4c4a8c9d-61cc-4c00-a9ac-3ac3a72658d7,12.94
41,Donte DiVincenzo,SG,MIL,66,27.5,0.66,1.71,2.36,7.57,6664a7da-034b-4b1a-89a9-ee02fb65edaf,10.91
42,Bogdan Bogdanovic,SG,ATL,44,29.7,2.16,0.14,2.30,5.62,54723891-e923-4403-9de5-ce5a3c3f1fd2,8.96
43,Buddy Hield,SG,SAC,71,34.3,0.60,1.66,2.26,9.38,233ec7f8-d1b6-4ea7-81e5-734ce4a8d6ca,12.72
44,Devin Booker,SG,PHX,67,33.9,1.02,1.21,2.23,8.72,01d9a572-c2d4-49b6-8582-9eebd9e2e7a1,12.06
45,Trae Young,PG,ATL,63,33.7,2.36,-0.14,2.22,8.16,d7e8f362-9787-481e-8511-b1d12c6eefed,11.5
46,Mikal Bridges,SF,PHX,72,32.6,-0.36,2.56,2.21,8.98,5a7b4897-7ea6-41e6-8c0c-b16ade8caefb,12.32
47,Jonas Valanciunas,C,MEM,62,28.3,-0.49,2.68,2.19,6.62,363e7f6b-4c34-4443-a2fa-86af3601dec5,9.96
48,John Collins,PF,ATL,63,29.3,-0.14,2.28,2.15,6.92,e7beaed2-8406-414a-a442-0791fe240544,10.26
49,Russell Westbrook,PG,WSH,65,36.4,1.99,0.05,2.03,8.98,503e16ad-6e69-4abd-b647-011fefd6883e,12.32
50,Bojan Bogdanovic,SF,UTAH,72,30.8,0.48,1.49,1.97,8.24,337aee18-5a6f-4edb-b093-6aa8515cb969,11.58
51,Malcolm Brogdon,PG,IND,56,34.5,0.62,1.35,1.97,7.07,86c3877b-89d0-47f1-a67a-85a40bbf4fa0,10.41
52,Khris Middleton,SF,MIL,68,33.4,1.22,0.74,1.95,8.75,73308122-b037-4736-afff-7f77dfe9910d,12.09
53,Reggie Bullock,SF,NY,65,30.0,-1.80,3.74,1.94,6.21,3fe7d90f-c200-45c5-962f-8c14fd8c0986,9.55
54,Domantas Sabonis,PF,IND,62,36.0,-0.52,2.46,1.93,8.06,c6647b55-10de-430c-8d6d-2b961236fd16,11.4
55,Anthony Davis,PF,LAL,36,32.3,0.27,1.66,1.93,4.05,d8f59c50-268f-4f55-883b-bc65926f3c63,7.39
56,Bradley Beal,SG,WSH,60,35.8,2.76,-0.86,1.90,8.09,45a90845-4882-4379-9cd8-624405bb1ff0,11.43
57,Kemba Walker,PG,BOS,43,31.8,2.17,-0.30,1.88,4.96,5796f491-d801-4a1a-bcc6-40c6c321080b,8.3
58,Chris Chiozza,G,BKN,22,10.5,2.88,-1.11,1.78,1.00,4f27dcf3-ea43-4651-a90b-b5614e12431e,4.34
59,Jae Crowder,PF,PHX,60,27.5,-0.26,2.00,1.74,5.85,112a0899-fd05-4119-8e17-29f27e44f857,9.19
60,Joe Ingles,SG,UTAH,67,27.9,1.91,-0.22,1.70,7.17,e8f7e00d-dedc-40e1-84ee-cd4c740f7844,10.51
61,Brook Lopez,C,MIL,70,27.2,-0.87,2.56,1.69,6.74,a36692c7-1b71-468f-ab88-3d8ab5b548e1,10.08
62,Jordan Poole,SG,GS,51,19.4,3.21,-1.59,1.62,3.64,1bed90b2-7430-4e74-adc7-faf4230714d1,6.98
63,Karl-Anthony Towns,C,MIN,50,33.8,1.83,-0.28,1.55,5.68,63a46e64-b149-4624-9b93-6d707112e409,9.02
65,Dillon Brooks,SF,MEM,67,29.8,0.11,1.31,1.42,6.23,20ddcff8-6cb3-46f1-8d81-69132e5141b6,9.57
66,Derrick White,PG,SA,36,29.6,1.37,0.03,1.41,3.41,043efd12-d5bd-4b94-8114-a3e3ea12a8d7,6.75
67,Myles Turner,C,IND,47,31.0,-2.13,3.53,1.40,4.40,1d73aa8e-2ad6-4893-845a-b20a22863047,7.74
68,Deandre Ayton,C,PHX,69,30.7,-1.84,3.22,1.38,6.33,ac9da347-5eba-474e-8d53-08d9c1833f72,9.67
69,Evan Fournier,SG,ORL/BOS,42,30.0,1.18,0.16,1.35,3.98,9a54ddb2-9d34-4e05-8486-40715ae3ad18,7.32
70,Jerami Grant,SF,DET,54,33.9,-0.02,1.37,1.35,5.74,63126e91-4dc1-4fc1-be12-faffc3ec7d40,9.08
71,Andrew Wiggins,SF,GS,71,33.3,-1.40,2.72,1.31,7.31,30f36cfa-3eaf-4fba-ae7d-5a33ba2446ee,10.649999999999999
72,Dejounte Murray,SG,SA,67,31.9,-1.01,2.30,1.29,6.40,ade50089-e466-4559-b5af-b00a4659bc8e,9.74
73,Brandon Ingram,SF,NO,61,34.3,0.55,0.73,1.28,6.22,843ee6e0-6471-4fcb-9a23-72e479e6b56d,9.559999999999999
74,Kristaps Porzingis,C,DAL,43,30.9,0.73,0.54,1.27,3.97,37d0d975-4690-4f69-9443-467b6625b79d,7.3100000000000005
75,Victor Oladipo,SG,IND/HOU/MIA,33,32.7,0.75,0.49,1.24,3.29,f04cdc8a-1971-4d58-8454-969dd95b87e7,6.63
76,Wayne Ellington,SG,DET,46,22.0,1.15,0.09,1.24,2.99,ceb51fc3-5b04-4abd-be0e-4687b3d38b11,6.33
77,Patrick Beverley,PG,LAC,37,22.5,-0.30,1.54,1.24,2.33,e00c813d-373c-4c94-b76f-ae42f7df7723,5.67
79,Pascal Siakam,PF,TOR,56,35.8,-0.51,1.72,1.22,6.00,75450fe1-4c96-4550-b9d2-e633d30ae2bd,9.34
80,Seth Curry,SG,PHI,57,28.7,-0.48,1.69,1.20,4.71,cccb6627-2815-4fe9-a8f0-848a8612a022,8.05
82,Marcus Smart,PG,BOS,48,32.9,0.61,0.57,1.18,4.91,3405bc55-e42c-4c1a-bf28-8cce55075991,8.25
83,Mason Plumlee,C,DET,56,26.8,-1.37,2.54,1.17,4.17,c10055eb-cf04-4a5d-9f0e-79093e31e4f2,7.51
84,Royce O'Neale,PF,UTAH,71,31.5,-1.65,2.81,1.16,6.56,1d4ab7e9-addc-46f9-9edf-32ccfb4d5366,9.899999999999999
85,Draymond Green,PF,GS,63,31.5,-0.52,1.68,1.16,5.86,3076cee1-0d1c-4d32-abf5-c06a847a9ef8,9.2
86,Gordon Hayward,SF,CHA,44,34.0,0.39,0.76,1.15,4.53,c2c237ba-d352-4fd8-8332-fc751a29d4c7,7.87
87,Caris LeVert,SG,BKN/IND,47,31.6,1.41,-0.27,1.14,4.47,8135db22-459c-4ebe-a5f5-04c2edf56de0,7.81
88,Grayson Allen,SG,MEM,50,25.2,1.23,-0.13,1.10,3.83,c17a14b5-f22f-468b-9e98-32a49934f504,7.17
89,Nikola Vucevic,C,ORL/CHI,70,33.5,-0.25,1.33,1.08,6.78,7dbfb630-f3f9-4f59-a69d-b2ea9c08145c,10.120000000000001
90,Kentavious Caldwell-Pope,SG,LAL,67,28.4,-1.73,2.80,1.07,5.20,f00e8d00-42aa-42d8-8e69-28111939c9fa,8.54
91,Norman Powell,SF,TOR/POR,69,32.0,0.70,0.36,1.06,6.34,85164da8-e7be-43f3-a6d4-659d329f5a4b,9.68
92,Reggie Jackson,PG,LAC,67,23.0,-0.12,1.15,1.04,4.39,5d3a2927-8c9b-4174-ab0c-a4b05da0e1d1,7.7299999999999995
93,D'Angelo Russell,PG,MIN,42,28.5,2.58,-1.60,0.98,3.56,40c50918-6e04-4c45-8745-f571052c3746,6.9
94,Kelly Olynyk,PF,MIA/HOU,70,28.5,0.31,0.64,0.95,5.48,40d27056-9a6f-49d1-a5e7-f450f8549647,8.82
95,Harrison Barnes,SF,SAC,58,36.2,-0.93,1.87,0.94,5.72,89a7a924-3a08-4f82-b358-d6fdc8d1118e,9.059999999999999
96,Richaun Holmes,F,SAC,61,29.2,-1.31,2.25,0.94,4.74,6e36d9aa-5c11-46c7-860d-f8b9793baf2a,8.08
97,Malik Beasley,SG,MIN,37,32.8,1.16,-0.22,0.94,3.36,949bd05b-4697-4eb0-8da1-1af48ed795e1,6.699999999999999
98,De'Andre Hunter,SF,ATL,23,29.5,0.20,0.72,0.92,1.88,b125793a-8bdc-46d9-a530-d349e3d0ee10,5.22
99,Ricky Rubio,PG,MIN,68,26.1,0.05,0.86,0.91,4.89,9903dc69-7800-43a5-8aa3-75796fdf6e5a,8.23
100,Kendrick Nunn,G,MIA,56,29.5,0.26,0.63,0.89,4.41,8ebb5aa4-0005-41d7-9806-91f787dc7398,7.75
102,Thomas Bryant,C,WSH,10,27.1,0.66,0.22,0.87,0.78,bf383a70-9ed6-4096-9499-f73d0e0f1b7c,4.12
103,Shai Gilgeous-Alexander,PG,OKC,35,33.7,0.92,-0.07,0.86,3.06,8ea7afeb-fc98-4fab-a247-ef551b049d8d,6.4
104,Paul Millsap,PF,DEN,56,20.8,-0.95,1.79,0.84,2.85,34e4eb48-38f8-4a3d-84d9-aabfb3b229db,6.1899999999999995
105,Kevin Huerter,SG,ATL,69,30.8,-0.31,1.12,0.81,5.76,d5b19326-590d-4476-b71f-93f8ce80506f,9.1
106,Mike Muscala,C,OKC,35,18.4,1.35,-0.59,0.76,2.05,6ca7ae28-c4ad-4bcc-91ef-bd3c02cc7520,5.39
107,Chris Boucher,PF,TOR,60,24.2,1.24,-0.50,0.74,4.18,0ed93a09-c272-48b3-9bbb-573a32ca998e,7.52
108,Al Horford,C,OKC,28,27.9,-0.57,1.31,0.74,1.84,8d5f6a78-1e2b-4ebe-92f4-885d3f6be695,5.18
109,Dorian Finney-Smith,PF,DAL,60,32.0,-0.93,1.64,0.71,4.68,dbd36b6a-e873-4553-8fcc-ccdf15144443,8.02
110,Ivica Zubac,C,LAC,72,22.3,-0.67,1.37,0.70,4.37,5924adc4-f541-46c2-97ab-97a3e737ab9d,7.71
111,RJ Barrett,SG,NY,72,34.9,-2.32,3.00,0.68,5.71,e243f6c5-6433-4f40-9b5e-bca4e04082db,9.05
112,Khyri Thomas,SG,HOU,5,30.6,2.01,-1.35,0.66,0.47,50f486ae-4fb5-4a9d-80f7-5db6864d1e17,3.8099999999999996
113,Saddiq Bey,SF,DET,70,27.3,-0.40,1.05,0.66,4.84,5a0d59c2-af9c-4435-9271-9059a3ff7c54,8.18
114,Sam Merrill,SG,MIL,30,7.8,1.70,-1.07,0.64,0.61,f96a8a76-3a16-48fb-8dfd-035b799b29b8,3.9499999999999997
115,LaMelo Ball,PG,CHA,51,28.8,2.96,-2.37,0.60,3.99,d05e16d4-c65d-4bf2-a777-8212d32f959a,7.33
116,Aaron Gordon,PF,ORL/DEN,50,27.7,-1.57,2.11,0.54,3.05,7fdb47af-9741-4bc3-81e4-af05a7f215b5,6.39
117,Luguentz Dort,G,OKC,52,29.7,-1.65,2.17,0.52,3.50,523febaa-9317-44fa-b897-531436b664dd,6.84
118,Nicolas Batum,PF,LAC,67,27.4,-0.49,0.99,0.50,4.54,1ac6a422-b800-4fdb-92f9-6582da2f974b,7.88
119,Eric Gordon,SG,HOU,27,29.2,2.48,-2.00,0.48,2.10,c9ef1818-96c7-404e-bec3-15d1ff9cc703,5.4399999999999995
120,Mychal Mulder,G,GS,60,12.8,1.44,-0.98,0.47,2.07,61c8b6e1-5512-48fa-b54b-edbcecda43b8,5.41
121,De'Anthony Melton,SG,MEM,52,20.1,2.20,-1.75,0.45,3.06,e64e971a-e461-40e0-8755-5b197ec0a102,6.4
123,Ja Morant,PG,MEM,63,32.6,1.35,-0.94,0.41,4.62,7511efae-6609-4e92-b8c4-86809070e70a,7.96
124,Georges Niang,SF,UTAH,72,16.0,0.69,-0.28,0.40,2.91,6600c24c-e2e6-4d11-a160-662ef2e06847,6.25
125,Ty Jerome,SG,OKC,33,23.9,2.55,-2.17,0.37,2.04,aabefe85-f1bf-4b63-a326-97411134c0de,5.38
126,Kelan Martin,SG,IND,35,9.2,1.16,-0.81,0.35,0.87,14254859-c6a0-48bf-b068-b799501bab6c,4.21
127,Doug McDermott,SF,IND,66,24.5,1.37,-1.03,0.34,3.90,ccdf1954-0bd0-4239-a6ce-d53180b33617,7.24
128,Jae'Sean Tate,SF,HOU,70,29.2,-1.31,1.65,0.34,4.55,82a0564e-f1ee-4241-b7a6-5f81188269f2,7.89
129,Mason Jones,G,HOU/PHI,32,10.4,1.89,-1.55,0.34,0.88,a64bcc38-021c-4424-a4a3-600c93f13940,4.22
130,Jarrett Allen,C,BKN/CLE,63,29.6,-0.90,1.21,0.32,4.06,72921a64-9e9f-4610-8918-0e6084945127,7.3999999999999995
131,Davis Bertans,SF,WSH,57,25.7,2.14,-1.82,0.32,3.64,4c4eeb80-f872-4bc1-a405-73062d21f5f0,6.98
132,Eric Bledsoe,SG,NO,71,29.7,-0.86,1.14,0.29,4.29,17636843-a64e-4318-879c-78b734d763e8,7.63
133,Serge Ibaka,F,LAC,41,23.3,-0.98,1.26,0.29,1.93,ebd9c171-4045-4a23-b4d3-c3e8fda32b8f,5.27
134,Jakob Poeltl,C,SA,69,26.7,-1.64,1.92,0.28,4.02,f4559b40-0be2-494f-b142-0d4adec9724a,7.359999999999999
135,Kyle Kuzma,SF,LAL,68,28.7,0.07,0.18,0.24,4.44,878223f2-5c29-4e35-a95e-0beb9f39acd9,7.78
136,Justin Holiday,SF,IND,72,30.3,-1.06,1.29,0.23,4.71,79835e6c-3a7a-4b6f-a29e-3490c7b8cee3,8.05
137,Cameron Johnson,SF,PHX,60,24.0,0.67,-0.46,0.21,3.28,7170fb18-6eed-420f-bcab-e873cfdc16f9,6.619999999999999
138,Max Strus,SG,MIA,39,13.0,1.65,-1.48,0.17,1.23,9ba2e2eb-7e27-4765-b207-858a6ab17484,4.57
140,Daniel Theis,C,BOS/CHI,65,24.6,-1.08,1.21,0.13,3.37,ad2665b8-02bb-4581-a41b-b76680930006,6.71
141,Cameron Payne,PG,PHX,60,18.0,2.23,-2.10,0.13,2.56,ba0799f7-dacd-4915-9958-eb7ad0295495,5.9
142,Collin Sexton,PG,CLE,60,35.3,-0.61,0.69,0.08,3.98,b8ee5f0d-b500-4681-a467-f3eff6324683,7.32
143,John Wall,PG,HOU,40,32.2,0.21,-0.13,0.08,2.46,6fe56b56-bc6e-4e10-9319-9513743a0349,5.8
144,Jusuf Nurkic,C,POR,37,23.8,-1.34,1.38,0.04,1.53,03492446-69fc-4249-a793-7921bfa6c664,4.87
145,Ersan Ilyasova,PF,UTAH,17,8.7,1.14,-1.10,0.04,0.34,cde3632a-570c-4d70-ae7a-fd20c9c566a8,3.6799999999999997
146,Jordan Clarkson,PG,UTAH,68,26.7,2.89,-2.85,0.04,4.19,d7aa0308-767f-4f9a-905e-8800e7c41ef7,7.53
147,Isaiah Joe,SG,PHI,41,9.3,0.99,-0.97,0.03,0.83,140503ca-ec52-42a2-8d57-553d9f2123c4,4.17
148,Trevor Ariza,SF,MIA,30,28.0,-0.61,0.63,0.02,1.58,88096c7c-12f5-4a15-8541-69173def46ce,4.92
149,Kevin Love,PF,CLE,25,24.9,0.79,-0.78,0.01,1.13,d5ae36c1-d5d4-4d26-8c87-cdc42b78b90a,4.47
150,Daniel Gafford,C,CHI/WSH,54,14.6,0.63,-0.64,-0.01,1.74,58d4bc81-9614-45f1-9da4-3c2752d3334e,5.08
151,Monte Morris,PG,DEN,47,25.4,0.31,-0.33,-0.01,2.39,92960f67-f4a7-4ad1-a6e2-8fdc3079dff8,5.73
152,Keldon Johnson,SF,SA,69,28.5,-1.25,1.22,-0.03,3.49,70b2b274-9bf0-4e29-b610-60ca3a9e5b22,6.83
153,Will Barton,SF,DEN,56,31.0,-1.79,1.71,-0.08,2.96,ebfe3487-196d-44b8-a9b6-7731f7ec8552,6.3
154,Miles Bridges,SF,CHA,66,29.3,0.92,-1.04,-0.12,3.82,700b4282-e962-4838-b573-d4e94aafc2f6,7.16
155,Lauri Markkanen,PF,CHI,51,25.8,0.61,-0.74,-0.12,2.52,14de75ea-1ce3-46a6-8393-bc7562ad3f0b,5.859999999999999
156,Robert Covington,PF,POR,70,32.0,-3.26,3.12,-0.14,3.53,1c4e4566-801f-43d2-99dc-07abae857905,6.869999999999999
157,Oshae Brissett,SF,IND,21,24.7,0.16,-0.30,-0.14,0.82,31f3c5af-af8e-4975-b77d-919bca9ce918,4.16
158,Rudy Gay,SF,SA,63,21.6,0.51,-0.65,-0.15,2.82,258e3e01-cda6-4d95-86e7-6011f215b62c,6.16
159,Furkan Korkmaz,SG,PHI,55,19.3,1.49,-1.64,-0.15,2.14,8c937f1e-b18c-4e68-b2b2-d4a33d5e37ed,5.48
161,Darius Miller,SF,OKC,18,10.9,1.28,-1.45,-0.16,0.36,b459c30e-5b79-42d0-8db0-525bc210e594,3.6999999999999997
162,Rodney McGruder,G,DET,16,12.1,0.97,-1.14,-0.17,0.40,0879be01-e4fe-4713-a9e4-19828e6b4b31,3.7399999999999998
164,Carsen Edwards,PG,BOS,31,8.9,1.16,-1.40,-0.25,0.50,c5c8d8eb-eb29-4349-a503-456879972831,3.84
165,Bryn Forbes,SG,MIL,70,19.3,1.98,-2.28,-0.30,2.62,9a4b5731-d505-4ebb-9a82-3ecdd1989fc4,5.96
166,Langston Galloway,SG,PHX,40,11.0,0.61,-0.92,-0.30,0.78,3c1d4a18-69d5-463e-9df6-b3a94949ac03,4.12
167,Desmond Bane,SG,MEM,68,22.3,0.59,-0.89,-0.30,2.65,65319385-5785-4bf9-a195-81b4aa7c605f,5.99
168,Kyle Guy,SG,SAC,31,7.6,0.91,-1.25,-0.35,0.42,6946341d-065c-41cd-ae1d-2f44809af847,3.76
169,Alize Johnson,F,BKN,18,10.5,0.25,-0.60,-0.35,0.36,207b5f2b-f3bc-4b8d-8328-1fc5bc63a91a,3.6999999999999997
170,Tyler Johnson,G,BKN,39,17.5,0.86,-1.21,-0.36,1.18,b3395ebc-3e12-463f-a2a5-b1c5574e28a2,4.52
171,Jarrell Brantley,PF,UTAH,28,4.9,1.32,-1.68,-0.36,0.26,80a7710b-f78c-4efc-b9f1-6995c87a7296,3.5999999999999996
172,David Nwaba,SF,HOU,30,22.6,0.23,-0.61,-0.38,1.22,e629f49a-eede-4120-8f03-061ee5c82a94,4.56
173,Cameron Oliver,F,HOU,4,21.8,0.47,-0.85,-0.38,0.10,43e8a62c-9562-4895-989f-dab422b43b11,3.44
174,Donta Hall,F,ORL,13,13.8,-0.55,0.17,-0.39,0.26,35df822e-8fa4-4690-9996-da6dd65bb343,3.5999999999999996
175,Frank Jackson,G,DET,40,18.5,1.23,-1.64,-0.41,1.30,fbc7c072-9e17-4673-9bbb-91c1d92fba77,4.64
176,Jarred Vanderbilt,PF,MIN,64,17.8,-1.11,0.70,-0.41,1.79,0b07f428-01ec-4c2f-9552-0d870f5bab34,5.13
177,Justin Robinson,F,OKC,9,9.8,0.43,-0.90,-0.47,0.13,7af6ce86-9d08-4b57-9109-013402a5bb38,3.4699999999999998
178,Goran Dragic,PG,MIA,50,26.7,1.50,-1.99,-0.49,2.11,63f94e4b-0ea5-4f9b-b2e0-95851e27442b,5.449999999999999
179,Jaxson Hayes,C,NO,60,16.1,0.45,-0.94,-0.50,1.57,96bdb7bb-66db-43a5-a567-cd7d3b8e4d2e,4.91
180,Juan Toscano-Anderson,SF,GS,53,20.9,-0.30,-0.20,-0.50,1.64,e32ee0f0-5458-4157-b881-317845130758,4.9799999999999995
181,Brandon Clarke,PF,MEM,59,24.0,-0.20,-0.32,-0.52,2.24,2cce9d5a-b2ef-4546-a1da-4955d618a3cb,5.58
182,Immanuel Quickley,SG,NY,64,19.4,1.65,-2.18,-0.53,1.94,568aaa8e-7305-4548-9805-a44ce994b54d,5.279999999999999
