,Team,Abb
0,Atlanta,ATL
1,Anderson,AND
2,Bal Bullets,BLB
3,Baltimore,BAL
4,Boston,BOS
5,Brooklyn,BKN
6,Buffalo,BUF
7,Capital,CAP
8,Charlotte,CHA
9,Cha Bobcats,CHB
10,Chicago,CHI
11,Chi Packers,CHP
12,Chi Stags,CHS
13,Chi Zephyrs,CHZ
14,Cincinnati,CIN
15,Cleveland,CLE
16,Cle Rebels,CLR
17,Dallas,DAL
18,Den Nuggets,DNN
19,Denver,DEN
20,Det Falcons,DTF
21,Detroit,DET
22,Ft Wayne,FTW
23,Golden State,GS
24,Houston,HOU
25,Indiana,IND
26,Ind Jets,INJ
27,Ind Olympians,INO
28,Kansas City,KC
29,KC-Omaha,KCO
30,LA Clippers,LAC
31,LA Lakers,LAL
32,Memphis,MEM
33,Miami,MIA
34,Mil Hawks,MLH
35,Milwaukee,MIL
36,Minneapolis,MNL
37,Minnesota,MIN
38,New Jersey,NJ
39,NO Hornets,NOH
40,NO Jazz,NOJ
41,New Orleans,NO
42,New Orl/OkC,NOK
43,New York,NY
44,NY Nets,NYN
45,Oklahoma City,OKC
46,Orlando,ORL
47,Phi Warriors,PHW
48,Philadelphia,PHI
49,Phoenix,PHO
50,Pittsburgh,PIT
51,Portland,POR
52,Providence,PRO
53,Rochester,ROC
54,Sacramento,SAC
55,San Antonio,SA
56,San Diego,SD
57,San Francisco,SF
58,SD Rockets,SDR
59,Seattle,SEA
60,Sheboygan,SHE
61,StL Bombers,STB
62,St Louis,STL
63,Syracuse,SYR
64,Tor Huskies,TRH
65,Toronto,TOR
66,Tri-Cities,TRI
67,Utah,UTA
68,Vancouver,VAN
69,Was Capitols,WSC
70,Was Bullets,WSB
71,Washington,WSH
72,Waterloo,WAT
